date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,2.4,2.4,2.4,2.4,37225
2015-01-02 00:00:00+05:30,2.5,2.5,2.5,2.5,28722
2015-01-05 00:00:00+05:30,2.6,2.6,2.6,2.6,21092
2015-01-06 00:00:00+05:30,2.7,2.7,2.5,2.54,582958
2015-01-07 00:00:00+05:30,2.5,2.65,2.45,2.65,303413
2015-01-08 00:00:00+05:30,2.75,2.75,2.75,2.75,70787
2015-01-09 00:00:00+05:30,2.85,2.85,2.75,2.85,721512
2015-01-12 00:00:00+05:30,2.95,2.95,2.9,2.95,247072
2015-01-13 00:00:00+05:30,3.05,3.05,2.95,3.05,123954
2015-01-14 00:00:00+05:30,3.15,3.2,3.15,3.2,127840
2015-01-15 00:00:00+05:30,3.35,3.35,3.35,3.35,22426
2015-01-16 00:00:00+05:30,3.5,3.5,3.45,3.5,188659
2015-01-19 00:00:00+05:30,3.65,3.65,3.65,3.65,44401
2015-01-20 00:00:00+05:30,3.8,3.8,3.8,3.8,152939
2015-01-21 00:00:00+05:30,3.95,3.95,3.65,3.65,698061
2015-01-22 00:00:00+05:30,3.5,3.6,3.5,3.5,588456
2015-01-23 00:00:00+05:30,3.35,3.35,3.35,3.35,266607
2015-01-27 00:00:00+05:30,3.2,3.2,3.2,3.2,39663
2015-01-28 00:00:00+05:30,3.05,3.35,3.05,3.25,499579
2015-01-29 00:00:00+05:30,3.3,3.35,3.1,3.2,203058
2015-01-30 00:00:00+05:30,3.35,3.35,3.2,3.35,165508
2015-02-02 00:00:00+05:30,3.4,3.5,3.4,3.5,72701
2015-02-03 00:00:00+05:30,3.65,3.65,3.65,3.65,93122
2015-02-04 00:00:00+05:30,3.8,3.8,3.8,3.8,105650
2015-02-05 00:00:00+05:30,3.95,3.95,3.65,3.65,400633
2015-02-06 00:00:00+05:30,3.5,3.7,3.5,3.5,435455
2015-02-09 00:00:00+05:30,3.5,3.6,3.35,3.35,87208
2015-02-10 00:00:00+05:30,3.5,3.5,3.2,3.25,90870
2015-02-11 00:00:00+05:30,3.35,3.4,3.15,3.4,87949
2015-02-12 00:00:00+05:30,3.45,3.55,3.3,3.35,92402
2015-02-13 00:00:00+05:30,3.3,3.5,3.3,3.35,55859
2015-02-16 00:00:00+05:30,3.2,3.5,3.2,3.2,65854
2015-02-18 00:00:00+05:30,3.25,3.35,3.1,3.2,199417
2015-02-19 00:00:00+05:30,3.35,3.35,3.1,3.3,117836
2015-02-20 00:00:00+05:30,3.2,3.45,3.2,3.4,194832
2015-02-23 00:00:00+05:30,3.35,3.5,3.35,3.4,57720
2015-02-24 00:00:00+05:30,3.5,3.5,3.3,3.4,68937
2015-02-25 00:00:00+05:30,3.3,3.4,3.25,3.3,94625
2015-02-26 00:00:00+05:30,3.2,3.4,3.15,3.2,29157
2015-02-27 00:00:00+05:30,3.35,3.35,3.05,3.15,126481
2015-03-02 00:00:00+05:30,3.35,3.35,3.05,3.1,105831
2015-03-03 00:00:00+05:30,3.05,3.15,2.95,2.95,56815
2015-03-04 00:00:00+05:30,2.95,2.95,2.85,2.85,25496
2015-03-05 00:00:00+05:30,2.75,2.75,2.75,2.75,64840
2015-03-09 00:00:00+05:30,2.65,2.75,2.65,2.65,38956
2015-03-10 00:00:00+05:30,2.54,2.7,2.54,2.7,140710
2015-03-11 00:00:00+05:30,2.8,2.8,2.6,2.65,110919
2015-03-12 00:00:00+05:30,2.7,2.7,2.54,2.6,59172
2015-03-13 00:00:00+05:30,2.7,2.7,2.54,2.6,44064
2015-03-16 00:00:00+05:30,2.54,2.7,2.54,2.54,70785
2015-03-17 00:00:00+05:30,2.6,2.6,2.45,2.5,87873
2015-03-18 00:00:00+05:30,2.6,2.6,2.4,2.45,37962
2015-03-19 00:00:00+05:30,2.35,2.5,2.35,2.35,94694
2015-03-20 00:00:00+05:30,2.4,2.4,2.25,2.25,37257
2015-03-23 00:00:00+05:30,2.15,2.29,2.15,2.15,50224
2015-03-24 00:00:00+05:30,2.1,2.25,2.04,2.04,104254
2015-03-25 00:00:00+05:30,2.0,2.15,2.0,2.1,65406
2015-03-26 00:00:00+05:30,2.2,2.2,2.04,2.2,17413
2015-03-27 00:00:00+05:30,2.29,2.29,2.1,2.15,53358
2015-03-30 00:00:00+05:30,2.25,2.25,2.04,2.15,56101
2015-03-31 00:00:00+05:30,2.1,2.2,2.04,2.1,35880
2015-04-01 00:00:00+05:30,2.2,2.2,2.04,2.2,33955
2015-04-06 00:00:00+05:30,2.29,2.29,2.1,2.29,54649
2015-04-07 00:00:00+05:30,2.29,2.4,2.29,2.4,5485
2015-04-08 00:00:00+05:30,2.4,2.5,2.4,2.5,3114
2015-04-09 00:00:00+05:30,2.6,2.6,2.6,2.6,532
2015-04-10 00:00:00+05:30,2.7,2.7,2.7,2.7,18971
2015-04-13 00:00:00+05:30,2.8,2.8,2.8,2.8,35633
2015-04-15 00:00:00+05:30,2.9,2.9,2.9,2.9,19094
2015-04-16 00:00:00+05:30,3.0,3.0,3.0,3.0,46392
2015-04-17 00:00:00+05:30,3.15,3.15,2.85,2.85,228743
2015-04-20 00:00:00+05:30,2.75,2.95,2.75,2.75,88320
2015-04-21 00:00:00+05:30,2.8,2.8,2.65,2.65,45917
2015-04-22 00:00:00+05:30,2.54,2.65,2.54,2.54,75968
2015-04-23 00:00:00+05:30,2.5,2.65,2.5,2.65,60856
2015-04-24 00:00:00+05:30,2.65,2.75,2.54,2.54,78886
2015-04-27 00:00:00+05:30,2.54,2.6,2.45,2.45,89063
2015-04-28 00:00:00+05:30,2.35,2.5,2.35,2.35,118428
2015-04-29 00:00:00+05:30,2.45,2.45,2.25,2.35,83509
2015-04-30 00:00:00+05:30,2.4,2.45,2.35,2.45,78195
2015-05-04 00:00:00+05:30,2.45,2.65,2.35,2.65,131210
2015-05-05 00:00:00+05:30,2.8,2.8,2.65,2.7,17320
2015-05-06 00:00:00+05:30,2.6,2.7,2.45,2.45,98545
2015-05-07 00:00:00+05:30,2.4,2.45,2.25,2.25,104725
2015-05-08 00:00:00+05:30,2.35,2.45,2.25,2.45,41491
2015-05-11 00:00:00+05:30,2.35,2.65,2.35,2.45,43764
2015-05-12 00:00:00+05:30,2.5,2.5,2.29,2.35,23355
2015-05-13 00:00:00+05:30,2.4,2.54,2.29,2.29,23952
2015-05-14 00:00:00+05:30,2.29,2.45,2.29,2.35,7411
2015-05-15 00:00:00+05:30,2.4,2.5,2.29,2.4,39643
2015-05-18 00:00:00+05:30,2.5,2.5,2.25,2.4,41469
2015-05-19 00:00:00+05:30,2.29,2.5,2.29,2.4,2700
2015-05-20 00:00:00+05:30,2.5,2.5,2.2,2.25,85343
2015-05-21 00:00:00+05:30,2.15,2.45,2.15,2.4,58635
2015-05-22 00:00:00+05:30,2.45,2.45,2.29,2.35,14024
2015-05-25 00:00:00+05:30,2.4,2.4,2.2,2.2,100247
2015-05-26 00:00:00+05:30,2.4,2.4,2.0,2.15,31388
2015-05-27 00:00:00+05:30,2.15,2.25,2.04,2.2,14930
2015-05-28 00:00:00+05:30,2.1,2.25,2.04,2.04,89584
2015-05-29 00:00:00+05:30,2.1,2.2,1.95,2.1,62943
2015-06-01 00:00:00+05:30,2.2,2.25,2.04,2.15,56027
2015-06-02 00:00:00+05:30,2.15,2.29,2.1,2.2,44746
2015-06-03 00:00:00+05:30,2.15,2.25,2.0,2.04,72809
2015-06-04 00:00:00+05:30,2.1,2.1,1.9,2.0,53900
2015-06-05 00:00:00+05:30,2.0,2.1,2.0,2.04,14463
2015-06-08 00:00:00+05:30,2.04,2.4,2.0,2.2,254256
2015-06-09 00:00:00+05:30,2.2,2.35,2.04,2.1,54298
2015-06-10 00:00:00+05:30,2.0,2.29,2.0,2.1,52322
2015-06-11 00:00:00+05:30,2.1,2.25,2.04,2.1,26730
2015-06-12 00:00:00+05:30,2.04,2.04,2.04,2.04,19036
2015-06-15 00:00:00+05:30,2.0,2.2,1.95,2.0,72921
2015-06-16 00:00:00+05:30,2.0,2.04,1.95,2.0,27161
2015-06-17 00:00:00+05:30,2.1,2.1,2.0,2.0,20407
2015-06-18 00:00:00+05:30,2.1,2.1,1.95,2.0,45750
2015-06-19 00:00:00+05:30,2.04,2.1,1.95,2.04,48528
2015-06-22 00:00:00+05:30,2.0,2.1,2.0,2.04,16001
2015-06-23 00:00:00+05:30,2.1,2.2,2.04,2.1,41464
2015-06-24 00:00:00+05:30,2.2,2.2,2.0,2.1,100987
2015-06-25 00:00:00+05:30,2.15,2.15,2.04,2.04,81849
2015-06-26 00:00:00+05:30,2.04,2.2,2.04,2.04,49092
2015-06-29 00:00:00+05:30,2.04,2.1,2.0,2.0,57073
2015-06-30 00:00:00+05:30,2.04,2.1,1.95,2.0,84402
2015-07-01 00:00:00+05:30,2.1,2.1,2.0,2.04,28392
2015-07-02 00:00:00+05:30,2.29,2.29,2.0,2.1,34042
2015-07-03 00:00:00+05:30,2.15,2.5,2.1,2.5,226423
2015-07-06 00:00:00+05:30,2.9,3.0,2.29,3.0,987269
2015-07-07 00:00:00+05:30,3.3,3.3,2.8,3.15,1548782
2015-07-08 00:00:00+05:30,3.0,3.25,2.85,2.85,319957
2015-07-09 00:00:00+05:30,2.85,2.85,2.6,2.65,245957
2015-07-10 00:00:00+05:30,2.75,2.85,2.65,2.7,97575
2015-07-13 00:00:00+05:30,2.9,2.95,2.7,2.95,177883
2015-07-14 00:00:00+05:30,3.2,3.2,3.0,3.15,366541
2015-07-15 00:00:00+05:30,3.25,3.35,3.0,3.05,414158
2015-07-16 00:00:00+05:30,3.05,3.2,2.9,2.95,155100
2015-07-17 00:00:00+05:30,3.0,3.15,2.8,2.9,119747
2015-07-20 00:00:00+05:30,3.05,3.05,2.85,2.9,78845
2015-07-21 00:00:00+05:30,3.0,3.05,2.85,2.95,185455
2015-07-22 00:00:00+05:30,3.05,3.05,2.85,2.9,100104
2015-07-23 00:00:00+05:30,3.0,3.05,2.8,2.85,177576
2015-07-24 00:00:00+05:30,2.9,3.0,2.75,2.9,54617
2015-07-27 00:00:00+05:30,2.9,2.9,2.75,2.75,89884
2015-07-28 00:00:00+05:30,2.75,2.95,2.75,2.85,66239
2015-07-29 00:00:00+05:30,2.95,3.0,2.8,2.8,53918
2015-07-30 00:00:00+05:30,2.75,2.8,2.65,2.7,187764
2015-07-31 00:00:00+05:30,2.75,2.75,2.5,2.54,207095
2015-08-03 00:00:00+05:30,2.54,2.75,2.54,2.75,154162
2015-08-04 00:00:00+05:30,2.9,3.0,2.7,3.0,413235
2015-08-05 00:00:00+05:30,3.25,3.3,3.0,3.05,759227
2015-08-06 00:00:00+05:30,3.25,3.3,3.1,3.2,384754
2015-08-07 00:00:00+05:30,3.3,3.3,2.95,3.05,330957
2015-08-10 00:00:00+05:30,3.0,3.25,2.9,2.95,323669
2015-08-11 00:00:00+05:30,2.9,3.1,2.9,3.0,115350
2015-08-12 00:00:00+05:30,3.1,3.1,2.8,2.85,149119
2015-08-13 00:00:00+05:30,3.05,3.05,2.8,2.8,151393
2015-08-14 00:00:00+05:30,2.75,2.95,2.75,2.85,87809
2015-08-17 00:00:00+05:30,2.8,3.15,2.8,2.8,102113
2015-08-18 00:00:00+05:30,2.8,2.9,2.8,2.85,95472
2015-08-19 00:00:00+05:30,2.9,2.9,2.65,2.8,225123
2015-08-20 00:00:00+05:30,2.7,2.8,2.6,2.6,206474
2015-08-21 00:00:00+05:30,2.6,2.85,2.54,2.65,105364
2015-08-24 00:00:00+05:30,2.6,2.65,2.2,2.35,208652
2015-08-25 00:00:00+05:30,2.5,2.6,2.25,2.4,130635
2015-08-26 00:00:00+05:30,2.29,2.54,2.25,2.29,113183
2015-08-27 00:00:00+05:30,2.5,2.5,2.29,2.35,93188
