date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,59.7,59.8,57.95,58.8,10308
2015-01-02 00:00:00+05:30,59.95,62.0,57.9,61.4,74772
2015-01-05 00:00:00+05:30,62.0,67.3,59.55,60.35,47952
2015-01-06 00:00:00+05:30,62.95,62.95,59.5,59.85,47416
2015-01-07 00:00:00+05:30,60.85,61.0,59.0,60.05,23928
2015-01-08 00:00:00+05:30,60.8,61.8,59.8,59.9,33656
2015-01-09 00:00:00+05:30,60.95,60.95,58.5,59.4,50752
2015-01-12 00:00:00+05:30,60.65,60.65,58.95,60.15,21820
2015-01-13 00:00:00+05:30,60.3,62.0,58.0,59.8,21279
2015-01-14 00:00:00+05:30,60.0,61.9,59.0,60.15,50344
2015-01-15 00:00:00+05:30,60.5,61.75,59.8,60.05,37780
2015-01-16 00:00:00+05:30,60.05,61.5,59.85,60.4,30438
2015-01-19 00:00:00+05:30,61.0,61.8,59.85,60.05,55328
2015-01-20 00:00:00+05:30,60.8,65.95,59.7,63.75,86883
2015-01-21 00:00:00+05:30,65.8,70.9,61.15,69.34,118037
2015-01-22 00:00:00+05:30,70.0,72.8,65.0,68.5,93689
2015-01-23 00:00:00+05:30,70.4,71.0,57.55,66.4,50698
2015-01-27 00:00:00+05:30,68.95,68.95,64.9,65.05,22064
2015-01-28 00:00:00+05:30,67.84,67.84,64.5,64.9,73914
2015-01-29 00:00:00+05:30,66.59,66.59,63.25,64.2,42712
2015-01-30 00:00:00+05:30,65.9,65.9,64.75,65.4,36214
2015-02-02 00:00:00+05:30,67.0,67.9,64.65,65.25,23275
2015-02-03 00:00:00+05:30,66.4,66.4,64.55,65.2,93309
2015-02-04 00:00:00+05:30,65.25,65.84,64.8,65.0,11287
2015-02-05 00:00:00+05:30,66.2,72.7,65.0,69.0,171981
2015-02-06 00:00:00+05:30,69.0,69.2,67.95,68.45,41767
2015-02-09 00:00:00+05:30,69.9,69.9,68.34,68.45,118744
2015-02-10 00:00:00+05:30,68.5,78.55,68.5,76.2,273052
2015-02-11 00:00:00+05:30,77.25,80.0,72.09,74.5,150645
2015-02-12 00:00:00+05:30,74.45,81.95,72.25,73.2,69123
2015-02-13 00:00:00+05:30,74.55,77.65,73.0,73.75,62901
2015-02-16 00:00:00+05:30,74.8,77.5,72.0,72.95,138657
2015-02-18 00:00:00+05:30,73.9,76.95,73.09,73.59,119741
2015-02-19 00:00:00+05:30,74.84,75.0,69.75,71.34,154711
2015-02-20 00:00:00+05:30,73.0,74.8,70.15,71.2,119304
2015-02-23 00:00:00+05:30,72.9,73.9,65.05,68.8,123488
2015-02-24 00:00:00+05:30,71.5,71.5,67.0,67.4,121226
2015-02-25 00:00:00+05:30,66.2,69.75,66.09,68.59,179398
2015-02-26 00:00:00+05:30,69.8,72.59,68.09,68.34,157116
2015-02-27 00:00:00+05:30,69.0,71.0,66.3,69.65,103739
2015-03-02 00:00:00+05:30,72.0,72.0,66.2,67.15,7749
2015-03-03 00:00:00+05:30,67.59,69.25,66.5,66.59,19299
2015-03-04 00:00:00+05:30,69.25,74.5,66.09,68.75,226233
2015-03-05 00:00:00+05:30,68.75,71.2,67.0,67.25,29431
2015-03-09 00:00:00+05:30,69.9,69.9,66.0,68.25,54026
2015-03-10 00:00:00+05:30,67.0,70.5,66.09,66.59,23035
2015-03-11 00:00:00+05:30,67.75,70.84,67.25,69.95,98452
2015-03-12 00:00:00+05:30,72.5,72.5,67.15,71.0,136638
2015-03-13 00:00:00+05:30,71.45,71.45,68.0,68.95,51702
2015-03-16 00:00:00+05:30,70.8,70.8,68.59,69.05,38010
2015-03-17 00:00:00+05:30,69.0,70.3,68.59,69.4,55632
2015-03-18 00:00:00+05:30,70.75,70.75,68.4,69.15,56233
2015-03-19 00:00:00+05:30,68.5,70.45,66.65,69.0,83541
2015-03-20 00:00:00+05:30,70.2,70.2,68.5,68.84,34574
