date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,7.6,9.0,7.6,8.65,47114
2015-01-02 00:00:00+05:30,9.0,9.0,8.44,8.94,40205
2015-01-05 00:00:00+05:30,9.0,9.94,8.6,8.8,90686
2015-01-06 00:00:00+05:30,9.25,9.25,8.1,8.5,20840
2015-01-07 00:00:00+05:30,8.94,9.1,8.4,8.5,77978
2015-01-08 00:00:00+05:30,8.9,9.05,8.55,8.6,13525
2015-01-09 00:00:00+05:30,8.94,8.94,8.1,8.15,36175
2015-01-12 00:00:00+05:30,8.85,9.75,8.1,9.55,981042
2015-01-13 00:00:00+05:30,9.1,9.85,8.75,8.75,166362
2015-01-14 00:00:00+05:30,9.3,9.3,8.5,8.55,18939
2015-01-15 00:00:00+05:30,9.15,9.19,8.75,8.85,37889
2015-01-16 00:00:00+05:30,9.6,10.3,8.8,10.05,395760
2015-01-19 00:00:00+05:30,10.4,10.5,9.9,10.15,101388
2015-01-20 00:00:00+05:30,10.15,10.45,9.9,10.3,67312
2015-01-21 00:00:00+05:30,10.55,11.6,10.0,10.95,288446
2015-01-22 00:00:00+05:30,11.25,12.1,10.65,11.95,284432
2015-01-23 00:00:00+05:30,12.2,12.45,11.65,11.8,71269
2015-01-27 00:00:00+05:30,12.3,12.3,11.35,11.55,36283
2015-01-28 00:00:00+05:30,11.9,11.9,11.05,11.2,10923
2015-01-29 00:00:00+05:30,11.6,11.6,10.7,11.05,30674
2015-01-30 00:00:00+05:30,11.6,11.6,10.6,11.05,33126
2015-02-02 00:00:00+05:30,11.5,11.5,10.55,11.0,169427
2015-02-03 00:00:00+05:30,11.45,12.75,10.7,10.95,59508
2015-02-04 00:00:00+05:30,11.4,11.4,10.7,10.75,16969
2015-02-05 00:00:00+05:30,11.4,11.4,10.3,10.85,62610
2015-02-06 00:00:00+05:30,11.0,11.15,10.5,10.7,157169
2015-02-09 00:00:00+05:30,11.25,11.25,10.35,10.5,9420
2015-02-10 00:00:00+05:30,10.6,12.6,10.3,11.0,265704
