date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,102.0,102.95,97.8,101.65,5994
2015-01-02 00:00:00+05:30,100.5,103.5,100.5,102.9,2407
2015-01-05 00:00:00+05:30,102.0,105.7,101.2,101.75,12985
2015-01-06 00:00:00+05:30,101.5,102.0,95.0,95.7,14963
2015-01-07 00:00:00+05:30,97.9,97.95,94.0,96.1,6966
2015-01-08 00:00:00+05:30,97.9,107.0,96.3,104.1,18160
2015-01-09 00:00:00+05:30,103.5,103.9,99.2,100.15,7653
2015-01-12 00:00:00+05:30,103.85,103.9,98.95,100.2,7721
2015-01-13 00:00:00+05:30,103.45,103.45,99.5,99.85,2759
2015-01-14 00:00:00+05:30,99.7,100.9,99.5,99.5,1640
2015-01-15 00:00:00+05:30,99.0,102.0,97.6,101.8,8276
2015-01-16 00:00:00+05:30,101.25,102.75,99.15,100.75,16203
2015-01-19 00:00:00+05:30,102.4,107.75,99.2,105.45,48207
2015-01-20 00:00:00+05:30,105.1,109.9,103.25,107.65,47728
2015-01-21 00:00:00+05:30,107.65,110.0,103.8,105.15,15624
2015-01-22 00:00:00+05:30,105.9,107.0,102.2,103.6,5173
2015-01-23 00:00:00+05:30,103.2,107.4,101.05,102.1,17589
2015-01-27 00:00:00+05:30,102.9,103.75,99.1,100.1,18565
2015-01-28 00:00:00+05:30,99.25,100.4,96.5,97.65,7785
2015-01-29 00:00:00+05:30,97.3,97.3,93.55,94.65,76981
2015-01-30 00:00:00+05:30,94.1,94.2,90.6,93.4,54865
2015-02-02 00:00:00+05:30,95.0,95.0,88.65,90.85,13241
2015-02-03 00:00:00+05:30,95.0,95.0,91.0,93.0,7582
2015-02-04 00:00:00+05:30,92.8,94.9,92.75,94.0,3401
2015-02-05 00:00:00+05:30,94.45,96.85,91.25,91.95,9959
2015-02-06 00:00:00+05:30,93.5,93.5,90.15,91.9,4396
2015-02-09 00:00:00+05:30,91.5,92.45,89.0,90.8,18311
2015-02-10 00:00:00+05:30,92.8,94.9,90.0,94.0,22998
2015-02-11 00:00:00+05:30,99.5,99.5,92.0,94.1,5651
2015-02-12 00:00:00+05:30,93.7,95.0,93.0,94.6,1190
2015-02-13 00:00:00+05:30,94.0,95.0,93.05,93.35,4379
2015-02-16 00:00:00+05:30,96.5,100.95,94.85,97.4,6668
2015-02-18 00:00:00+05:30,97.0,97.0,94.0,94.25,2243
2015-02-19 00:00:00+05:30,101.5,101.5,92.55,93.85,3619
2015-02-20 00:00:00+05:30,93.0,96.0,91.6,94.95,6520
2015-02-23 00:00:00+05:30,94.0,94.5,92.25,93.0,1895
2015-02-24 00:00:00+05:30,94.0,96.1,93.0,94.15,5127
2015-02-25 00:00:00+05:30,98.65,98.65,92.15,93.8,2773
2015-02-26 00:00:00+05:30,95.0,95.0,89.35,94.55,4196
2015-02-27 00:00:00+05:30,93.5,94.0,92.0,92.9,1469
2015-03-02 00:00:00+05:30,92.55,93.15,90.55,92.25,4696
2015-03-03 00:00:00+05:30,93.5,95.5,91.05,94.65,6779
2015-03-04 00:00:00+05:30,94.0,95.5,91.8,93.0,11073
2015-03-05 00:00:00+05:30,93.5,93.5,91.05,92.05,1818
2015-03-09 00:00:00+05:30,93.5,93.5,90.05,92.55,4015
2015-03-10 00:00:00+05:30,93.5,103.0,93.1,100.2,49762
2015-03-11 00:00:00+05:30,100.0,101.8,96.1,97.6,8130
2015-03-12 00:00:00+05:30,97.0,99.5,93.95,95.1,14395
