date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,102.5,105.9,102.5,104.9,203604
2015-01-02 00:00:00+05:30,105.4,107.4,104.1,104.45,209027
2015-01-05 00:00:00+05:30,105.0,113.25,104.2,109.45,1108649
2015-01-06 00:00:00+05:30,108.0,108.15,102.05,102.9,560458
2015-01-07 00:00:00+05:30,102.6,104.95,100.3,102.5,286394
2015-01-08 00:00:00+05:30,103.55,107.9,103.55,104.35,367358
2015-01-09 00:00:00+05:30,105.5,106.0,102.65,103.35,191374
2015-01-12 00:00:00+05:30,104.3,108.75,104.3,106.25,455196
2015-01-13 00:00:00+05:30,107.0,107.6,102.1,103.25,175323
2015-01-14 00:00:00+05:30,103.05,104.15,101.7,102.3,182344
2015-01-15 00:00:00+05:30,103.75,104.7,102.45,103.3,122938
2015-01-16 00:00:00+05:30,102.9,123.95,101.85,123.95,2503869
2015-01-19 00:00:00+05:30,129.15,132.65,123.35,124.8,1790342
2015-01-20 00:00:00+05:30,125.4,143.1,123.6,134.0,4818720
2015-01-21 00:00:00+05:30,135.19,136.9,128.19,131.8,957277
2015-01-22 00:00:00+05:30,132.65,134.19,128.0,129.35,358212
2015-01-23 00:00:00+05:30,130.5,132.94,124.5,125.95,422764
2015-01-27 00:00:00+05:30,126.6,135.9,122.35,130.44,782327
2015-01-28 00:00:00+05:30,129.9,130.05,123.35,125.35,367743
2015-01-29 00:00:00+05:30,125.35,129.85,123.35,125.35,338218
2015-01-30 00:00:00+05:30,125.9,129.3,119.35,121.0,295552
2015-02-02 00:00:00+05:30,120.5,127.2,119.9,124.6,295647
2015-02-03 00:00:00+05:30,125.4,126.2,122.25,122.85,130117
2015-02-04 00:00:00+05:30,123.65,124.0,118.9,120.1,137803
2015-02-05 00:00:00+05:30,121.0,125.95,118.0,118.95,350831
2015-02-06 00:00:00+05:30,119.1,121.5,114.3,115.6,196976
2015-02-09 00:00:00+05:30,115.0,116.5,112.6,113.65,143475
2015-02-10 00:00:00+05:30,114.9,117.9,110.45,113.6,165907
2015-02-11 00:00:00+05:30,114.0,120.0,113.9,118.45,203850
2015-02-12 00:00:00+05:30,120.35,123.6,118.95,122.5,318268
2015-02-13 00:00:00+05:30,123.1,124.5,118.4,119.75,219043
2015-02-16 00:00:00+05:30,120.25,121.5,117.9,119.0,132128
2015-02-18 00:00:00+05:30,120.0,120.7,118.0,118.2,140289
2015-02-19 00:00:00+05:30,118.4,122.5,117.45,118.8,158894
2015-02-20 00:00:00+05:30,118.8,122.6,117.9,119.5,231108
2015-02-23 00:00:00+05:30,120.35,120.8,115.1,115.7,149390
2015-02-24 00:00:00+05:30,116.2,118.0,112.2,114.15,120184
2015-02-25 00:00:00+05:30,115.0,118.55,114.1,114.75,109354
2015-02-26 00:00:00+05:30,115.5,117.25,112.8,114.15,136220
2015-02-27 00:00:00+05:30,114.2,118.0,114.2,116.55,117526
2015-03-02 00:00:00+05:30,120.9,129.75,120.7,127.2,824700
2015-03-03 00:00:00+05:30,127.0,128.3,123.7,125.05,261734
2015-03-04 00:00:00+05:30,126.0,128.0,117.5,118.4,269800
2015-03-05 00:00:00+05:30,118.0,120.7,117.0,118.3,166674
2015-03-09 00:00:00+05:30,117.5,117.9,115.6,117.0,143330
2015-03-10 00:00:00+05:30,117.1,121.55,114.9,116.1,146347
2015-03-11 00:00:00+05:30,116.7,118.15,116.3,116.95,80675
2015-03-12 00:00:00+05:30,117.5,127.9,117.5,123.85,678814
2015-03-13 00:00:00+05:30,125.0,126.25,117.95,118.6,320416
2015-03-16 00:00:00+05:30,119.3,119.45,116.05,116.65,93121
2015-03-17 00:00:00+05:30,117.7,121.0,116.1,117.7,163265
2015-03-18 00:00:00+05:30,118.6,119.75,116.25,116.95,120908
2015-03-19 00:00:00+05:30,119.05,121.0,116.6,117.35,217866
2015-03-20 00:00:00+05:30,117.3,117.3,108.85,110.9,156371
2015-03-23 00:00:00+05:30,111.5,114.4,107.35,108.4,122923
2015-03-24 00:00:00+05:30,108.6,111.0,108.15,108.8,98732
2015-03-25 00:00:00+05:30,110.95,112.95,109.1,110.15,272451
2015-03-26 00:00:00+05:30,109.5,109.6,106.0,106.5,122546
2015-03-27 00:00:00+05:30,109.0,109.15,101.95,104.35,165009
2015-03-30 00:00:00+05:30,106.95,110.9,105.85,108.9,114678
2015-03-31 00:00:00+05:30,109.0,115.5,109.0,111.8,240109
2015-04-01 00:00:00+05:30,112.2,115.5,110.25,114.6,184300
2015-04-06 00:00:00+05:30,115.1,118.9,114.65,117.75,239734
2015-04-07 00:00:00+05:30,118.25,120.5,116.25,119.65,168689
2015-04-08 00:00:00+05:30,120.5,122.7,118.6,119.5,161967
2015-04-09 00:00:00+05:30,119.9,120.9,117.0,118.45,113576
2015-04-10 00:00:00+05:30,118.85,122.5,118.0,119.65,148614
2015-04-13 00:00:00+05:30,119.95,126.8,119.05,123.0,273706
2015-04-15 00:00:00+05:30,123.9,127.75,121.5,124.45,441592
2015-04-16 00:00:00+05:30,124.7,127.65,121.1,125.05,311278
2015-04-17 00:00:00+05:30,125.75,125.85,120.1,120.85,129585
2015-04-20 00:00:00+05:30,120.5,120.95,113.5,115.85,136327
