date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,91.0,91.75,90.0,90.9,15099
2015-01-02 00:00:00+05:30,91.75,96.95,91.4,92.85,42324
2015-01-05 00:00:00+05:30,96.0,98.8,92.0,94.4,155620
2015-01-06 00:00:00+05:30,94.0,95.0,86.65,88.9,33307
2015-01-07 00:00:00+05:30,90.15,91.5,86.35,88.0,28333
2015-01-08 00:00:00+05:30,91.75,94.0,88.1,91.3,28981
2015-01-09 00:00:00+05:30,92.55,93.6,89.1,90.35,19385
2015-01-12 00:00:00+05:30,90.65,91.5,88.5,89.35,17506
2015-01-13 00:00:00+05:30,93.0,93.0,87.0,87.5,37662
2015-01-14 00:00:00+05:30,88.2,88.6,87.0,87.35,22086
2015-01-15 00:00:00+05:30,87.75,89.75,87.05,87.4,25149
2015-01-16 00:00:00+05:30,88.6,88.6,84.7,85.55,36307
2015-01-19 00:00:00+05:30,87.65,88.0,86.05,87.55,19106
2015-01-20 00:00:00+05:30,87.95,89.85,87.05,87.45,26473
2015-01-21 00:00:00+05:30,87.1,88.7,86.05,87.2,16922
2015-01-22 00:00:00+05:30,86.9,91.1,86.85,89.0,45705
2015-01-23 00:00:00+05:30,90.0,90.95,87.4,88.1,18192
2015-01-27 00:00:00+05:30,88.1,90.8,87.7,88.2,18352
2015-01-28 00:00:00+05:30,87.7,89.1,86.0,86.4,14479
2015-01-29 00:00:00+05:30,87.9,87.95,85.15,85.65,12614
2015-01-30 00:00:00+05:30,85.2,87.5,84.0,84.7,15880
2015-02-02 00:00:00+05:30,87.85,87.9,84.0,84.45,15857
2015-02-03 00:00:00+05:30,84.5,86.05,83.0,83.45,19752
2015-02-04 00:00:00+05:30,84.05,86.45,83.5,85.65,23813
2015-02-05 00:00:00+05:30,86.9,86.9,83.0,84.5,38677
2015-02-06 00:00:00+05:30,84.9,85.0,80.2,80.9,25119
2015-02-09 00:00:00+05:30,81.0,81.75,75.7,76.7,41455
2015-02-10 00:00:00+05:30,76.0,79.0,74.9,75.84,23768
2015-02-11 00:00:00+05:30,75.2,79.0,75.2,75.84,16438
2015-02-12 00:00:00+05:30,78.45,78.5,76.0,76.4,20134
2015-02-13 00:00:00+05:30,78.2,80.05,76.5,76.84,39114
2015-02-16 00:00:00+05:30,79.4,79.4,77.15,77.5,10808
2015-02-18 00:00:00+05:30,77.0,78.3,76.0,76.4,25873
2015-02-19 00:00:00+05:30,77.5,77.65,75.05,76.0,17987
2015-02-20 00:00:00+05:30,77.0,77.9,73.5,74.75,74263
2015-02-23 00:00:00+05:30,76.5,77.7,74.0,76.7,54201
2015-02-24 00:00:00+05:30,79.0,79.0,74.5,75.75,57959
2015-02-25 00:00:00+05:30,77.0,77.0,74.65,75.0,15065
2015-02-26 00:00:00+05:30,77.0,77.0,75.25,75.75,31999
2015-02-27 00:00:00+05:30,76.7,78.05,74.5,75.59,46462
2015-03-02 00:00:00+05:30,77.0,78.55,75.95,77.9,33576
2015-03-03 00:00:00+05:30,77.59,84.1,76.5,81.05,74486
2015-03-04 00:00:00+05:30,81.9,82.0,77.7,78.55,45484
2015-03-05 00:00:00+05:30,83.5,83.5,76.5,76.9,42125
2015-03-09 00:00:00+05:30,76.0,77.5,75.09,75.75,10257
2015-03-10 00:00:00+05:30,75.7,77.0,74.05,74.65,148931
2015-03-11 00:00:00+05:30,74.65,75.95,71.65,73.05,30276
2015-03-12 00:00:00+05:30,74.5,74.5,73.05,73.9,22848
2015-03-13 00:00:00+05:30,74.45,75.34,72.59,73.05,12466
2015-03-16 00:00:00+05:30,73.0,74.0,71.15,71.7,13322
2015-03-17 00:00:00+05:30,73.4,73.4,69.3,70.65,124279
2015-03-18 00:00:00+05:30,69.25,72.7,69.25,70.3,21391
2015-03-19 00:00:00+05:30,69.4,75.59,69.4,72.05,61515
2015-03-20 00:00:00+05:30,71.34,73.5,70.0,70.09,18483
2015-03-23 00:00:00+05:30,70.65,70.65,69.0,69.55,24215
2015-03-24 00:00:00+05:30,70.0,70.55,67.8,68.09,19221
2015-03-25 00:00:00+05:30,68.4,69.5,66.4,68.45,17385
2015-03-26 00:00:00+05:30,68.09,69.45,66.7,68.0,14005
2015-03-27 00:00:00+05:30,68.8,70.7,68.2,69.75,84599
2015-03-30 00:00:00+05:30,70.9,71.25,70.0,70.3,12403
2015-03-31 00:00:00+05:30,70.59,71.0,68.25,68.95,33205
2015-04-01 00:00:00+05:30,69.45,72.45,68.59,72.0,53363
2015-04-06 00:00:00+05:30,76.8,76.8,71.95,73.05,17698
2015-04-07 00:00:00+05:30,73.3,75.4,72.3,73.34,23839
2015-04-08 00:00:00+05:30,73.8,75.15,73.5,73.8,21465
2015-04-09 00:00:00+05:30,74.09,74.8,73.15,73.5,7657
2015-04-10 00:00:00+05:30,73.8,76.0,73.8,75.3,16653
2015-04-13 00:00:00+05:30,75.95,76.3,73.55,74.5,27763
2015-04-15 00:00:00+05:30,75.0,75.0,73.0,73.4,19890
2015-04-16 00:00:00+05:30,73.05,75.25,73.05,73.84,10542
2015-04-17 00:00:00+05:30,73.84,74.5,73.05,73.55,9661
2015-04-20 00:00:00+05:30,73.15,73.5,70.9,71.45,7888
2015-04-21 00:00:00+05:30,71.09,72.8,71.09,71.5,9067
2015-04-22 00:00:00+05:30,71.95,72.45,70.34,71.65,8173
2015-04-23 00:00:00+05:30,72.8,72.8,70.59,71.8,13041
2015-04-24 00:00:00+05:30,71.9,71.9,69.2,69.7,10592
2015-04-27 00:00:00+05:30,72.8,72.8,67.0,68.75,11031
2015-04-28 00:00:00+05:30,71.95,71.95,68.7,70.09,8543
2015-04-29 00:00:00+05:30,70.15,70.8,68.55,69.09,7173
2015-04-30 00:00:00+05:30,69.9,70.8,68.5,70.25,9723
2015-05-04 00:00:00+05:30,72.84,72.84,70.3,71.45,5333
2015-05-05 00:00:00+05:30,73.75,73.75,70.55,71.75,14689
2015-05-06 00:00:00+05:30,72.0,75.59,68.5,68.65,19775
2015-05-07 00:00:00+05:30,68.15,69.8,66.8,67.4,22423
2015-05-08 00:00:00+05:30,70.5,70.5,67.8,68.59,5425
2015-05-11 00:00:00+05:30,68.75,69.95,68.45,69.2,11592
2015-05-12 00:00:00+05:30,67.5,68.65,65.0,67.45,20185
2015-05-13 00:00:00+05:30,68.8,68.8,66.84,67.55,5375
2015-05-14 00:00:00+05:30,67.2,67.75,65.9,66.5,7653
2015-05-15 00:00:00+05:30,66.5,67.4,65.05,65.45,14192
2015-05-18 00:00:00+05:30,66.9,66.95,65.84,66.15,14663
2015-05-19 00:00:00+05:30,65.95,67.3,65.5,67.0,13211
2015-05-20 00:00:00+05:30,68.8,68.8,66.59,67.45,10752
2015-05-21 00:00:00+05:30,67.84,67.95,66.25,66.65,8106
2015-05-22 00:00:00+05:30,66.65,68.0,66.59,67.55,14757
2015-05-25 00:00:00+05:30,69.3,69.65,66.59,68.4,12170
2015-05-26 00:00:00+05:30,70.0,70.0,66.55,67.0,10069
2015-05-27 00:00:00+05:30,66.55,67.8,65.59,65.9,12120
2015-05-28 00:00:00+05:30,66.3,66.8,65.15,65.59,8630
2015-05-29 00:00:00+05:30,66.25,67.7,65.2,67.3,15242
2015-06-01 00:00:00+05:30,70.0,70.0,66.75,68.09,8612
2015-06-02 00:00:00+05:30,67.5,67.95,66.0,66.09,4803
2015-06-03 00:00:00+05:30,65.7,65.8,63.05,63.7,9175
2015-06-04 00:00:00+05:30,65.8,68.9,63.95,65.9,11861
2015-06-05 00:00:00+05:30,65.0,69.34,64.7,66.15,3057
2015-06-08 00:00:00+05:30,66.3,67.84,65.2,67.0,87767
2015-06-09 00:00:00+05:30,66.5,66.65,65.09,66.15,24206
2015-06-10 00:00:00+05:30,66.45,66.5,65.0,65.3,3824
2015-06-11 00:00:00+05:30,66.0,66.0,62.75,63.4,25757
2015-06-12 00:00:00+05:30,64.5,64.5,62.55,63.6,6186
2015-06-15 00:00:00+05:30,63.6,63.95,60.65,62.6,5457
2015-06-16 00:00:00+05:30,62.15,62.45,60.8,60.95,7385
2015-06-17 00:00:00+05:30,61.0,67.0,60.45,65.95,59791
2015-06-18 00:00:00+05:30,71.95,71.95,67.25,69.55,198571
2015-06-19 00:00:00+05:30,70.95,70.95,64.4,66.0,24539
2015-06-22 00:00:00+05:30,66.25,67.45,64.7,65.0,13159
2015-06-23 00:00:00+05:30,68.0,68.0,64.25,65.15,8040
2015-06-24 00:00:00+05:30,64.7,66.0,64.25,64.9,7651
2015-06-25 00:00:00+05:30,66.0,68.9,63.75,67.59,33827
2015-06-26 00:00:00+05:30,70.5,77.09,69.45,72.8,444950
2015-06-29 00:00:00+05:30,70.0,72.7,68.4,70.4,46844
2015-06-30 00:00:00+05:30,69.05,71.8,69.05,70.7,19313
