date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,454.0,454.05,448.05,449.75,1851
2015-01-02 00:00:00+05:30,453.0,465.0,440.0,452.75,11749
2015-01-05 00:00:00+05:30,454.0,472.05,450.0,459.2,8938
2015-01-06 00:00:00+05:30,456.0,456.0,436.0,442.4,13316
2015-01-07 00:00:00+05:30,435.15,451.0,429.0,449.5,16264
2015-01-08 00:00:00+05:30,452.8,457.0,424.0,446.15,498858
2015-01-09 00:00:00+05:30,451.05,452.7,424.15,429.4,292974
2015-01-12 00:00:00+05:30,430.1,437.15,424.55,426.65,45473
2015-01-13 00:00:00+05:30,427.0,429.35,415.15,423.5,91138
2015-01-14 00:00:00+05:30,420.1,427.95,409.95,418.2,33127
2015-01-15 00:00:00+05:30,420.0,426.0,415.8,424.8,48189
2015-01-16 00:00:00+05:30,421.95,422.0,417.0,419.95,23719
2015-01-19 00:00:00+05:30,425.0,428.0,420.0,421.15,28056
2015-01-20 00:00:00+05:30,421.2,429.95,414.05,416.9,39643
2015-01-21 00:00:00+05:30,415.15,423.0,402.0,404.35,33409
2015-01-22 00:00:00+05:30,403.05,418.8,403.05,409.65,40187
2015-01-23 00:00:00+05:30,410.0,414.7,400.05,401.9,23811
2015-01-27 00:00:00+05:30,405.0,412.95,396.65,400.7,24872
2015-01-28 00:00:00+05:30,392.7,405.0,386.85,395.65,24998
2015-01-29 00:00:00+05:30,399.9,399.9,382.85,385.55,72429
2015-01-30 00:00:00+05:30,381.0,393.95,380.1,383.5,17806
2015-02-02 00:00:00+05:30,381.05,397.6,380.9,395.85,15759
2015-02-03 00:00:00+05:30,404.0,411.0,391.2,400.3,40906
2015-02-04 00:00:00+05:30,408.8,415.8,395.0,404.15,42214
2015-02-05 00:00:00+05:30,409.95,411.9,390.05,394.8,14301
2015-02-06 00:00:00+05:30,395.2,403.85,392.65,398.85,19491
2015-02-09 00:00:00+05:30,397.8,401.0,380.05,391.25,20998
2015-02-10 00:00:00+05:30,389.0,395.0,374.0,382.85,7439
2015-02-11 00:00:00+05:30,390.0,412.5,385.0,407.95,49556
2015-02-12 00:00:00+05:30,392.15,392.15,362.95,381.65,37975
2015-02-13 00:00:00+05:30,386.05,408.4,371.3,400.15,36471
2015-02-16 00:00:00+05:30,400.0,412.1,397.0,402.8,15977
2015-02-18 00:00:00+05:30,410.5,414.0,396.0,401.9,76516
2015-02-19 00:00:00+05:30,392.05,402.0,384.0,385.0,22217
2015-02-20 00:00:00+05:30,390.5,390.55,380.0,381.8,16188
2015-02-23 00:00:00+05:30,384.2,389.2,371.0,374.9,15360
2015-02-24 00:00:00+05:30,374.75,379.9,360.2,367.55,22826
2015-02-25 00:00:00+05:30,369.6,374.0,367.05,369.4,8474
