date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,932.5,944.3,923.5,929.5,13140
2015-01-02 00:00:00+05:30,925.05,943.55,922.75,924.6,15520
2015-01-05 00:00:00+05:30,932.6,935.7,913.1,922.8,14020
2015-01-06 00:00:00+05:30,913.6,929.7,905.3,909.05,17300
2015-01-07 00:00:00+05:30,915.0,915.0,891.1,895.7,16380
2015-01-08 00:00:00+05:30,900.5,924.95,899.5,902.75,18620
2015-01-09 00:00:00+05:30,907.5,915.0,888.0,900.7,29940
2015-01-12 00:00:00+05:30,903.8,929.9,896.0,922.4,19080
2015-01-13 00:00:00+05:30,925.0,944.0,910.55,912.8,28200
2015-01-14 00:00:00+05:30,910.05,930.0,910.0,915.3,5580
2015-01-15 00:00:00+05:30,915.55,930.0,913.5,918.4,16920
2015-01-16 00:00:00+05:30,914.0,930.25,914.0,918.1,12840
2015-01-19 00:00:00+05:30,925.0,938.9,915.0,926.1,17040
2015-01-20 00:00:00+05:30,930.3,971.35,930.3,944.25,49140
2015-01-21 00:00:00+05:30,946.5,962.8,935.0,938.1,23280
2015-01-22 00:00:00+05:30,954.55,954.55,910.5,933.65,14620
2015-01-23 00:00:00+05:30,936.85,944.2,925.15,931.45,9320
2015-01-27 00:00:00+05:30,933.65,944.05,910.0,917.85,23500
2015-01-28 00:00:00+05:30,919.0,936.95,912.3,913.65,16520
2015-01-29 00:00:00+05:30,929.95,929.95,912.7,915.9,11940
2015-01-30 00:00:00+05:30,918.55,928.5,913.0,921.15,17740
2015-02-02 00:00:00+05:30,967.5,967.5,920.0,940.15,27080
2015-02-03 00:00:00+05:30,959.3,961.4,929.0,934.5,30580
2015-02-04 00:00:00+05:30,945.0,959.0,894.85,910.4,83760
2015-02-05 00:00:00+05:30,909.5,909.5,860.8,875.35,28620
2015-02-06 00:00:00+05:30,857.5,874.7,845.0,847.6,27980
2015-02-09 00:00:00+05:30,825.05,840.65,811.3,816.5,20620
2015-02-10 00:00:00+05:30,816.55,831.3,800.1,826.5,33140
2015-02-11 00:00:00+05:30,826.55,858.45,826.5,843.6,24440
2015-02-12 00:00:00+05:30,839.1,862.3,838.95,849.25,19220
2015-02-13 00:00:00+05:30,855.9,868.4,854.15,863.1,23000
2015-02-16 00:00:00+05:30,870.15,876.25,860.3,862.8,14180
2015-02-18 00:00:00+05:30,864.5,867.5,855.0,858.55,17380
2015-02-19 00:00:00+05:30,859.0,866.2,838.85,841.5,80540
2015-02-20 00:00:00+05:30,840.0,859.5,828.1,841.15,18920
2015-02-23 00:00:00+05:30,857.5,859.95,840.0,845.5,18000
2015-02-24 00:00:00+05:30,850.5,850.5,816.95,830.0,6720
2015-02-25 00:00:00+05:30,821.1,847.5,821.1,828.05,10460
2015-02-26 00:00:00+05:30,828.2,849.95,820.85,824.45,13060
2015-02-27 00:00:00+05:30,833.2,837.95,812.05,819.2,12960
2015-03-02 00:00:00+05:30,842.45,842.45,800.0,817.9,9180
2015-03-03 00:00:00+05:30,822.5,823.0,800.5,815.35,15320
2015-03-04 00:00:00+05:30,807.55,824.95,796.95,805.65,21740
2015-03-05 00:00:00+05:30,805.2,817.5,791.75,799.5,17160
2015-03-09 00:00:00+05:30,799.5,799.5,768.7,784.9,22120
2015-03-10 00:00:00+05:30,778.8,782.45,762.25,767.95,16940
2015-03-11 00:00:00+05:30,778.0,778.0,757.0,760.0,10540
2015-03-12 00:00:00+05:30,766.0,767.5,760.0,762.0,8480
2015-03-13 00:00:00+05:30,765.9,768.9,758.25,760.0,15920
2015-03-16 00:00:00+05:30,761.25,822.15,745.1,749.6,19220
2015-03-17 00:00:00+05:30,754.95,764.85,735.0,739.2,26140
2015-03-18 00:00:00+05:30,726.2,736.1,707.0,711.5,37040
2015-03-19 00:00:00+05:30,711.25,722.5,678.25,680.4,40600
2015-03-20 00:00:00+05:30,681.55,681.6,640.5,646.45,39980
2015-03-23 00:00:00+05:30,631.3,641.3,612.0,631.3,79660
2015-03-24 00:00:00+05:30,633.3,744.9,621.25,711.35,175740
2015-03-25 00:00:00+05:30,712.05,743.9,699.8,703.9,68500
2015-03-26 00:00:00+05:30,695.0,695.0,667.6,679.3,25140
2015-03-27 00:00:00+05:30,679.7,694.95,666.25,685.55,22400
2015-03-30 00:00:00+05:30,686.8,704.0,675.5,680.85,27020
2015-03-31 00:00:00+05:30,682.5,685.05,672.0,673.3,10900
2015-04-01 00:00:00+05:30,675.05,688.5,657.5,675.9,26880
2015-04-06 00:00:00+05:30,699.95,708.75,682.5,703.45,21340
2015-04-07 00:00:00+05:30,709.5,740.0,706.4,731.5,33880
2015-04-08 00:00:00+05:30,720.7,740.0,720.7,727.65,12940
2015-04-09 00:00:00+05:30,731.5,738.5,718.55,721.85,21500
2015-04-10 00:00:00+05:30,723.5,749.3,722.5,733.9,34140
2015-04-13 00:00:00+05:30,740.0,751.25,737.05,740.55,20880
2015-04-15 00:00:00+05:30,759.95,834.3,740.0,790.9,121340
2015-04-16 00:00:00+05:30,791.7,827.75,780.0,802.9,28960
2015-04-17 00:00:00+05:30,802.95,825.0,757.25,766.6,15020
2015-04-20 00:00:00+05:30,770.1,777.5,744.1,750.7,14780
2015-04-21 00:00:00+05:30,758.45,758.45,725.0,738.25,11180
2015-04-22 00:00:00+05:30,738.25,749.95,732.75,737.0,8040
2015-04-23 00:00:00+05:30,744.9,782.5,737.0,750.75,16960
2015-04-24 00:00:00+05:30,763.75,768.75,731.4,734.6,15280
2015-04-27 00:00:00+05:30,730.05,737.25,689.5,692.85,12020
2015-04-28 00:00:00+05:30,685.95,730.75,681.05,702.25,40260
2015-04-29 00:00:00+05:30,711.0,714.95,690.0,695.9,5760
2015-04-30 00:00:00+05:30,710.0,710.0,692.0,694.8,8160
2015-05-04 00:00:00+05:30,695.0,720.0,695.0,714.2,7160
2015-05-05 00:00:00+05:30,729.25,732.5,707.75,709.95,10040
2015-05-06 00:00:00+05:30,710.55,719.5,692.5,695.2,13960
2015-05-07 00:00:00+05:30,696.6,704.15,687.55,692.1,8560
2015-05-08 00:00:00+05:30,700.0,729.1,697.5,704.8,15880
2015-05-11 00:00:00+05:30,702.8,729.75,702.8,718.25,13720
2015-05-12 00:00:00+05:30,718.5,718.5,700.4,706.4,6020
2015-05-13 00:00:00+05:30,724.95,724.95,703.55,705.45,5720
2015-05-14 00:00:00+05:30,707.5,709.7,679.0,700.3,26920
2015-05-15 00:00:00+05:30,700.65,725.3,700.6,719.45,16340
2015-05-18 00:00:00+05:30,719.4,747.5,715.55,730.15,21980
2015-05-19 00:00:00+05:30,740.95,746.95,732.5,744.1,15420
2015-05-20 00:00:00+05:30,743.55,766.4,738.95,756.7,23200
2015-05-21 00:00:00+05:30,750.0,763.25,745.5,750.8,11400
2015-05-22 00:00:00+05:30,762.75,762.75,750.0,750.6,4540
2015-05-25 00:00:00+05:30,737.55,772.45,737.55,754.95,6620
2015-05-26 00:00:00+05:30,757.75,758.75,747.05,753.6,8460
2015-05-27 00:00:00+05:30,755.0,755.0,740.65,742.55,5660
2015-05-28 00:00:00+05:30,748.95,754.55,743.25,746.1,4180
2015-05-29 00:00:00+05:30,754.5,765.0,748.85,759.35,11840
2015-06-01 00:00:00+05:30,792.0,810.0,742.5,748.05,38360
2015-06-02 00:00:00+05:30,748.05,754.8,730.0,733.8,10340
2015-06-03 00:00:00+05:30,735.0,735.0,705.0,709.8,12500
2015-06-04 00:00:00+05:30,714.9,716.15,694.1,696.1,7100
2015-06-05 00:00:00+05:30,696.75,708.25,695.0,696.0,5500
2015-06-08 00:00:00+05:30,696.05,700.05,686.65,688.65,6120
2015-06-09 00:00:00+05:30,685.3,710.0,685.0,702.8,9380
2015-06-10 00:00:00+05:30,700.7,733.65,700.2,724.0,16060
2015-06-11 00:00:00+05:30,739.95,739.95,710.0,724.15,23560
2015-06-12 00:00:00+05:30,716.9,730.0,710.25,722.75,9180
