date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,514.2,542.95,509.0,529.15,613001
2015-01-02 00:00:00+05:30,529.9,534.5,523.25,526.7,225891
2015-01-05 00:00:00+05:30,527.6,527.6,515.1,518.25,124871
2015-01-06 00:00:00+05:30,514.0,519.6,495.25,501.45,124768
2015-01-07 00:00:00+05:30,503.0,509.0,493.0,504.15,98746
2015-01-08 00:00:00+05:30,507.55,516.0,506.2,507.95,95093
2015-01-09 00:00:00+05:30,512.95,515.7,505.05,508.0,114334
2015-01-12 00:00:00+05:30,508.5,515.85,503.35,512.5,133340
2015-01-13 00:00:00+05:30,515.0,515.5,504.65,508.5,80236
2015-01-14 00:00:00+05:30,509.0,514.7,504.0,511.8,62352
2015-01-15 00:00:00+05:30,515.0,522.0,507.05,509.8,143079
2015-01-16 00:00:00+05:30,510.7,515.1,507.55,509.15,47873
2015-01-19 00:00:00+05:30,512.7,519.0,506.5,509.05,84788
2015-01-20 00:00:00+05:30,510.0,514.75,504.1,506.5,38920
2015-01-21 00:00:00+05:30,509.7,526.0,507.25,514.7,288141
2015-01-22 00:00:00+05:30,516.0,525.4,511.7,515.9,142969
2015-01-23 00:00:00+05:30,517.04,524.9,509.15,511.7,124747
2015-01-27 00:00:00+05:30,516.6,519.0,507.5,514.9,128975
2015-01-28 00:00:00+05:30,515.0,543.65,514.5,532.35,454700
2015-01-29 00:00:00+05:30,530.0,548.7,527.54,541.75,255693
2015-01-30 00:00:00+05:30,544.0,546.54,527.0,536.85,69454
2015-02-02 00:00:00+05:30,535.0,552.0,532.04,548.79,150997
2015-02-03 00:00:00+05:30,552.0,553.9,539.0,543.79,110696
2015-02-04 00:00:00+05:30,561.0,566.79,536.1,541.04,401118
2015-02-05 00:00:00+05:30,540.0,543.35,527.0,530.04,70214
2015-02-06 00:00:00+05:30,530.0,535.45,511.5,514.29,58122
2015-02-09 00:00:00+05:30,509.65,515.5,501.5,506.85,69241
2015-02-10 00:00:00+05:30,508.7,518.9,500.0,509.0,60572
2015-02-11 00:00:00+05:30,505.1,512.65,503.6,506.2,56150
2015-02-12 00:00:00+05:30,509.9,514.79,508.85,511.5,39407
2015-02-13 00:00:00+05:30,516.0,533.35,506.0,526.7,141127
2015-02-16 00:00:00+05:30,530.0,570.0,522.5,563.6,368370
2015-02-18 00:00:00+05:30,566.45,568.6,546.29,551.75,124079
2015-02-19 00:00:00+05:30,553.29,554.5,534.65,543.2,70417
2015-02-20 00:00:00+05:30,542.9,575.0,534.45,550.54,332622
2015-02-23 00:00:00+05:30,557.0,569.0,546.35,550.6,113486
2015-02-24 00:00:00+05:30,551.0,558.29,536.25,539.15,84952
2015-02-25 00:00:00+05:30,542.6,551.0,531.0,540.6,70163
2015-02-26 00:00:00+05:30,537.2,544.7,525.25,533.1,50885
2015-02-27 00:00:00+05:30,537.0,557.75,532.15,544.9,152949
2015-03-02 00:00:00+05:30,543.9,555.0,534.1,549.25,92548
2015-03-03 00:00:00+05:30,552.0,589.0,545.2,572.95,574141
2015-03-04 00:00:00+05:30,575.9,578.0,553.29,556.25,146991
2015-03-05 00:00:00+05:30,555.5,568.7,550.95,561.1,83464
2015-03-09 00:00:00+05:30,558.7,566.7,547.1,551.35,80755
2015-03-10 00:00:00+05:30,553.85,573.9,550.1,560.65,129861
2015-03-11 00:00:00+05:30,558.0,579.0,558.0,564.25,152515
2015-03-12 00:00:00+05:30,568.95,574.79,563.25,565.04,59287
2015-03-13 00:00:00+05:30,565.0,570.0,551.15,555.04,76734
2015-03-16 00:00:00+05:30,559.9,559.9,542.95,550.4,35333
2015-03-17 00:00:00+05:30,554.25,557.7,547.25,549.9,44339
2015-03-18 00:00:00+05:30,550.0,573.0,548.04,567.25,126773
2015-03-19 00:00:00+05:30,569.0,584.45,564.95,574.1,91193
2015-03-20 00:00:00+05:30,577.75,584.4,561.04,564.9,87859
2015-03-23 00:00:00+05:30,567.0,575.0,559.5,565.04,84961
2015-03-24 00:00:00+05:30,563.0,578.0,563.0,569.95,94915
2015-03-25 00:00:00+05:30,568.0,577.7,563.4,565.7,49426
2015-03-26 00:00:00+05:30,564.0,573.0,560.54,564.1,39839
2015-03-27 00:00:00+05:30,565.54,569.95,552.7,561.85,45475
2015-03-30 00:00:00+05:30,563.0,582.9,563.0,579.29,63288
2015-03-31 00:00:00+05:30,583.75,637.0,582.2,611.1,570652
2015-04-01 00:00:00+05:30,611.15,650.04,609.0,639.6,359615
2015-04-06 00:00:00+05:30,639.0,654.0,629.35,635.2,197821
2015-04-07 00:00:00+05:30,636.9,644.6,627.45,638.1,102817
2015-04-08 00:00:00+05:30,647.0,669.0,640.79,652.75,321610
2015-04-09 00:00:00+05:30,653.0,665.0,634.35,645.2,181103
2015-04-10 00:00:00+05:30,646.0,659.85,640.65,643.5,83960
2015-04-13 00:00:00+05:30,649.0,654.29,643.0,645.75,62078
2015-04-15 00:00:00+05:30,646.0,656.9,630.29,636.04,96254
2015-04-16 00:00:00+05:30,639.0,643.45,630.1,634.5,69904
2015-04-17 00:00:00+05:30,640.0,640.0,614.54,620.1,46076
2015-04-20 00:00:00+05:30,614.0,618.15,590.0,598.79,53611
2015-04-21 00:00:00+05:30,598.35,619.0,586.0,610.29,74605
2015-04-22 00:00:00+05:30,615.0,661.8,615.0,621.29,525062
2015-04-23 00:00:00+05:30,624.9,632.9,611.7,618.1,84846
2015-04-24 00:00:00+05:30,619.04,619.04,590.0,594.95,68800
2015-04-27 00:00:00+05:30,597.0,600.7,562.1,585.95,108044
2015-04-28 00:00:00+05:30,577.1,599.0,571.2,596.35,64476
2015-04-29 00:00:00+05:30,593.1,609.5,593.0,600.04,59508
2015-04-30 00:00:00+05:30,598.0,599.9,581.0,592.9,39185
2015-05-04 00:00:00+05:30,598.9,640.0,593.1,620.9,81175
2015-05-05 00:00:00+05:30,618.0,631.0,608.2,623.9,99657
2015-05-06 00:00:00+05:30,623.95,629.35,601.1,603.79,53112
2015-05-07 00:00:00+05:30,603.35,607.1,573.4,585.9,49730
2015-05-08 00:00:00+05:30,594.0,610.1,594.0,606.04,55268
2015-05-11 00:00:00+05:30,612.35,612.35,600.25,604.0,38162
2015-05-12 00:00:00+05:30,602.0,604.2,587.0,591.15,39777
2015-05-13 00:00:00+05:30,598.0,598.79,588.6,594.2,40279
2015-05-14 00:00:00+05:30,585.1,594.85,584.9,592.4,27017
2015-05-15 00:00:00+05:30,593.9,604.9,590.2,592.04,26577
2015-05-18 00:00:00+05:30,598.04,599.4,579.0,582.0,73738
2015-05-19 00:00:00+05:30,583.9,604.79,583.0,599.15,60603
2015-05-20 00:00:00+05:30,600.85,610.0,600.0,605.79,42412
2015-05-21 00:00:00+05:30,608.0,623.7,593.6,615.0,79221
2015-05-22 00:00:00+05:30,618.0,624.79,601.0,615.2,69373
2015-05-25 00:00:00+05:30,618.54,618.54,591.2,600.1,105344
2015-05-26 00:00:00+05:30,603.75,609.0,599.0,601.15,31802
2015-05-27 00:00:00+05:30,597.35,602.45,592.95,595.25,185792
2015-05-28 00:00:00+05:30,602.0,606.45,591.04,593.04,34879
2015-05-29 00:00:00+05:30,596.5,634.79,592.0,623.6,180581
2015-06-01 00:00:00+05:30,625.0,644.95,625.0,636.1,122343
2015-06-02 00:00:00+05:30,649.54,651.7,612.15,617.2,103904
2015-06-03 00:00:00+05:30,618.5,620.0,582.5,593.6,72024
2015-06-04 00:00:00+05:30,598.85,607.0,587.5,602.2,29420
2015-06-05 00:00:00+05:30,602.0,614.6,596.2,601.75,29508
2015-06-08 00:00:00+05:30,608.95,608.95,590.0,592.85,31089
2015-06-09 00:00:00+05:30,590.04,600.0,585.1,588.25,37264
2015-06-10 00:00:00+05:30,596.45,599.95,582.5,584.9,41274
2015-06-11 00:00:00+05:30,592.65,593.6,568.1,576.29,26346
