date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,31.5,33.0,30.05,32.79,649
2015-01-02 00:00:00+05:30,33.4,35.0,32.75,33.29,8435
2015-01-05 00:00:00+05:30,34.1,35.6,34.0,34.65,5854
2015-01-06 00:00:00+05:30,34.0,34.45,32.04,33.4,2023
2015-01-07 00:00:00+05:30,33.0,33.0,32.0,32.9,1772
2015-01-08 00:00:00+05:30,39.4,39.4,32.85,33.15,3867
2015-01-09 00:00:00+05:30,33.2,33.79,33.15,33.79,543
2015-01-12 00:00:00+05:30,33.0,33.4,31.0,31.65,4010
2015-01-13 00:00:00+05:30,32.95,32.95,31.6,31.65,2171
2015-01-14 00:00:00+05:30,31.6,33.4,30.0,31.9,1829
2015-01-15 00:00:00+05:30,31.35,33.0,31.0,31.05,3473
2015-01-16 00:00:00+05:30,33.5,33.5,30.4,32.04,1389
2015-01-19 00:00:00+05:30,33.79,33.79,30.35,32.45,3508
2015-01-20 00:00:00+05:30,32.45,33.0,32.2,33.0,1969
2015-01-21 00:00:00+05:30,32.7,34.45,31.85,32.25,2920
2015-01-22 00:00:00+05:30,32.0,32.7,30.65,32.5,1375
2015-01-23 00:00:00+05:30,32.0,32.25,30.5,31.9,10423
2015-01-27 00:00:00+05:30,32.5,33.4,32.0,32.6,3152
2015-01-28 00:00:00+05:30,32.5,32.9,31.15,32.75,6469
2015-01-29 00:00:00+05:30,33.35,33.35,31.1,32.15,2315
2015-01-30 00:00:00+05:30,32.95,33.0,30.5,32.0,10877
2015-02-02 00:00:00+05:30,31.8,31.8,30.35,30.9,3806
2015-02-03 00:00:00+05:30,30.9,32.95,30.85,32.29,11702
2015-02-04 00:00:00+05:30,32.0,32.29,30.75,31.2,12352
2015-02-05 00:00:00+05:30,31.0,32.0,30.55,31.5,1523
2015-02-06 00:00:00+05:30,31.0,31.5,29.7,29.8,4745
2015-02-09 00:00:00+05:30,31.0,31.05,29.0,31.05,306
2015-02-10 00:00:00+05:30,31.25,32.29,30.8,31.8,2084
2015-02-11 00:00:00+05:30,29.35,30.0,26.1,27.2,36387
2015-02-12 00:00:00+05:30,29.7,29.7,26.5,27.05,8065
2015-02-13 00:00:00+05:30,27.95,28.0,24.25,24.45,11946
