date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,2.55,2.6,2.55,2.55,68189
2015-01-02 00:00:00+05:30,2.6,2.65,2.55,2.6,293509
2015-01-05 00:00:00+05:30,2.6,2.65,2.5,2.6,113082
2015-01-06 00:00:00+05:30,2.55,2.55,2.45,2.5,149157
2015-01-07 00:00:00+05:30,2.5,2.55,2.45,2.45,80869
2015-01-08 00:00:00+05:30,2.55,2.55,2.5,2.55,56488
2015-01-09 00:00:00+05:30,2.55,2.55,2.45,2.45,111886
2015-01-12 00:00:00+05:30,2.45,2.55,2.45,2.5,79564
2015-01-13 00:00:00+05:30,2.55,2.55,2.45,2.5,92260
2015-01-14 00:00:00+05:30,2.5,2.5,2.45,2.45,66906
2015-01-15 00:00:00+05:30,2.45,2.6,2.45,2.55,114050
2015-01-16 00:00:00+05:30,2.55,2.55,2.4,2.45,100909
2015-01-19 00:00:00+05:30,2.5,2.5,2.45,2.45,98514
2015-01-20 00:00:00+05:30,2.5,2.5,2.35,2.4,114806
2015-01-21 00:00:00+05:30,2.4,2.5,2.4,2.45,75162
2015-01-22 00:00:00+05:30,2.45,2.45,2.4,2.4,113943
2015-01-23 00:00:00+05:30,2.4,2.45,2.35,2.4,77096
2015-01-27 00:00:00+05:30,2.4,2.45,2.35,2.35,96825
2015-01-28 00:00:00+05:30,2.4,2.55,2.35,2.5,186608
2015-01-29 00:00:00+05:30,2.5,2.5,2.4,2.45,102801
2015-01-30 00:00:00+05:30,2.5,2.5,2.4,2.4,83207
2015-02-02 00:00:00+05:30,2.4,2.5,2.4,2.45,82687
2015-02-03 00:00:00+05:30,2.5,2.55,2.4,2.45,170123
2015-02-04 00:00:00+05:30,2.5,2.5,2.45,2.45,56659
2015-02-05 00:00:00+05:30,2.5,2.5,2.4,2.45,87742
2015-02-06 00:00:00+05:30,2.45,2.45,2.3,2.3,116569
2015-02-09 00:00:00+05:30,2.3,2.45,2.3,2.3,143367
2015-02-10 00:00:00+05:30,2.35,2.45,2.35,2.4,69364
2015-02-11 00:00:00+05:30,2.4,2.5,2.35,2.45,125673
2015-02-12 00:00:00+05:30,2.5,2.5,2.4,2.45,110851
2015-02-13 00:00:00+05:30,2.35,2.4,2.35,2.35,216448
2015-02-16 00:00:00+05:30,2.4,2.45,2.3,2.35,142524
2015-02-18 00:00:00+05:30,2.35,2.35,2.3,2.35,133326
2015-02-19 00:00:00+05:30,2.35,2.4,2.3,2.35,84458
2015-02-20 00:00:00+05:30,2.3,2.45,2.3,2.4,136771
2015-02-23 00:00:00+05:30,2.45,2.45,2.35,2.4,65246
2015-02-24 00:00:00+05:30,2.45,2.45,2.35,2.35,32760
2015-02-25 00:00:00+05:30,2.4,2.45,2.4,2.45,129410
2015-02-26 00:00:00+05:30,2.45,2.45,2.35,2.35,46310
2015-02-27 00:00:00+05:30,2.4,2.45,2.4,2.4,69230
2015-03-02 00:00:00+05:30,2.45,2.45,2.3,2.35,169515
2015-03-03 00:00:00+05:30,2.3,2.4,2.3,2.3,161646
2015-03-04 00:00:00+05:30,2.3,2.35,2.3,2.3,70512
2015-03-05 00:00:00+05:30,2.3,2.35,2.3,2.3,42914
2015-03-09 00:00:00+05:30,2.3,2.3,2.25,2.25,78173
2015-03-10 00:00:00+05:30,2.25,2.3,2.25,2.25,62126
2015-03-11 00:00:00+05:30,2.25,2.3,2.2,2.2,78479
2015-03-12 00:00:00+05:30,2.25,2.45,2.25,2.35,203719
2015-03-13 00:00:00+05:30,2.35,2.4,2.25,2.3,161509
2015-03-16 00:00:00+05:30,2.3,2.35,2.2,2.2,152155
2015-03-17 00:00:00+05:30,2.2,2.25,2.2,2.25,59077
2015-03-18 00:00:00+05:30,2.2,2.25,2.2,2.2,33353
2015-03-19 00:00:00+05:30,2.2,2.25,2.2,2.2,84056
2015-03-20 00:00:00+05:30,2.2,2.2,2.1,2.1,83802
2015-03-23 00:00:00+05:30,2.15,2.15,2.0,2.0,67297
2015-03-24 00:00:00+05:30,2.0,2.1,2.0,2.05,134091
2015-03-25 00:00:00+05:30,2.0,2.05,1.95,2.0,98158
2015-03-26 00:00:00+05:30,1.95,2.0,1.9,1.95,471354
2015-03-27 00:00:00+05:30,1.95,2.1,1.95,2.05,932482
2015-03-30 00:00:00+05:30,2.15,2.25,2.1,2.25,133003
2015-03-31 00:00:00+05:30,2.25,2.3,2.2,2.3,132108
2015-04-01 00:00:00+05:30,2.3,2.3,2.25,2.3,36653
2015-04-06 00:00:00+05:30,2.3,2.45,2.2,2.4,307965
2015-04-07 00:00:00+05:30,2.4,2.45,2.3,2.35,52587
2015-04-08 00:00:00+05:30,2.35,2.45,2.3,2.35,101737
2015-04-09 00:00:00+05:30,2.4,2.4,2.35,2.35,77764
2015-04-10 00:00:00+05:30,2.4,2.55,2.35,2.5,416709
2015-04-13 00:00:00+05:30,2.55,2.65,2.5,2.6,370479
2015-04-15 00:00:00+05:30,2.65,2.65,2.5,2.55,206334
2015-04-16 00:00:00+05:30,2.55,2.55,2.4,2.45,140483
2015-04-17 00:00:00+05:30,2.5,2.5,2.35,2.4,96787
2015-04-20 00:00:00+05:30,2.35,2.5,2.35,2.35,79349
2015-04-21 00:00:00+05:30,2.35,2.45,2.35,2.35,46601
2015-04-22 00:00:00+05:30,2.35,2.45,2.35,2.4,28346
2015-04-23 00:00:00+05:30,2.35,2.5,2.35,2.45,44920
2015-04-24 00:00:00+05:30,2.4,2.4,2.35,2.35,75390
2015-04-27 00:00:00+05:30,2.3,2.4,2.2,2.25,51081
2015-04-28 00:00:00+05:30,2.25,2.35,2.25,2.35,69544
2015-04-29 00:00:00+05:30,2.35,2.4,2.35,2.4,75757
2015-04-30 00:00:00+05:30,2.4,2.45,2.35,2.4,106256
2015-05-04 00:00:00+05:30,2.4,2.5,2.35,2.45,52553
2015-05-05 00:00:00+05:30,2.4,2.55,2.4,2.45,121053
2015-05-06 00:00:00+05:30,2.5,2.5,2.3,2.3,64140
2015-05-07 00:00:00+05:30,2.35,2.35,2.25,2.3,106982
