date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,301.4,306.25,298.0,302.05,45080
2015-01-02 00:00:00+05:30,302.55,306.65,302.1,303.0,38540
2015-01-05 00:00:00+05:30,303.35,304.85,299.15,300.9,50540
2015-01-06 00:00:00+05:30,300.9,300.9,293.0,295.1,102310
2015-01-07 00:00:00+05:30,290.85,298.35,290.85,296.45,31860
2015-01-08 00:00:00+05:30,293.5,304.55,293.5,302.45,36100
2015-01-09 00:00:00+05:30,303.35,309.15,303.35,304.65,77100
2015-01-12 00:00:00+05:30,304.65,317.6,302.5,316.15,100630
2015-01-13 00:00:00+05:30,316.6,316.65,306.85,308.45,245760
2015-01-14 00:00:00+05:30,309.55,316.4,307.8,313.95,165780
2015-01-15 00:00:00+05:30,313.95,316.65,309.6,310.9,43690
2015-01-16 00:00:00+05:30,309.95,315.65,307.7,309.95,163590
2015-01-19 00:00:00+05:30,316.4,316.4,312.6,314.75,44680
2015-01-20 00:00:00+05:30,315.4,316.25,311.3,313.25,27330
2015-01-21 00:00:00+05:30,314.9,318.35,298.35,300.05,783270
2015-01-22 00:00:00+05:30,298.9,299.1,293.5,295.1,360660
2015-01-23 00:00:00+05:30,297.5,299.6,290.1,291.6,161850
2015-01-27 00:00:00+05:30,291.75,297.0,288.0,289.45,123680
2015-01-28 00:00:00+05:30,289.75,290.8,284.6,285.75,116990
2015-01-29 00:00:00+05:30,285.4,287.5,280.0,280.95,92180
2015-01-30 00:00:00+05:30,283.3,283.35,279.3,280.75,51870
2015-02-02 00:00:00+05:30,282.85,282.85,275.85,276.3,63950
2015-02-03 00:00:00+05:30,276.25,281.0,275.0,275.7,66310
2015-02-04 00:00:00+05:30,277.55,277.55,272.9,275.25,58390
2015-02-05 00:00:00+05:30,275.1,280.75,272.0,274.6,94000
2015-02-06 00:00:00+05:30,271.75,275.85,271.25,272.75,319990
2015-02-09 00:00:00+05:30,273.75,279.0,268.4,275.95,105910
