date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,3.25,3.5,3.25,3.5,2052
2015-01-02 00:00:00+05:30,3.5,3.5,3.15,3.45,17308
2015-01-05 00:00:00+05:30,3.45,3.7,3.2,3.35,7854
2015-01-06 00:00:00+05:30,3.5,3.5,3.35,3.45,167
2015-01-07 00:00:00+05:30,3.5,3.5,3.2,3.5,2387
2015-01-08 00:00:00+05:30,3.5,3.5,3.2,3.3,7864
2015-01-09 00:00:00+05:30,3.4,3.5,3.25,3.5,2164
2015-01-12 00:00:00+05:30,3.6,3.75,3.15,3.75,3747
2015-01-13 00:00:00+05:30,3.3,3.75,3.3,3.45,3304
2015-01-14 00:00:00+05:30,3.35,3.7,3.3,3.7,5141
2015-01-15 00:00:00+05:30,3.15,3.75,3.15,3.55,5732
2015-01-16 00:00:00+05:30,3.35,3.75,3.35,3.7,8021
2015-01-19 00:00:00+05:30,3.9,3.9,3.25,3.6,1402
2015-01-20 00:00:00+05:30,3.65,3.75,3.05,3.4,8952
2015-01-21 00:00:00+05:30,3.35,3.5,3.3,3.3,2199
2015-01-22 00:00:00+05:30,3.3,3.35,3.3,3.3,3313
2015-01-23 00:00:00+05:30,3.4,3.45,3.15,3.4,6751
2015-01-27 00:00:00+05:30,3.3,3.5,3.15,3.45,7867
2015-01-28 00:00:00+05:30,3.7,3.7,3.2,3.5,2410
2015-01-29 00:00:00+05:30,3.3,3.5,3.15,3.5,2958
2015-01-30 00:00:00+05:30,3.25,3.3,3.25,3.3,2123
2015-02-02 00:00:00+05:30,3.25,3.5,3.25,3.35,4895
2015-02-03 00:00:00+05:30,3.25,3.5,3.25,3.45,1979
2015-02-04 00:00:00+05:30,3.25,3.65,3.25,3.6,16732
2015-02-05 00:00:00+05:30,3.6,3.8,3.3,3.45,7434
2015-02-06 00:00:00+05:30,3.45,3.65,3.3,3.65,6266
2015-02-09 00:00:00+05:30,3.8,3.8,3.25,3.55,6959
2015-02-10 00:00:00+05:30,3.8,3.8,3.3,3.35,6240
2015-02-11 00:00:00+05:30,3.75,3.75,3.75,3.75,3
2015-02-12 00:00:00+05:30,3.7,3.7,3.35,3.55,1530
2015-02-13 00:00:00+05:30,3.65,3.65,3.3,3.35,2812
2015-02-16 00:00:00+05:30,3.75,3.75,3.35,3.4,5372
2015-02-18 00:00:00+05:30,3.35,3.55,3.3,3.3,3687
2015-02-19 00:00:00+05:30,3.3,3.4,3.25,3.4,2050
2015-02-20 00:00:00+05:30,3.75,3.75,3.25,3.5,5087
2015-02-23 00:00:00+05:30,3.6,3.6,3.25,3.3,7552
2015-02-24 00:00:00+05:30,3.3,3.3,3.3,3.3,760
2015-02-25 00:00:00+05:30,3.2,3.45,3.2,3.45,1273
2015-02-26 00:00:00+05:30,3.25,3.4,3.05,3.4,3176
2015-02-27 00:00:00+05:30,3.1,3.65,3.0,3.2,11914
2015-03-02 00:00:00+05:30,3.15,3.25,3.0,3.25,6122
2015-03-03 00:00:00+05:30,3.3,3.3,3.05,3.05,172
2015-03-04 00:00:00+05:30,3.05,3.3,3.05,3.15,4743
2015-03-05 00:00:00+05:30,3.0,3.6,3.0,3.4,2524
2015-03-09 00:00:00+05:30,3.15,3.3,3.05,3.15,8114
2015-03-10 00:00:00+05:30,3.1,3.65,3.05,3.05,4210
2015-03-11 00:00:00+05:30,3.5,3.5,3.2,3.45,2115
2015-03-12 00:00:00+05:30,3.15,3.4,3.15,3.3,1063
2015-03-13 00:00:00+05:30,3.6,3.65,3.1,3.2,12803
2015-03-16 00:00:00+05:30,3.15,3.2,3.1,3.2,4578
2015-03-17 00:00:00+05:30,3.1,3.45,3.1,3.15,5664
2015-03-18 00:00:00+05:30,3.1,3.1,3.1,3.1,1126
2015-03-19 00:00:00+05:30,3.1,3.4,3.1,3.15,50
2015-03-20 00:00:00+05:30,3.1,3.1,3.05,3.1,4278
2015-03-23 00:00:00+05:30,3.4,3.4,2.54,3.1,8610
2015-03-24 00:00:00+05:30,3.35,3.35,2.65,3.1,7966
2015-03-25 00:00:00+05:30,3.15,3.15,2.8,3.15,970
2015-03-26 00:00:00+05:30,2.75,3.3,2.75,3.3,622
2015-03-27 00:00:00+05:30,2.85,3.15,2.85,2.95,1662
2015-03-30 00:00:00+05:30,2.54,3.35,2.45,3.2,2602
2015-03-31 00:00:00+05:30,2.8,3.15,2.8,2.9,2345
2015-04-01 00:00:00+05:30,3.0,3.3,2.75,3.15,3132
2015-04-06 00:00:00+05:30,3.0,3.3,3.0,3.2,1048
2015-04-07 00:00:00+05:30,2.7,3.7,2.65,3.45,3820
2015-04-08 00:00:00+05:30,3.05,3.45,3.05,3.45,1147
2015-04-09 00:00:00+05:30,2.85,3.35,2.85,3.25,3435
2015-04-10 00:00:00+05:30,3.15,3.5,3.05,3.45,3652
2015-04-13 00:00:00+05:30,3.05,3.45,3.05,3.3,1253
2015-04-15 00:00:00+05:30,3.1,3.95,3.05,3.9,51421
2015-04-16 00:00:00+05:30,3.9,4.15,3.4,3.8,18680
2015-04-17 00:00:00+05:30,4.09,4.55,4.09,4.55,75594
2015-04-20 00:00:00+05:30,4.84,5.0,4.34,4.8,30763
2015-04-21 00:00:00+05:30,5.09,5.09,4.34,4.34,22358
2015-04-22 00:00:00+05:30,4.34,4.7,4.09,4.59,19098
2015-04-23 00:00:00+05:30,4.9,4.95,4.5,4.75,10598
2015-04-24 00:00:00+05:30,4.5,4.95,4.4,4.4,6143
2015-04-27 00:00:00+05:30,4.4,4.59,4.05,4.45,13654
2015-04-28 00:00:00+05:30,4.5,4.5,4.5,4.5,50
2015-04-29 00:00:00+05:30,4.05,4.45,4.05,4.45,3145
2015-04-30 00:00:00+05:30,4.05,4.34,4.05,4.34,3525
2015-05-04 00:00:00+05:30,4.4,4.59,3.95,4.15,10850
2015-05-05 00:00:00+05:30,4.09,4.09,3.8,4.0,397
2015-05-06 00:00:00+05:30,3.65,4.0,3.65,4.0,575
2015-05-07 00:00:00+05:30,3.6,3.75,3.6,3.6,10686
2015-05-08 00:00:00+05:30,3.3,3.75,3.3,3.75,2068
2015-05-11 00:00:00+05:30,3.7,3.9,3.7,3.9,200
2015-05-12 00:00:00+05:30,3.6,3.85,3.55,3.7,791
2015-05-13 00:00:00+05:30,3.7,3.75,3.7,3.75,225
2015-05-14 00:00:00+05:30,3.4,3.8,3.4,3.8,2740
2015-05-15 00:00:00+05:30,3.7,3.85,3.5,3.7,353
2015-05-18 00:00:00+05:30,3.6,3.85,3.4,3.7,1540
2015-05-19 00:00:00+05:30,3.4,4.0,3.35,3.6,5313
2015-05-20 00:00:00+05:30,3.4,3.9,3.4,3.9,6906
2015-05-21 00:00:00+05:30,4.2,4.2,3.55,3.85,5150
2015-05-22 00:00:00+05:30,3.6,3.85,3.6,3.65,31394
2015-05-25 00:00:00+05:30,3.35,3.65,3.35,3.5,974
2015-05-26 00:00:00+05:30,3.6,3.6,3.2,3.3,30567
2015-05-27 00:00:00+05:30,3.55,3.55,3.05,3.15,15867
2015-05-28 00:00:00+05:30,3.4,3.4,3.15,3.35,2868
2015-05-29 00:00:00+05:30,3.2,3.2,3.1,3.1,7294
2015-06-01 00:00:00+05:30,3.1,3.35,2.9,3.05,23620
2015-06-02 00:00:00+05:30,3.0,3.0,2.8,2.9,5775
2015-06-03 00:00:00+05:30,3.1,3.15,2.9,3.05,2680
2015-06-04 00:00:00+05:30,3.0,3.0,2.9,2.9,5000
2015-06-05 00:00:00+05:30,2.9,3.35,2.75,3.3,6655
2015-06-08 00:00:00+05:30,3.1,3.5,3.0,3.4,1043
2015-06-09 00:00:00+05:30,3.15,3.85,3.15,3.7,1609
2015-06-10 00:00:00+05:30,3.7,3.7,3.05,3.1,2600
2015-06-11 00:00:00+05:30,3.2,3.4,3.1,3.3,6176
2015-06-12 00:00:00+05:30,3.1,3.5,2.65,3.0,13523
2015-06-15 00:00:00+05:30,3.2,3.25,2.9,2.9,9
2015-06-16 00:00:00+05:30,2.45,3.3,2.45,3.0,6385
2015-06-17 00:00:00+05:30,3.0,3.1,2.8,3.1,2797
2015-06-18 00:00:00+05:30,3.0,3.1,3.0,3.0,2186
2015-06-19 00:00:00+05:30,2.7,3.2,2.65,3.05,4217
2015-06-22 00:00:00+05:30,2.75,3.4,2.75,2.95,3725
2015-06-23 00:00:00+05:30,2.9,3.0,2.7,3.0,4106
2015-06-24 00:00:00+05:30,3.1,3.35,2.8,3.3,2059
2015-06-25 00:00:00+05:30,2.95,3.3,2.9,3.0,2625
2015-06-26 00:00:00+05:30,2.9,3.3,2.75,3.2,1151
2015-06-29 00:00:00+05:30,2.8,3.15,2.7,3.05,2402
2015-06-30 00:00:00+05:30,2.85,3.2,2.8,2.85,3744
2015-07-01 00:00:00+05:30,3.0,3.35,2.85,3.25,4979
2015-07-02 00:00:00+05:30,3.0,3.1,3.0,3.1,5879
2015-07-03 00:00:00+05:30,2.9,3.3,2.8,2.85,2201
2015-07-06 00:00:00+05:30,2.75,3.15,2.6,3.1,4424
2015-07-07 00:00:00+05:30,3.0,3.2,3.0,3.15,21216
2015-07-08 00:00:00+05:30,3.2,3.2,3.0,3.0,9180
2015-07-09 00:00:00+05:30,3.0,3.1,3.0,3.05,2625
2015-07-10 00:00:00+05:30,3.0,3.25,3.0,3.05,8944
2015-07-13 00:00:00+05:30,2.8,3.45,2.8,3.45,50
2015-07-14 00:00:00+05:30,3.05,3.4,3.05,3.4,1325
2015-07-15 00:00:00+05:30,3.3,3.5,3.3,3.5,1400
2015-07-16 00:00:00+05:30,3.6,3.6,3.1,3.1,791
2015-07-17 00:00:00+05:30,3.0,3.0,3.0,3.0,200
2015-07-20 00:00:00+05:30,3.0,3.0,3.0,3.0,200
2015-07-21 00:00:00+05:30,3.6,3.6,3.2,3.2,160
2015-07-22 00:00:00+05:30,3.3,3.3,3.3,3.3,1
2015-07-23 00:00:00+05:30,3.3,3.3,3.15,3.15,5999
2015-07-24 00:00:00+05:30,3.05,3.05,3.05,3.05,588
2015-07-27 00:00:00+05:30,3.05,3.05,3.0,3.0,1580
2015-07-29 00:00:00+05:30,2.65,2.65,2.65,2.65,100
2015-07-30 00:00:00+05:30,3.0,3.15,3.0,3.15,248
2015-08-05 00:00:00+05:30,3.0,3.3,2.95,2.95,5910
2015-08-06 00:00:00+05:30,2.8,3.2,2.8,3.2,6513
2015-08-07 00:00:00+05:30,2.9,3.3,2.9,3.3,745
