date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,27.5,27.95,27.5,27.95,700
2015-01-02 00:00:00+05:30,27.4,28.0,27.25,27.9,14305
2015-01-05 00:00:00+05:30,30.9,30.9,27.25,28.0,6745
2015-01-06 00:00:00+05:30,27.2,27.7,26.2,26.4,9467
2015-01-07 00:00:00+05:30,26.0,26.85,25.25,25.6,7215
2015-01-08 00:00:00+05:30,25.1,27.8,25.1,26.05,9380
2015-01-09 00:00:00+05:30,26.9,27.0,25.9,26.9,11161
2015-01-12 00:00:00+05:30,26.2,27.9,25.85,27.05,8578
2015-01-13 00:00:00+05:30,26.7,29.05,26.0,27.15,17983
2015-01-14 00:00:00+05:30,27.1,28.75,27.1,27.95,27632
2015-01-15 00:00:00+05:30,27.95,28.45,27.1,28.4,14055
2015-01-16 00:00:00+05:30,28.0,29.4,27.1,29.1,22343
2015-01-19 00:00:00+05:30,28.6,28.8,28.15,28.8,9821
2015-01-20 00:00:00+05:30,28.5,28.8,28.0,28.8,4264
2015-01-21 00:00:00+05:30,27.4,28.5,27.15,27.3,7592
2015-01-22 00:00:00+05:30,27.3,27.3,26.3,26.75,14732
2015-01-23 00:00:00+05:30,26.25,27.5,26.15,26.85,5979
2015-01-27 00:00:00+05:30,26.45,27.0,26.45,26.55,866
2015-01-28 00:00:00+05:30,26.35,27.0,26.1,26.2,1810
2015-01-29 00:00:00+05:30,26.1,27.7,26.1,26.85,6494
2015-01-30 00:00:00+05:30,27.4,27.65,26.25,26.8,2618
2015-02-02 00:00:00+05:30,26.25,28.9,26.2,28.3,26121
2015-02-03 00:00:00+05:30,28.0,30.9,28.0,30.55,54198
2015-02-04 00:00:00+05:30,30.55,31.9,30.5,30.95,36015
2015-02-05 00:00:00+05:30,31.4,31.4,29.1,29.25,27480
2015-02-06 00:00:00+05:30,29.0,29.0,28.1,28.5,2102
2015-02-09 00:00:00+05:30,28.0,29.85,26.65,28.35,2104
2015-02-10 00:00:00+05:30,28.5,28.5,27.5,28.5,1519
2015-02-11 00:00:00+05:30,28.0,29.4,27.3,28.55,8744
2015-02-12 00:00:00+05:30,29.75,31.4,28.25,30.05,36537
2015-02-13 00:00:00+05:30,31.25,31.3,29.3,30.2,14578
2015-02-16 00:00:00+05:30,30.0,30.25,29.15,29.7,9311
2015-02-18 00:00:00+05:30,29.5,30.45,28.25,28.5,1918
2015-02-19 00:00:00+05:30,29.0,29.8,29.0,29.3,4437
2015-02-20 00:00:00+05:30,29.5,31.05,28.25,30.55,10717
2015-02-23 00:00:00+05:30,31.0,32.0,29.3,30.4,20309
2015-02-24 00:00:00+05:30,30.1,30.1,29.15,29.45,3181
2015-02-25 00:00:00+05:30,29.1,30.5,29.1,30.0,7347
2015-02-26 00:00:00+05:30,29.5,29.95,28.65,29.9,6725
2015-02-27 00:00:00+05:30,29.2,29.9,28.6,29.4,2562
2015-03-02 00:00:00+05:30,29.9,29.9,29.1,29.35,6938
2015-03-03 00:00:00+05:30,29.1,30.4,29.1,29.4,6360
2015-03-04 00:00:00+05:30,30.0,30.0,28.4,29.6,8179
2015-03-05 00:00:00+05:30,30.9,30.9,28.45,28.95,1463
2015-03-09 00:00:00+05:30,29.9,29.9,28.5,29.6,9134
2015-03-10 00:00:00+05:30,30.0,30.0,28.25,28.6,6781
2015-03-11 00:00:00+05:30,29.9,29.9,28.2,28.85,9552
2015-03-12 00:00:00+05:30,28.5,28.85,27.6,28.35,8814
2015-03-13 00:00:00+05:30,28.4,28.4,27.6,28.05,11520
2015-03-16 00:00:00+05:30,28.0,28.2,26.25,27.7,11187
2015-03-17 00:00:00+05:30,27.5,29.5,26.9,27.35,4591
2015-03-18 00:00:00+05:30,29.6,29.7,27.3,28.3,2891
2015-03-19 00:00:00+05:30,28.3,28.3,26.7,26.75,11382
2015-03-20 00:00:00+05:30,26.65,28.6,26.65,27.95,965
2015-03-23 00:00:00+05:30,28.65,28.7,26.2,26.75,64183
2015-03-24 00:00:00+05:30,26.5,27.5,26.0,26.95,9358
2015-03-25 00:00:00+05:30,26.55,27.2,25.95,26.1,1970
2015-03-26 00:00:00+05:30,26.05,26.45,25.15,25.95,1699
2015-03-27 00:00:00+05:30,26.75,27.6,25.7,26.5,5361
2015-03-30 00:00:00+05:30,27.8,28.05,27.8,28.0,8224
2015-03-31 00:00:00+05:30,26.25,29.0,26.25,28.5,9031
2015-04-01 00:00:00+05:30,28.6,29.5,28.25,28.3,4817
2015-04-06 00:00:00+05:30,28.9,29.9,28.9,29.85,70368
2015-04-07 00:00:00+05:30,30.0,32.85,29.5,32.2,51714
2015-04-08 00:00:00+05:30,32.9,38.6,32.85,38.6,250953
2015-04-09 00:00:00+05:30,40.79,41.45,38.0,39.04,212256
2015-04-10 00:00:00+05:30,39.95,41.85,36.65,37.35,23146
2015-04-13 00:00:00+05:30,38.25,40.0,36.9,38.04,49402
2015-04-15 00:00:00+05:30,36.2,39.04,36.2,37.1,20930
2015-04-16 00:00:00+05:30,37.2,37.5,35.0,35.85,18346
2015-04-17 00:00:00+05:30,36.4,36.4,34.54,35.1,7550
2015-04-20 00:00:00+05:30,34.54,34.54,33.1,33.54,14156
2015-04-21 00:00:00+05:30,33.9,36.5,33.5,33.65,6956
2015-04-22 00:00:00+05:30,33.54,34.2,33.1,33.85,6583
2015-04-23 00:00:00+05:30,34.04,35.0,33.75,34.7,4660
2015-04-24 00:00:00+05:30,35.0,35.0,33.1,33.45,9026
2015-04-27 00:00:00+05:30,34.0,34.0,33.0,33.35,11787
2015-04-28 00:00:00+05:30,32.2,35.79,32.2,34.75,38431
2015-04-29 00:00:00+05:30,34.9,35.0,34.1,34.7,3877
