date,open,high,low,close,volume
2020-06-22 00:00:00+05:30,29.1,33.2,29.1,33.2,7406
2020-06-23 00:00:00+05:30,39.8,39.8,39.8,39.8,759
2020-06-24 00:00:00+05:30,47.75,47.75,35.05,40.65,184459
2020-06-25 00:00:00+05:30,42.45,42.45,36.25,38.7,27127
2020-06-26 00:00:00+05:30,40.0,40.0,33.2,35.2,53298
2020-06-29 00:00:00+05:30,35.2,35.2,28.2,32.55,41083
2020-06-30 00:00:00+05:30,32.55,33.95,32.0,32.1,8791
2020-07-01 00:00:00+05:30,32.0,38.5,30.2,34.65,10290
2020-07-02 00:00:00+05:30,34.65,36.0,32.1,32.75,30821
2020-07-03 00:00:00+05:30,34.65,34.65,32.1,32.65,4841
2020-07-06 00:00:00+05:30,31.65,33.0,31.55,31.7,9169
2020-07-07 00:00:00+05:30,31.7,32.8,30.0,31.85,6320
2020-07-08 00:00:00+05:30,30.35,32.4,30.35,31.1,5563
2020-07-09 00:00:00+05:30,30.3,31.6,30.15,30.8,2976
2020-07-10 00:00:00+05:30,30.8,31.8,28.0,30.55,5179
2020-07-13 00:00:00+05:30,30.55,30.6,29.5,29.7,2249
2020-07-14 00:00:00+05:30,31.35,31.35,29.2,29.65,692
2020-07-15 00:00:00+05:30,30.0,30.0,28.3,28.55,1608
2020-07-16 00:00:00+05:30,28.1,28.55,26.85,27.15,2471
2020-07-17 00:00:00+05:30,27.95,32.55,26.05,31.9,45440
2020-07-20 00:00:00+05:30,33.5,38.25,31.9,38.1,122442
2020-07-21 00:00:00+05:30,38.7,42.3,34.2,40.6,142229
2020-07-22 00:00:00+05:30,40.0,40.0,36.25,36.8,25552
2020-07-23 00:00:00+05:30,39.0,39.0,36.0,36.25,15559
2020-07-24 00:00:00+05:30,35.35,36.5,33.1,33.75,17202
2020-07-27 00:00:00+05:30,34.5,35.0,31.55,34.05,7144
2020-07-28 00:00:00+05:30,33.0,34.75,32.2,32.55,3081
2020-07-29 00:00:00+05:30,32.3,34.65,32.2,33.05,9083
2020-07-30 00:00:00+05:30,34.35,34.35,32.3,32.8,1905
2020-07-31 00:00:00+05:30,32.8,33.9,30.55,32.1,5165
2020-08-03 00:00:00+05:30,30.2,37.0,29.4,31.55,5855
2020-08-04 00:00:00+05:30,31.9,31.9,30.55,31.5,4465
2020-08-05 00:00:00+05:30,30.6,31.5,30.0,30.8,3937
2020-08-06 00:00:00+05:30,30.05,31.5,30.05,30.95,2221
2020-08-07 00:00:00+05:30,30.15,31.25,30.15,31.15,1602
2020-08-10 00:00:00+05:30,30.6,37.35,30.6,34.25,18169
2020-08-11 00:00:00+05:30,34.5,35.0,32.25,32.65,3184
2020-08-12 00:00:00+05:30,32.65,36.8,31.7,32.4,6058
2020-10-01 00:00:00+05:30,31.8,32.6,31.0,31.35,1173
2020-10-05 00:00:00+05:30,31.0,32.5,31.0,31.45,1362
2020-10-06 00:00:00+05:30,31.45,32.9,30.3,32.3,1836
2020-10-07 00:00:00+05:30,32.0,33.8,31.2,32.55,4613
2020-10-08 00:00:00+05:30,32.55,32.9,31.45,31.75,1107
2020-10-09 00:00:00+05:30,31.0,32.65,31.0,31.35,142
2020-10-12 00:00:00+05:30,31.8,33.9,31.1,32.05,3744
2020-10-13 00:00:00+05:30,32.45,32.45,31.15,31.9,1190
2020-10-14 00:00:00+05:30,31.05,32.4,31.05,32.4,291
2020-10-15 00:00:00+05:30,31.55,32.35,31.1,31.15,466
2020-10-16 00:00:00+05:30,31.05,31.95,31.0,31.5,69
