date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,49.7,49.7,48.5,49.0,236
2015-01-05 00:00:00+05:30,48.1,49.0,48.1,48.8,303
2015-01-06 00:00:00+05:30,48.05,48.05,47.1,47.2,199
2015-01-07 00:00:00+05:30,46.8,46.8,46.8,46.8,30
2015-01-08 00:00:00+05:30,48.0,48.0,47.0,48.0,800
2015-01-09 00:00:00+05:30,48.25,48.25,48.25,48.25,500
2015-01-12 00:00:00+05:30,46.0,48.0,44.0,46.3,4108
2015-01-13 00:00:00+05:30,47.7,48.7,45.5,45.55,2404
2015-01-14 00:00:00+05:30,45.3,46.0,45.1,45.2,1324
2015-01-15 00:00:00+05:30,47.5,47.5,45.0,45.55,1157
2015-01-16 00:00:00+05:30,45.15,45.45,45.15,45.4,130
2015-01-19 00:00:00+05:30,45.0,46.65,43.0,45.25,712
2015-01-20 00:00:00+05:30,45.0,45.45,44.2,45.3,372
2015-01-21 00:00:00+05:30,45.0,46.95,44.05,44.8,927
2015-01-22 00:00:00+05:30,45.5,47.3,44.5,45.0,475
2015-01-27 00:00:00+05:30,44.0,47.0,43.5,46.65,2090
2015-01-28 00:00:00+05:30,45.2,45.2,45.2,45.2,94
2015-01-29 00:00:00+05:30,44.5,47.0,44.5,46.8,1147
2015-01-30 00:00:00+05:30,45.45,46.0,45.45,46.0,250
2015-02-03 00:00:00+05:30,47.25,47.25,45.1,46.3,100
2015-02-04 00:00:00+05:30,45.05,46.0,45.05,46.0,345
2015-02-05 00:00:00+05:30,45.0,45.55,45.0,45.55,843
2015-02-06 00:00:00+05:30,44.7,45.0,43.1,45.0,307
2015-02-09 00:00:00+05:30,44.0,45.0,42.25,45.0,1813
2015-02-10 00:00:00+05:30,44.0,44.3,43.05,44.2,13
2015-02-11 00:00:00+05:30,43.05,44.85,43.05,44.0,839
2015-02-12 00:00:00+05:30,44.1,44.1,43.65,44.05,107
2015-02-13 00:00:00+05:30,47.0,47.0,43.8,44.6,761
2015-02-16 00:00:00+05:30,43.8,46.75,43.0,43.1,1226
2015-02-18 00:00:00+05:30,43.3,44.8,43.15,44.8,1609
2015-02-19 00:00:00+05:30,44.6,45.75,44.6,45.75,40
2015-02-20 00:00:00+05:30,45.75,46.25,43.05,44.6,2305
2015-02-23 00:00:00+05:30,44.0,46.0,43.5,44.8,3379
2015-02-24 00:00:00+05:30,44.0,46.0,43.5,45.95,1164
2015-02-25 00:00:00+05:30,44.0,45.5,44.0,45.5,760
2015-02-27 00:00:00+05:30,44.1,46.45,44.1,46.45,692
2015-03-02 00:00:00+05:30,44.15,47.75,43.7,44.75,2784
2015-03-03 00:00:00+05:30,44.1,44.1,44.1,44.1,100
2015-03-04 00:00:00+05:30,44.85,45.0,44.35,44.8,887
2015-03-05 00:00:00+05:30,45.8,45.8,44.2,44.95,1580
2015-03-09 00:00:00+05:30,44.9,44.9,44.1,44.1,200
2015-03-10 00:00:00+05:30,45.0,45.0,43.2,43.75,912
2015-03-11 00:00:00+05:30,43.25,47.75,43.25,44.0,3190
2015-03-13 00:00:00+05:30,45.45,45.45,45.0,45.0,202
2015-03-16 00:00:00+05:30,44.0,44.5,43.55,43.7,1072
2015-03-17 00:00:00+05:30,43.0,44.5,41.1,44.0,1459
2015-03-18 00:00:00+05:30,44.5,45.15,44.5,45.0,2200
2015-03-19 00:00:00+05:30,44.5,44.5,43.3,43.5,15631
2015-03-20 00:00:00+05:30,45.5,45.5,42.45,42.95,12276
2015-03-23 00:00:00+05:30,42.0,42.0,40.2,40.2,11706
2015-03-24 00:00:00+05:30,40.2,40.2,40.0,40.0,265
2015-03-25 00:00:00+05:30,39.5,39.5,39.1,39.1,182
2015-03-26 00:00:00+05:30,39.1,39.1,38.6,39.0,151
2015-03-27 00:00:00+05:30,36.0,38.9,36.0,36.6,273
2015-03-30 00:00:00+05:30,37.0,39.6,36.4,37.75,1766
2015-03-31 00:00:00+05:30,38.1,40.5,38.1,38.2,1047
2015-04-01 00:00:00+05:30,40.9,40.9,38.0,39.75,1013
2015-04-06 00:00:00+05:30,39.5,41.9,38.6,39.79,2174
2015-04-07 00:00:00+05:30,41.55,42.7,41.55,42.6,965
2015-04-08 00:00:00+05:30,42.9,42.95,42.15,42.5,6272
2015-04-10 00:00:00+05:30,42.0,44.9,42.0,44.9,906
2015-04-13 00:00:00+05:30,44.0,48.0,44.0,47.75,7136
2015-04-15 00:00:00+05:30,48.0,48.0,46.1,47.05,1712
2015-04-16 00:00:00+05:30,47.0,47.0,45.6,45.75,915
2015-04-17 00:00:00+05:30,45.1,46.5,44.25,44.65,2627
2015-04-20 00:00:00+05:30,43.75,45.2,43.65,43.7,705
2015-04-21 00:00:00+05:30,43.7,43.8,43.7,43.75,124
2015-04-22 00:00:00+05:30,43.05,46.95,43.05,44.9,1203
2015-04-23 00:00:00+05:30,43.5,44.0,43.5,44.0,567
2015-04-24 00:00:00+05:30,44.8,44.8,43.05,43.05,101
2015-04-27 00:00:00+05:30,44.0,44.0,37.75,40.0,248
2015-04-28 00:00:00+05:30,40.5,40.5,40.25,40.25,1518
2015-04-29 00:00:00+05:30,40.0,40.5,40.0,40.0,828
2015-04-30 00:00:00+05:30,43.55,43.55,41.0,41.0,260
2015-05-04 00:00:00+05:30,39.29,40.15,39.29,40.15,4
2015-05-05 00:00:00+05:30,39.0,44.75,39.0,41.05,234
2015-05-06 00:00:00+05:30,40.0,44.0,40.0,42.9,310
2015-05-07 00:00:00+05:30,42.0,42.0,36.65,39.15,7061
2015-05-08 00:00:00+05:30,42.0,42.0,39.2,39.5,533
2015-05-11 00:00:00+05:30,38.1,38.75,38.1,38.75,152
2015-05-13 00:00:00+05:30,41.8,41.8,39.2,39.2,130
