date,open,high,low,close,volume
2016-07-11 00:00:00+05:30,7.64,7.64,7.39,7.39,127545
2016-07-12 00:00:00+05:30,7.26,7.41,7.25,7.25,61908
2016-07-13 00:00:00+05:30,7.32,7.35,7.18,7.27,73612
2016-07-14 00:00:00+05:30,7.39,7.42,7.36,7.42,39380
2016-07-15 00:00:00+05:30,7.54,7.54,7.39,7.5,47146
2016-07-18 00:00:00+05:30,7.53,7.54,7.5,7.5,44000
2016-07-19 00:00:00+05:30,7.55,7.59,7.5,7.5,57310
2016-07-20 00:00:00+05:30,7.55,7.55,7.44,7.5,92763
2016-07-21 00:00:00+05:30,7.56,7.56,7.52,7.55,49500
2016-07-22 00:00:00+05:30,7.59,7.59,7.55,7.55,43461
2016-07-25 00:00:00+05:30,7.59,7.66,7.55,7.66,51755
2016-07-26 00:00:00+05:30,7.74,7.77,7.66,7.68,52415
2016-07-27 00:00:00+05:30,7.78,7.81,7.73,7.73,44231
2016-07-28 00:00:00+05:30,7.75,7.86,7.75,7.85,51073
2016-07-29 00:00:00+05:30,7.78,7.93,7.76,7.76,56672
2016-08-01 00:00:00+05:30,7.77,7.8,7.73,7.73,53801
2016-08-02 00:00:00+05:30,7.83,7.86,7.82,7.86,55847
2016-08-03 00:00:00+05:30,7.91,7.91,7.82,7.82,55781
2016-08-04 00:00:00+05:30,7.86,7.97,7.82,7.83,56232
2016-08-05 00:00:00+05:30,7.91,8.17,7.86,7.91,45265
2016-08-08 00:00:00+05:30,7.91,8.0,7.89,8.0,61930
2016-08-09 00:00:00+05:30,7.95,7.98,7.95,7.95,61798
2016-08-10 00:00:00+05:30,7.95,8.05,7.91,8.05,61457
2016-08-11 00:00:00+05:30,8.09,8.41,8.05,8.05,56463
2016-08-12 00:00:00+05:30,8.09,8.35,8.05,8.06,111793
2016-08-16 00:00:00+05:30,8.09,8.1,8.05,8.05,55440
2016-08-17 00:00:00+05:30,8.09,8.35,7.67,8.15,166672
2016-08-18 00:00:00+05:30,8.36,8.45,8.05,8.23,115434
2016-08-19 00:00:00+05:30,8.0,8.07,8.0,8.04,69575
2016-08-22 00:00:00+05:30,8.13,8.23,7.66,8.1,89144
2016-08-23 00:00:00+05:30,8.5,8.5,7.91,8.01,70015
2016-08-24 00:00:00+05:30,8.32,8.32,7.65,7.79,229603
2016-08-25 00:00:00+05:30,7.73,8.0,7.4,7.73,34661
2016-08-26 00:00:00+05:30,7.91,8.12,7.55,8.12,11682
2016-08-29 00:00:00+05:30,8.52,8.52,8.12,8.28,9405
2016-08-30 00:00:00+05:30,8.56,8.68,7.87,8.11,25938
2016-08-31 00:00:00+05:30,8.48,8.51,7.95,8.29,132715
2016-09-01 00:00:00+05:30,8.71,8.71,8.32,8.52,7975
2016-09-02 00:00:00+05:30,9.09,9.37,8.55,9.32,486167
2016-09-06 00:00:00+05:30,9.09,10.18,8.64,9.55,131857
2016-09-07 00:00:00+05:30,9.55,10.15,9.27,9.44,68519
2016-09-08 00:00:00+05:30,9.36,9.7,9.27,9.47,42097
