date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,17.8,18.39,17.5,18.2,16182
2015-01-02 00:00:00+05:30,18.3,19.3,17.7,19.1,21355
2015-01-05 00:00:00+05:30,18.0,19.1,18.0,18.75,10481
2015-01-06 00:00:00+05:30,18.6,18.6,17.6,18.0,7228
2015-01-07 00:00:00+05:30,17.64,18.8,17.64,18.14,22840
2015-01-08 00:00:00+05:30,18.0,18.85,17.75,18.45,9779
2015-01-09 00:00:00+05:30,19.14,19.14,17.64,18.14,6847
2015-01-12 00:00:00+05:30,17.85,19.0,17.85,18.1,2876
2015-01-13 00:00:00+05:30,18.14,18.89,14.55,16.45,44290
2015-01-14 00:00:00+05:30,17.5,17.95,17.2,17.35,10919
2015-01-15 00:00:00+05:30,16.45,17.75,16.45,17.64,11115
2015-01-16 00:00:00+05:30,17.0,17.75,17.0,17.5,12915
2015-01-19 00:00:00+05:30,17.3,18.39,17.25,18.05,13022
2015-01-20 00:00:00+05:30,18.35,18.35,17.2,17.6,18522
2015-01-21 00:00:00+05:30,17.0,18.35,17.0,17.6,24446
2015-01-22 00:00:00+05:30,17.75,17.85,16.39,17.6,8077
2015-01-23 00:00:00+05:30,17.64,17.64,17.0,17.35,8373
2015-01-27 00:00:00+05:30,17.3,17.95,17.0,17.25,11802
2015-01-28 00:00:00+05:30,17.2,17.5,16.89,17.1,7333
2015-01-29 00:00:00+05:30,17.35,17.89,17.0,17.6,6140
2015-01-30 00:00:00+05:30,17.45,17.89,17.1,17.64,13129
2015-02-02 00:00:00+05:30,17.5,18.0,17.45,17.85,10593
2015-02-03 00:00:00+05:30,17.7,17.89,17.3,17.45,2301
2015-02-04 00:00:00+05:30,17.25,17.8,17.25,17.39,11895
2015-02-05 00:00:00+05:30,17.7,17.85,17.35,17.5,5560
2015-02-06 00:00:00+05:30,17.35,17.45,16.55,17.05,6963
2015-02-09 00:00:00+05:30,17.0,17.39,16.7,17.0,7636
2015-02-10 00:00:00+05:30,16.85,17.3,16.6,16.8,1447
2015-02-11 00:00:00+05:30,16.8,17.45,16.1,17.0,6701
2015-02-12 00:00:00+05:30,17.39,17.39,17.05,17.3,4007
2015-02-13 00:00:00+05:30,17.95,18.0,16.89,17.6,10165
2015-02-16 00:00:00+05:30,17.14,17.7,17.0,17.1,9032
2015-02-18 00:00:00+05:30,17.1,17.75,16.8,17.14,6487
2015-02-19 00:00:00+05:30,17.35,17.95,17.0,17.7,22224
2015-02-20 00:00:00+05:30,17.55,18.45,17.25,17.75,14099
2015-02-23 00:00:00+05:30,17.2,17.89,17.2,17.3,6277
2015-02-24 00:00:00+05:30,17.35,17.35,17.0,17.14,11346
2015-02-25 00:00:00+05:30,17.0,17.1,16.5,16.8,16231
2015-02-26 00:00:00+05:30,17.2,17.2,16.8,17.05,1837
2015-02-27 00:00:00+05:30,17.39,17.6,16.6,16.89,14176
2015-03-02 00:00:00+05:30,17.39,17.39,16.89,17.05,3701
2015-03-03 00:00:00+05:30,17.05,17.25,16.89,17.0,4478
2015-03-04 00:00:00+05:30,17.0,17.3,14.95,16.0,33883
2015-03-05 00:00:00+05:30,15.9,16.8,15.9,16.39,14921
2015-03-09 00:00:00+05:30,15.65,16.75,15.65,15.9,12757
2015-03-10 00:00:00+05:30,16.25,16.45,16.0,16.14,2293
2015-03-11 00:00:00+05:30,15.8,19.25,15.8,16.3,7920
2015-03-12 00:00:00+05:30,16.3,17.25,16.3,16.7,14177
2015-03-13 00:00:00+05:30,16.7,16.8,16.2,16.3,2668
2015-03-16 00:00:00+05:30,16.5,17.5,16.14,16.25,5312
2015-03-17 00:00:00+05:30,16.5,17.8,16.2,16.45,16646
2015-03-18 00:00:00+05:30,16.6,16.6,16.1,16.14,2070
2015-03-19 00:00:00+05:30,16.55,16.6,15.1,15.35,42699
2015-03-20 00:00:00+05:30,15.65,15.75,14.25,14.9,37532
2015-03-23 00:00:00+05:30,14.9,14.9,14.25,14.5,29063
2015-03-24 00:00:00+05:30,14.4,14.8,14.15,14.5,8180
2015-03-25 00:00:00+05:30,14.4,14.9,14.1,14.7,5789
2015-03-26 00:00:00+05:30,14.4,14.7,14.25,14.45,3680
2015-03-27 00:00:00+05:30,14.4,14.7,13.55,14.05,13139
2015-03-30 00:00:00+05:30,13.55,16.25,13.55,15.0,8277
2015-03-31 00:00:00+05:30,14.9,15.15,14.7,15.1,9679
2015-04-01 00:00:00+05:30,15.1,15.5,14.75,15.1,4991
2015-04-06 00:00:00+05:30,15.6,16.8,14.9,15.55,9057
2015-04-07 00:00:00+05:30,16.2,17.89,15.5,17.64,64046
2015-04-08 00:00:00+05:30,18.45,21.15,18.45,21.15,101188
2015-04-09 00:00:00+05:30,23.3,25.0,22.5,23.1,409936
2015-04-10 00:00:00+05:30,23.5,23.5,21.5,21.75,112052
2015-04-13 00:00:00+05:30,22.95,22.95,19.6,19.6,98557
2015-04-15 00:00:00+05:30,19.6,19.6,17.89,18.05,85516
2015-04-16 00:00:00+05:30,18.25,18.5,17.75,17.85,49161
2015-04-17 00:00:00+05:30,18.0,18.0,17.2,17.55,35102
2015-04-20 00:00:00+05:30,17.55,18.14,17.2,17.35,21176
2015-04-21 00:00:00+05:30,17.1,17.39,16.5,16.7,38960
2015-04-22 00:00:00+05:30,17.2,17.5,16.5,17.5,20528
2015-04-23 00:00:00+05:30,18.35,18.35,18.35,18.35,5975
2015-04-24 00:00:00+05:30,19.25,19.25,18.5,18.95,183705
2015-04-27 00:00:00+05:30,19.0,19.85,18.05,18.1,14906
2015-04-28 00:00:00+05:30,17.2,18.45,17.2,17.3,13732
2015-04-29 00:00:00+05:30,17.5,17.5,16.6,17.14,36552
2015-04-30 00:00:00+05:30,17.7,18.0,17.14,18.0,32341
2015-05-04 00:00:00+05:30,18.5,18.75,18.0,18.45,28900
2015-05-05 00:00:00+05:30,18.05,18.7,17.3,17.85,21390
2015-05-06 00:00:00+05:30,17.0,18.3,16.25,16.95,26741
2015-05-07 00:00:00+05:30,17.45,17.45,16.0,16.6,11747
2015-05-08 00:00:00+05:30,16.6,17.39,16.5,16.7,16280
2015-05-11 00:00:00+05:30,17.14,17.2,16.8,17.05,4106
2015-05-12 00:00:00+05:30,17.2,17.2,16.39,16.5,5889
2015-05-13 00:00:00+05:30,16.14,17.14,16.14,16.7,10637
2015-05-14 00:00:00+05:30,16.5,17.2,15.05,16.55,16936
2015-05-15 00:00:00+05:30,16.55,17.2,16.5,16.55,5567
2015-05-18 00:00:00+05:30,16.1,16.85,16.1,16.55,4404
2015-05-19 00:00:00+05:30,16.45,18.2,16.0,18.2,81801
2015-05-20 00:00:00+05:30,20.0,20.0,19.1,20.0,90838
2015-05-21 00:00:00+05:30,21.6,22.0,19.2,19.7,165782
2015-05-22 00:00:00+05:30,19.6,19.6,18.1,18.7,25903
2015-05-25 00:00:00+05:30,18.7,18.7,17.95,18.14,16129
2015-05-26 00:00:00+05:30,19.6,19.6,16.64,18.1,15228
2015-05-27 00:00:00+05:30,17.2,18.1,17.2,17.6,12617
2015-05-28 00:00:00+05:30,17.25,17.85,17.25,17.6,9842
2015-05-29 00:00:00+05:30,17.14,18.0,16.64,17.35,12277
2015-06-01 00:00:00+05:30,18.8,18.8,17.1,17.39,11245
2015-06-02 00:00:00+05:30,17.35,17.6,16.85,16.95,16881
2015-06-03 00:00:00+05:30,16.8,17.0,16.3,16.7,15342
2015-06-04 00:00:00+05:30,17.39,17.39,16.2,16.64,5409
2015-06-05 00:00:00+05:30,16.1,17.2,16.0,16.6,8301
2015-06-08 00:00:00+05:30,17.25,19.64,16.75,17.95,123486
2015-06-09 00:00:00+05:30,19.5,19.5,16.85,16.89,11753
2015-06-10 00:00:00+05:30,17.89,17.89,16.6,16.95,13466
2015-06-11 00:00:00+05:30,17.0,19.89,16.55,17.89,31807
2015-06-12 00:00:00+05:30,19.0,19.0,17.0,17.25,4436
2015-06-15 00:00:00+05:30,16.55,17.95,16.5,16.75,8588
2015-06-16 00:00:00+05:30,17.0,17.0,16.55,16.6,2255
2015-06-17 00:00:00+05:30,16.5,17.7,16.5,17.05,23559
2015-06-18 00:00:00+05:30,16.89,17.3,16.7,17.14,12226
2015-06-19 00:00:00+05:30,17.0,17.35,16.89,17.05,4767
2015-06-22 00:00:00+05:30,16.89,17.35,16.89,16.95,4081
2015-06-23 00:00:00+05:30,16.95,17.39,16.89,17.14,8989
2015-06-24 00:00:00+05:30,17.45,17.6,17.0,17.14,10036
2015-06-25 00:00:00+05:30,16.89,17.3,16.6,16.85,6758
2015-06-26 00:00:00+05:30,17.45,17.45,16.55,16.75,5333
2015-06-29 00:00:00+05:30,16.5,17.85,16.3,16.55,10411
2015-06-30 00:00:00+05:30,17.45,17.5,16.45,16.64,7432
2015-07-01 00:00:00+05:30,16.64,17.05,16.6,16.8,7230
2015-07-02 00:00:00+05:30,17.05,17.1,16.5,16.6,11392
2015-07-03 00:00:00+05:30,16.64,17.14,16.6,17.0,16584
2015-07-06 00:00:00+05:30,16.5,17.14,16.5,17.05,14688
2015-07-07 00:00:00+05:30,16.89,17.1,16.64,16.95,4140
2015-07-08 00:00:00+05:30,16.89,17.25,16.5,16.64,20233
2015-07-09 00:00:00+05:30,16.5,17.0,16.5,16.7,12074
2015-07-10 00:00:00+05:30,17.0,17.1,16.8,16.95,5865
2015-07-13 00:00:00+05:30,16.7,16.89,16.7,16.75,7710
2015-07-14 00:00:00+05:30,16.8,17.0,16.6,16.7,3385
2015-07-15 00:00:00+05:30,16.55,17.0,16.55,16.8,6477
2015-07-16 00:00:00+05:30,17.3,17.5,16.7,17.39,9340
2015-07-17 00:00:00+05:30,18.1,19.7,17.14,17.95,123733
2015-07-20 00:00:00+05:30,17.75,19.5,17.35,17.75,23737
2015-07-21 00:00:00+05:30,18.0,18.0,17.1,17.3,6293
2015-07-22 00:00:00+05:30,17.2,17.64,16.5,17.35,13132
2015-07-23 00:00:00+05:30,17.35,17.39,16.8,16.85,4804
2015-07-24 00:00:00+05:30,16.8,17.2,16.45,16.6,13994
2015-07-27 00:00:00+05:30,16.7,18.89,16.5,16.75,27509
2015-07-28 00:00:00+05:30,16.85,17.0,16.55,16.6,8474
2015-07-29 00:00:00+05:30,16.6,16.89,16.35,16.45,11971
2015-07-30 00:00:00+05:30,16.55,16.75,16.14,16.3,24452
2015-07-31 00:00:00+05:30,16.14,16.6,16.0,16.39,12937
2015-08-03 00:00:00+05:30,16.6,17.6,15.85,17.0,42727
2015-08-04 00:00:00+05:30,17.0,17.35,15.4,16.45,51867
2015-08-05 00:00:00+05:30,16.45,17.1,16.45,16.7,38362
2015-08-06 00:00:00+05:30,16.55,16.95,16.0,16.5,21889
2015-08-07 00:00:00+05:30,16.55,16.8,16.39,16.39,16431
2015-08-10 00:00:00+05:30,16.3,16.7,16.14,16.35,21482
2015-08-11 00:00:00+05:30,16.3,16.55,16.0,16.2,19443
2015-08-12 00:00:00+05:30,15.25,16.89,15.25,16.1,15901
2015-08-13 00:00:00+05:30,16.14,16.39,15.4,15.85,20157
2015-08-14 00:00:00+05:30,15.7,16.1,15.5,16.05,6450
2015-08-17 00:00:00+05:30,16.95,16.95,15.65,15.85,12517
2015-08-18 00:00:00+05:30,16.35,16.35,15.6,15.7,8567
2015-08-19 00:00:00+05:30,15.6,16.14,15.1,15.65,24795
2015-08-20 00:00:00+05:30,15.55,15.55,15.0,15.1,21913
2015-08-21 00:00:00+05:30,15.05,15.25,14.65,14.75,12521
2015-08-24 00:00:00+05:30,14.75,15.0,14.0,14.2,15450
2015-08-25 00:00:00+05:30,14.6,16.39,14.1,15.65,78204
2015-08-26 00:00:00+05:30,16.0,16.64,14.8,14.9,55432
2015-08-27 00:00:00+05:30,14.8,15.35,14.75,15.1,9612
2015-08-28 00:00:00+05:30,14.9,15.4,13.85,14.25,53292
2015-08-31 00:00:00+05:30,14.0,14.45,13.8,14.05,7840
2015-09-01 00:00:00+05:30,14.0,14.3,13.9,14.1,12545
2015-09-02 00:00:00+05:30,14.3,14.3,13.7,14.05,5766
2015-09-03 00:00:00+05:30,14.05,14.3,14.0,14.15,3194
2015-09-04 00:00:00+05:30,14.3,14.3,13.5,13.85,6365
2015-09-07 00:00:00+05:30,14.0,14.0,13.0,13.35,4487
2015-09-08 00:00:00+05:30,13.35,14.0,13.25,13.7,5885
2015-09-09 00:00:00+05:30,14.0,14.3,13.85,14.05,7748
2015-09-10 00:00:00+05:30,13.8,14.25,13.55,13.95,3323
2015-09-11 00:00:00+05:30,13.8,14.4,13.8,14.35,3685
2015-09-14 00:00:00+05:30,14.25,14.5,14.2,14.3,2957
2015-09-15 00:00:00+05:30,15.0,15.75,14.75,14.95,81327
2015-09-16 00:00:00+05:30,15.2,16.8,14.8,14.9,13265
2015-09-18 00:00:00+05:30,14.8,15.45,14.4,14.75,20975
2015-09-21 00:00:00+05:30,14.6,15.0,14.2,14.6,3860
2015-09-22 00:00:00+05:30,14.4,15.35,14.3,14.5,5511
2015-09-23 00:00:00+05:30,15.0,17.39,15.0,17.39,631400
2015-09-24 00:00:00+05:30,17.95,18.0,16.0,16.1,126342
2015-09-28 00:00:00+05:30,17.5,17.5,16.2,16.8,77211
2015-09-29 00:00:00+05:30,17.2,17.2,16.05,16.89,32540
2015-09-30 00:00:00+05:30,16.95,17.0,16.2,16.7,13998
2015-10-01 00:00:00+05:30,16.8,16.8,15.55,15.8,17118
2015-10-05 00:00:00+05:30,16.85,16.85,14.9,15.75,19479
2015-10-06 00:00:00+05:30,15.9,17.0,15.9,16.14,19084
2015-10-07 00:00:00+05:30,16.6,16.6,15.55,16.1,20041
2015-10-08 00:00:00+05:30,15.9,16.8,15.7,16.0,13091
2015-10-09 00:00:00+05:30,16.1,16.35,15.8,16.14,19814
2015-10-12 00:00:00+05:30,16.8,17.2,16.45,16.6,55586
2015-10-13 00:00:00+05:30,16.39,17.5,15.6,16.6,31714
2015-10-14 00:00:00+05:30,17.35,17.35,16.25,16.35,12452
2015-10-15 00:00:00+05:30,16.7,16.7,16.05,16.1,18411
2015-10-16 00:00:00+05:30,16.5,16.5,16.0,16.1,8311
2015-10-19 00:00:00+05:30,15.95,17.14,15.8,16.6,28856
2015-10-20 00:00:00+05:30,16.39,16.89,16.05,16.75,27301
2015-10-21 00:00:00+05:30,16.55,16.75,16.2,16.2,4868
2015-10-23 00:00:00+05:30,16.39,16.45,16.0,16.1,6303
2015-10-26 00:00:00+05:30,16.0,16.75,16.0,16.14,5222
2015-10-27 00:00:00+05:30,16.3,16.35,16.0,16.1,4667
2015-10-28 00:00:00+05:30,16.0,16.35,16.0,16.2,5516
2015-10-29 00:00:00+05:30,16.14,16.2,16.1,16.1,5586
2015-10-30 00:00:00+05:30,16.14,16.35,16.1,16.14,1829
2015-11-02 00:00:00+05:30,16.14,16.3,16.1,16.1,4952
2015-11-03 00:00:00+05:30,16.14,16.55,16.1,16.1,11540
2015-11-04 00:00:00+05:30,16.14,16.2,15.7,15.8,5003
2015-11-05 00:00:00+05:30,15.6,16.25,14.25,14.75,27196
2015-11-06 00:00:00+05:30,14.85,15.85,14.7,15.15,19868
2015-11-09 00:00:00+05:30,15.15,15.3,14.5,15.0,6320
2015-11-10 00:00:00+05:30,14.8,15.35,14.8,14.8,1288
2015-11-11 00:00:00+05:30,14.8,15.45,14.0,15.2,1419
2015-11-13 00:00:00+05:30,15.0,15.0,14.55,14.6,4966
2015-11-16 00:00:00+05:30,15.75,15.75,14.15,14.85,13934
2015-11-17 00:00:00+05:30,15.0,15.1,14.8,15.0,4668
2015-11-18 00:00:00+05:30,15.05,15.1,13.6,14.5,29380
2015-11-19 00:00:00+05:30,14.55,14.9,14.45,14.5,4336
2015-11-20 00:00:00+05:30,14.55,14.95,14.4,14.5,16275
2015-11-23 00:00:00+05:30,14.55,14.95,14.5,14.5,4878
2015-11-24 00:00:00+05:30,15.45,15.45,14.4,14.6,29329
2015-11-26 00:00:00+05:30,14.25,14.95,14.25,14.65,17706
2015-11-27 00:00:00+05:30,14.9,14.95,14.6,14.7,9493
2015-11-30 00:00:00+05:30,14.7,15.2,13.5,14.6,22556
2015-12-01 00:00:00+05:30,14.95,15.45,14.6,15.05,31229
2015-12-02 00:00:00+05:30,15.55,15.7,15.05,15.55,32202
2015-12-03 00:00:00+05:30,16.55,18.64,16.55,18.5,1095445
2015-12-04 00:00:00+05:30,18.55,21.2,18.0,19.8,567234
2015-12-07 00:00:00+05:30,20.65,21.2,20.05,20.8,319975
2015-12-08 00:00:00+05:30,21.0,21.0,18.8,19.2,87948
2015-12-09 00:00:00+05:30,19.0,19.0,17.3,17.3,56350
2015-12-10 00:00:00+05:30,16.6,18.0,15.7,16.75,40719
2015-12-11 00:00:00+05:30,17.0,17.55,17.0,17.55,33895
2015-12-14 00:00:00+05:30,17.8,18.39,17.75,18.3,124674
2015-12-15 00:00:00+05:30,19.14,19.14,17.45,17.5,41087
2015-12-16 00:00:00+05:30,17.55,17.75,17.0,17.05,15173
2015-12-17 00:00:00+05:30,17.75,17.89,17.3,17.75,35176
2015-12-18 00:00:00+05:30,17.3,17.89,17.1,17.39,30969
2015-12-21 00:00:00+05:30,17.14,17.95,17.1,17.55,29292
2015-12-22 00:00:00+05:30,17.95,17.95,17.05,17.39,17160
2015-12-23 00:00:00+05:30,17.45,17.8,17.45,17.5,14836
2015-12-24 00:00:00+05:30,17.8,17.8,17.3,17.35,18070
2015-12-28 00:00:00+05:30,17.25,17.5,17.05,17.3,14929
2015-12-29 00:00:00+05:30,17.05,17.3,17.0,17.05,5621
2015-12-30 00:00:00+05:30,17.0,17.55,16.75,17.3,16479
2015-12-31 00:00:00+05:30,17.05,17.7,17.0,17.2,45234
2016-01-01 00:00:00+05:30,17.0,17.75,17.0,17.35,9857
2016-01-04 00:00:00+05:30,17.1,17.45,16.85,16.9,16429
2016-01-05 00:00:00+05:30,17.2,18.25,16.75,18.1,56513
