date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,92.0,92.9,91.6,92.05,103120
2015-01-02 00:00:00+05:30,92.5,92.6,91.75,92.25,94450
2015-01-05 00:00:00+05:30,92.25,93.05,91.6,92.6,68970
2015-01-06 00:00:00+05:30,92.0,92.6,90.35,91.95,257830
2015-01-07 00:00:00+05:30,91.0,92.2,90.2,92.0,105390
2015-01-08 00:00:00+05:30,92.05,93.75,91.45,93.45,169825
2015-01-09 00:00:00+05:30,92.6,94.4,92.15,93.55,124590
2015-01-12 00:00:00+05:30,94.7,96.4,93.4,95.9,175535
2015-01-13 00:00:00+05:30,96.8,96.8,94.6,95.0,148390
2015-01-14 00:00:00+05:30,95.0,95.65,93.9,94.0,137590
2015-01-15 00:00:00+05:30,93.5,95.0,92.6,94.25,250850
2015-01-16 00:00:00+05:30,93.0,95.0,92.7,93.6,22300
2015-01-19 00:00:00+05:30,90.6,93.4,90.2,91.7,62155
2015-01-20 00:00:00+05:30,90.4,93.0,90.4,92.0,130610
2015-01-21 00:00:00+05:30,91.2,94.0,91.2,93.15,67890
2015-01-22 00:00:00+05:30,93.8,95.65,93.35,94.65,85810
2015-01-23 00:00:00+05:30,94.0,95.65,92.55,95.0,195580
2015-01-27 00:00:00+05:30,94.0,94.8,86.2,89.85,158860
2015-01-28 00:00:00+05:30,89.3,89.4,85.75,87.0,1239210
2015-01-29 00:00:00+05:30,87.05,87.05,84.8,86.1,70740
2015-01-30 00:00:00+05:30,85.2,88.8,85.2,87.85,58905
2015-02-02 00:00:00+05:30,88.95,89.6,87.95,89.45,35580
2015-02-03 00:00:00+05:30,90.0,91.5,88.55,90.85,929375
2015-02-04 00:00:00+05:30,91.0,92.8,90.1,92.05,98580
2015-02-05 00:00:00+05:30,92.55,93.6,91.4,92.0,97265
2015-02-06 00:00:00+05:30,89.0,89.0,85.1,87.45,182065
2015-02-09 00:00:00+05:30,88.0,92.2,86.2,91.7,194860
2015-02-10 00:00:00+05:30,92.4,92.6,88.45,92.45,117670
2015-02-11 00:00:00+05:30,92.8,93.9,90.2,93.45,100905
2015-02-12 00:00:00+05:30,93.6,94.4,92.2,93.25,47220
2015-02-13 00:00:00+05:30,94.4,94.4,92.95,93.85,57305
2015-02-16 00:00:00+05:30,94.5,94.7,93.25,94.5,54900
2015-02-18 00:00:00+05:30,93.15,96.0,93.15,95.3,80140
2015-02-19 00:00:00+05:30,94.25,97.95,94.25,96.45,193645
2015-02-20 00:00:00+05:30,96.45,101.8,96.15,99.2,231590
2015-02-23 00:00:00+05:30,98.0,100.4,98.0,98.35,259375
2015-02-24 00:00:00+05:30,98.05,103.15,97.0,100.3,746700
2015-02-25 00:00:00+05:30,99.2,102.8,99.0,100.1,105280
2015-02-26 00:00:00+05:30,100.75,101.4,99.5,100.1,121980
2015-02-27 00:00:00+05:30,100.6,104.45,100.35,103.25,291465
2015-03-02 00:00:00+05:30,102.0,102.4,98.8,100.05,74710
2015-03-03 00:00:00+05:30,100.4,103.6,100.4,102.2,111680
2015-03-04 00:00:00+05:30,103.4,104.4,102.0,103.05,210870
2015-03-05 00:00:00+05:30,102.4,104.4,101.2,102.8,71230
2015-03-09 00:00:00+05:30,102.6,103.6,100.2,102.2,429990
2015-03-10 00:00:00+05:30,101.6,103.6,101.25,102.75,231130
2015-03-11 00:00:00+05:30,101.6,108.0,101.35,105.3,817530
2015-03-12 00:00:00+05:30,105.45,113.55,105.05,111.0,614785
2015-03-13 00:00:00+05:30,110.0,111.85,105.6,106.35,114635
2015-03-16 00:00:00+05:30,105.0,107.0,103.35,105.6,132855
2015-03-17 00:00:00+05:30,105.4,107.0,105.0,105.55,77135
2015-03-18 00:00:00+05:30,106.55,108.0,104.3,107.0,99245
2015-03-19 00:00:00+05:30,107.4,107.9,104.0,105.85,105460
2015-03-20 00:00:00+05:30,105.8,106.9,104.4,105.45,54885
2015-03-23 00:00:00+05:30,104.45,108.85,104.4,107.7,87495
2015-03-24 00:00:00+05:30,107.65,108.6,105.05,107.45,111495
2015-03-25 00:00:00+05:30,106.2,107.2,106.0,106.15,94835
2015-03-26 00:00:00+05:30,104.85,106.8,104.55,106.05,49565
2015-03-27 00:00:00+05:30,105.6,107.0,104.0,105.95,62410
2015-03-30 00:00:00+05:30,106.1,109.0,106.0,107.85,46930
2015-03-31 00:00:00+05:30,109.4,110.0,107.05,108.3,118100
2015-04-01 00:00:00+05:30,109.7,112.0,108.2,110.95,226805
2015-04-06 00:00:00+05:30,109.6,116.8,109.6,113.1,214955
2015-04-07 00:00:00+05:30,113.8,115.0,112.0,114.15,122915
2015-04-08 00:00:00+05:30,113.6,119.8,113.6,119.4,225540
2015-04-09 00:00:00+05:30,119.8,121.6,116.35,117.35,79135
2015-04-10 00:00:00+05:30,118.8,121.3,116.2,118.7,67485
2015-04-13 00:00:00+05:30,118.65,142.4,118.65,137.95,1075355
2015-04-15 00:00:00+05:30,141.4,144.65,130.45,135.45,1219820
2015-04-16 00:00:00+05:30,135.4,142.8,130.4,136.8,553125
2015-04-17 00:00:00+05:30,136.55,142.6,130.6,133.15,210400
2015-04-20 00:00:00+05:30,134.5,134.5,129.2,130.45,197990
2015-04-21 00:00:00+05:30,130.6,133.8,128.4,131.25,146290
2015-04-22 00:00:00+05:30,131.4,137.6,131.4,135.65,352310
2015-04-23 00:00:00+05:30,136.8,140.0,135.0,138.4,279850
2015-04-24 00:00:00+05:30,137.2,137.75,126.3,129.15,264785
2015-04-27 00:00:00+05:30,129.1,130.5,122.2,125.6,177050
2015-04-28 00:00:00+05:30,121.45,127.0,121.45,125.95,110150
2015-04-29 00:00:00+05:30,127.15,130.6,122.65,129.15,76790
2015-04-30 00:00:00+05:30,128.65,132.6,127.15,129.75,105070
2015-05-04 00:00:00+05:30,132.3,133.0,124.45,125.85,80715
2015-05-05 00:00:00+05:30,127.0,127.6,124.4,125.85,54725
