date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,736.9,751.5,736.75,739.6,54892
2015-01-02 00:00:00+05:30,740.6,760.1,740.6,753.28,48680
2015-01-05 00:00:00+05:30,775.83,812.5,767.15,799.68,507644
2015-01-06 00:00:00+05:30,792.0,795.0,765.68,775.7,88808
2015-01-07 00:00:00+05:30,770.0,787.5,766.0,771.9,47214
2015-01-08 00:00:00+05:30,784.0,812.25,780.03,788.3,109018
2015-01-09 00:00:00+05:30,797.45,805.0,784.0,786.05,50976
2015-01-12 00:00:00+05:30,786.45,800.0,783.0,792.98,68522
2015-01-13 00:00:00+05:30,801.78,802.5,787.5,799.88,54188
2015-01-14 00:00:00+05:30,800.0,819.0,790.0,793.93,75194
2015-01-15 00:00:00+05:30,795.0,805.0,775.25,797.28,44534
2015-01-16 00:00:00+05:30,797.28,802.55,780.55,792.25,35326
2015-01-19 00:00:00+05:30,800.0,800.0,775.0,779.3,48708
2015-01-20 00:00:00+05:30,782.0,788.75,770.0,772.98,36728
2015-01-21 00:00:00+05:30,775.5,787.0,768.5,776.58,70644
2015-01-22 00:00:00+05:30,779.0,817.5,777.5,807.1,119200
2015-01-23 00:00:00+05:30,814.45,814.5,790.03,797.9,68598
2015-01-27 00:00:00+05:30,800.0,809.1,779.5,803.23,60634
2015-01-28 00:00:00+05:30,802.48,805.0,794.0,800.65,46848
2015-01-29 00:00:00+05:30,803.5,805.0,769.8,796.25,69650
2015-01-30 00:00:00+05:30,796.25,817.5,782.5,805.68,124246
2015-02-02 00:00:00+05:30,805.68,819.8,778.5,780.95,74458
2015-02-03 00:00:00+05:30,778.6,795.5,769.0,775.68,48682
2015-02-04 00:00:00+05:30,787.5,787.5,769.5,773.95,32682
2015-02-05 00:00:00+05:30,783.5,791.5,775.0,781.98,177814
2015-02-06 00:00:00+05:30,778.0,778.5,749.98,754.53,178352
2015-02-09 00:00:00+05:30,775.0,785.0,725.0,731.13,187780
2015-02-10 00:00:00+05:30,732.53,756.0,726.38,734.28,63062
2015-02-11 00:00:00+05:30,737.05,750.03,737.05,749.83,31696
