date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,68.5,70.25,67.75,69.34,65232
2015-01-02 00:00:00+05:30,68.7,72.7,68.7,70.5,198386
2015-01-05 00:00:00+05:30,70.15,73.55,69.65,71.15,246320
2015-01-06 00:00:00+05:30,71.45,71.45,68.0,68.15,134532
2015-01-07 00:00:00+05:30,67.5,69.9,66.5,66.7,98115
2015-01-08 00:00:00+05:30,69.7,70.15,67.25,69.2,116753
2015-01-09 00:00:00+05:30,69.45,69.8,67.4,67.9,55215
2015-01-12 00:00:00+05:30,68.0,69.9,68.0,68.7,63552
2015-01-13 00:00:00+05:30,68.9,69.75,67.0,67.25,67971
2015-01-14 00:00:00+05:30,67.15,68.0,66.55,67.2,73173
2015-01-15 00:00:00+05:30,67.25,69.25,67.25,68.8,97793
2015-01-16 00:00:00+05:30,68.8,68.8,66.34,66.75,65580
2015-01-19 00:00:00+05:30,67.0,69.0,66.8,67.2,93621
2015-01-20 00:00:00+05:30,67.55,69.9,67.4,68.84,152374
2015-01-21 00:00:00+05:30,68.8,70.0,67.09,67.4,80809
2015-01-22 00:00:00+05:30,67.5,68.34,66.5,66.84,69319
2015-01-23 00:00:00+05:30,66.84,68.0,66.05,66.45,69736
2015-01-27 00:00:00+05:30,66.45,68.3,66.05,66.59,106886
2015-01-28 00:00:00+05:30,66.59,68.4,66.0,67.55,101219
2015-01-29 00:00:00+05:30,72.0,77.0,69.7,70.2,890976
2015-01-30 00:00:00+05:30,70.59,70.95,67.45,67.75,181620
2015-02-02 00:00:00+05:30,68.0,70.3,67.8,68.2,195717
2015-02-03 00:00:00+05:30,68.25,69.5,67.0,67.9,95951
2015-02-04 00:00:00+05:30,68.09,68.95,66.8,67.09,81205
2015-02-05 00:00:00+05:30,66.4,67.8,65.15,65.9,79000
2015-02-06 00:00:00+05:30,65.4,65.75,63.25,63.9,67702
2015-02-09 00:00:00+05:30,63.9,64.9,62.55,63.2,199397
2015-02-10 00:00:00+05:30,61.85,67.4,60.6,61.95,87668
2015-02-11 00:00:00+05:30,64.75,64.75,62.1,62.75,78694
2015-02-12 00:00:00+05:30,62.6,66.3,62.6,65.15,77373
2015-02-13 00:00:00+05:30,65.8,65.95,63.0,63.9,46022
2015-02-16 00:00:00+05:30,63.9,66.9,63.3,65.5,133259
2015-02-18 00:00:00+05:30,66.34,66.34,63.7,64.0,84735
2015-02-19 00:00:00+05:30,64.0,64.9,59.75,62.0,130454
2015-02-20 00:00:00+05:30,61.5,63.8,61.4,62.5,115740
2015-02-23 00:00:00+05:30,65.9,68.0,63.5,64.8,487137
2015-02-24 00:00:00+05:30,64.65,67.5,64.45,66.7,282707
2015-02-25 00:00:00+05:30,66.5,68.5,65.2,66.4,318321
2015-02-26 00:00:00+05:30,66.5,67.0,65.0,65.59,96322
2015-02-27 00:00:00+05:30,65.65,69.9,65.65,68.7,320641
2015-03-02 00:00:00+05:30,68.3,68.59,65.7,66.65,51453
2015-03-03 00:00:00+05:30,66.8,69.9,66.45,68.75,125250
2015-03-04 00:00:00+05:30,69.0,69.59,67.15,67.65,114976
2015-03-05 00:00:00+05:30,66.25,67.8,65.2,65.45,77057
2015-03-09 00:00:00+05:30,65.05,66.09,64.0,64.25,44807
2015-03-10 00:00:00+05:30,64.0,65.25,63.5,63.8,57787
2015-03-11 00:00:00+05:30,63.05,64.7,63.05,63.8,379366
2015-03-12 00:00:00+05:30,63.75,65.65,63.75,64.55,41006
2015-03-13 00:00:00+05:30,64.55,64.9,63.0,63.55,56833
2015-03-16 00:00:00+05:30,64.95,65.5,63.7,64.59,51894
2015-03-17 00:00:00+05:30,64.09,64.59,59.9,62.05,189934
2015-03-18 00:00:00+05:30,62.4,62.6,61.0,61.25,100011
2015-03-19 00:00:00+05:30,62.75,62.75,60.5,61.0,54727
2015-03-20 00:00:00+05:30,60.15,64.3,56.1,60.65,524046
2015-03-23 00:00:00+05:30,60.4,60.9,54.0,55.5,324390
2015-03-24 00:00:00+05:30,57.45,57.6,55.05,55.3,87242
2015-03-25 00:00:00+05:30,54.3,55.1,53.15,53.55,87228
2015-03-26 00:00:00+05:30,54.8,54.8,52.0,52.35,68852
2015-03-27 00:00:00+05:30,53.05,57.45,52.15,52.7,126428
2015-03-30 00:00:00+05:30,53.05,54.5,52.0,53.75,89465
2015-03-31 00:00:00+05:30,53.7,55.0,53.65,53.85,183443
2015-04-01 00:00:00+05:30,53.15,56.95,53.15,56.1,125260
2015-04-06 00:00:00+05:30,56.9,57.0,54.65,55.85,33049
2015-04-07 00:00:00+05:30,55.75,56.95,55.55,56.3,46224
2015-04-08 00:00:00+05:30,56.7,58.75,56.7,57.35,74151
2015-04-09 00:00:00+05:30,57.6,59.5,57.0,57.45,57887
2015-04-10 00:00:00+05:30,57.45,60.25,57.4,59.3,104637
2015-04-13 00:00:00+05:30,59.75,62.9,59.75,60.55,154504
2015-04-15 00:00:00+05:30,60.15,61.5,58.0,59.2,82568
2015-04-16 00:00:00+05:30,57.6,59.4,56.65,58.5,136685
2015-04-17 00:00:00+05:30,58.4,59.2,57.3,57.6,51428
2015-04-20 00:00:00+05:30,58.5,58.5,56.1,57.85,97657
2015-04-21 00:00:00+05:30,58.35,59.95,58.25,58.95,110162
2015-04-22 00:00:00+05:30,58.35,59.9,56.3,57.3,65731
2015-04-23 00:00:00+05:30,57.15,59.4,57.15,58.8,90252
2015-04-24 00:00:00+05:30,59.05,59.05,57.1,57.5,89990
