date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,38.0,38.0,37.04,37.04,407
2015-01-02 00:00:00+05:30,43.0,43.0,34.2,38.9,1467
2015-01-05 00:00:00+05:30,36.0,41.5,36.0,38.04,6751
2015-01-06 00:00:00+05:30,38.0,39.85,38.0,39.29,203
2015-01-07 00:00:00+05:30,37.15,40.95,37.15,40.85,1515
2015-01-08 00:00:00+05:30,38.29,40.95,38.29,39.04,4822
2015-01-09 00:00:00+05:30,40.0,40.0,37.54,37.79,195
2015-01-12 00:00:00+05:30,38.04,38.04,38.04,38.04,17
2015-01-13 00:00:00+05:30,37.04,39.9,37.04,37.95,127
2015-01-14 00:00:00+05:30,39.9,40.9,38.0,39.7,3102
2015-01-15 00:00:00+05:30,38.15,39.9,38.1,38.15,64
2015-01-16 00:00:00+05:30,38.2,39.79,38.15,38.9,287
2015-01-19 00:00:00+05:30,37.79,39.79,37.7,38.2,127
2015-01-20 00:00:00+05:30,37.45,39.75,37.45,38.25,5082
2015-01-21 00:00:00+05:30,37.25,38.2,37.25,38.1,1607
2015-01-22 00:00:00+05:30,37.29,38.29,37.29,38.0,516
2015-01-23 00:00:00+05:30,37.25,38.4,37.25,38.4,189
2015-01-27 00:00:00+05:30,37.04,38.0,35.65,38.0,2143
2015-01-28 00:00:00+05:30,37.2,38.04,37.2,37.29,1112
2015-01-29 00:00:00+05:30,40.7,40.7,36.2,37.0,371
2015-01-30 00:00:00+05:30,36.75,41.0,36.54,40.2,9151
2015-02-02 00:00:00+05:30,38.0,40.95,38.0,40.5,723
2015-02-03 00:00:00+05:30,39.15,40.5,39.15,40.5,1011
2015-02-04 00:00:00+05:30,38.2,41.55,38.2,39.04,239
2015-02-05 00:00:00+05:30,38.15,38.29,38.15,38.25,1272
2015-02-06 00:00:00+05:30,37.15,39.9,37.1,39.9,685
2015-02-09 00:00:00+05:30,40.5,41.0,38.1,39.04,293
2015-02-10 00:00:00+05:30,41.0,41.0,40.04,40.15,1110
2015-02-11 00:00:00+05:30,38.6,40.15,38.4,40.0,1299
2015-02-12 00:00:00+05:30,40.1,40.1,40.1,40.1,3
2015-02-13 00:00:00+05:30,40.1,40.1,39.4,39.4,2118
2015-02-16 00:00:00+05:30,39.29,40.9,38.1,40.54,1143
2015-02-18 00:00:00+05:30,39.04,40.4,38.15,40.0,271
2015-02-19 00:00:00+05:30,39.0,39.4,39.0,39.4,8
2015-02-20 00:00:00+05:30,38.1,41.0,38.1,39.0,784
2015-02-23 00:00:00+05:30,39.1,39.1,39.1,39.1,25
2015-02-24 00:00:00+05:30,43.4,43.4,38.2,38.29,110
2015-02-25 00:00:00+05:30,37.0,37.29,36.0,37.29,18
2015-02-26 00:00:00+05:30,37.0,41.2,35.6,40.7,887
2015-02-27 00:00:00+05:30,40.79,42.1,37.6,38.7,2266
2015-03-02 00:00:00+05:30,37.4,40.95,37.4,38.1,52
2015-03-03 00:00:00+05:30,34.1,40.0,34.1,38.85,1265
2015-03-04 00:00:00+05:30,40.0,40.0,37.79,38.0,1456
2015-03-05 00:00:00+05:30,33.15,39.6,33.15,37.4,4255
2015-03-09 00:00:00+05:30,36.0,38.0,35.0,38.0,1073
2015-03-10 00:00:00+05:30,36.65,39.75,35.54,38.04,14924
2015-03-11 00:00:00+05:30,38.0,38.0,37.25,37.4,328
2015-03-12 00:00:00+05:30,37.0,37.04,37.0,37.0,226
2015-03-13 00:00:00+05:30,36.0,39.25,34.7,39.2,227
2015-03-16 00:00:00+05:30,37.7,40.6,37.7,38.0,10
2015-03-17 00:00:00+05:30,38.0,39.45,35.4,39.25,1592
2015-03-18 00:00:00+05:30,37.2,37.35,37.2,37.29,140
2015-03-19 00:00:00+05:30,39.9,39.9,37.45,38.9,21
2015-03-20 00:00:00+05:30,36.45,36.45,36.45,36.45,7
2015-03-23 00:00:00+05:30,39.6,39.6,35.29,37.54,786
2015-03-24 00:00:00+05:30,36.0,39.0,36.0,38.5,330
2015-03-25 00:00:00+05:30,38.0,38.29,34.1,34.35,1061
2015-03-26 00:00:00+05:30,33.0,35.04,33.0,35.0,19
2015-03-27 00:00:00+05:30,33.0,37.95,33.0,37.95,310
2015-03-30 00:00:00+05:30,35.2,35.25,35.2,35.2,24
2015-03-31 00:00:00+05:30,35.0,35.1,35.0,35.04,471
2015-04-01 00:00:00+05:30,35.2,35.2,35.2,35.2,509
2015-04-06 00:00:00+05:30,31.7,35.0,30.75,35.0,47
2015-04-07 00:00:00+05:30,35.0,38.79,35.0,38.0,50
2015-04-08 00:00:00+05:30,35.2,39.0,33.75,37.2,4082
2015-04-09 00:00:00+05:30,35.6,38.0,34.7,35.35,152
2015-04-10 00:00:00+05:30,38.75,39.0,38.75,38.85,931
2015-04-13 00:00:00+05:30,36.6,40.0,36.6,39.1,433
2015-04-15 00:00:00+05:30,38.9,39.0,38.9,39.0,41
2015-04-16 00:00:00+05:30,37.1,38.79,35.65,38.0,1433
2015-04-17 00:00:00+05:30,36.79,36.79,36.04,36.2,52
2015-04-20 00:00:00+05:30,38.79,38.79,35.6,35.95,6025
2015-04-21 00:00:00+05:30,35.15,36.95,35.15,35.29,1180
2015-04-23 00:00:00+05:30,33.65,35.1,33.65,35.1,32
2015-04-28 00:00:00+05:30,34.0,38.7,34.0,35.85,538
2015-04-29 00:00:00+05:30,38.95,40.1,34.7,39.1,6579
2015-04-30 00:00:00+05:30,39.7,42.7,36.7,37.45,1739
2015-05-04 00:00:00+05:30,42.4,42.4,35.29,39.65,397
2015-05-05 00:00:00+05:30,42.65,42.65,38.6,39.1,586
2015-05-06 00:00:00+05:30,37.0,38.25,37.0,38.2,16
2015-05-07 00:00:00+05:30,37.15,39.85,37.15,39.85,458
2015-05-08 00:00:00+05:30,38.35,40.95,38.35,39.0,220
2015-05-11 00:00:00+05:30,38.0,39.0,38.0,39.0,36
2015-05-12 00:00:00+05:30,36.0,39.0,36.0,37.5,28
2015-05-15 00:00:00+05:30,41.0,41.0,38.1,38.1,10737
2015-05-18 00:00:00+05:30,40.0,41.8,40.0,40.0,1206
2015-05-19 00:00:00+05:30,38.0,43.75,36.65,42.15,149
2015-05-20 00:00:00+05:30,40.0,42.85,40.0,41.0,288
2015-05-21 00:00:00+05:30,41.0,41.0,39.1,40.25,130
2015-05-22 00:00:00+05:30,41.0,41.0,39.1,39.1,40
2015-05-25 00:00:00+05:30,35.7,42.85,35.7,38.29,154
2015-05-26 00:00:00+05:30,38.15,38.9,38.1,38.25,348
2015-05-27 00:00:00+05:30,38.1,38.25,38.1,38.2,550
2015-05-29 00:00:00+05:30,38.04,38.1,38.0,38.1,15
2015-06-01 00:00:00+05:30,38.0,38.1,38.0,38.1,42
2015-06-02 00:00:00+05:30,38.1,42.8,38.0,41.8,2411
2015-06-03 00:00:00+05:30,39.0,39.0,38.0,38.0,102
2015-06-04 00:00:00+05:30,37.04,37.04,34.25,35.0,4
2015-06-05 00:00:00+05:30,38.1,38.1,38.1,38.1,114
2015-06-08 00:00:00+05:30,38.1,38.1,38.1,38.1,2
2015-06-09 00:00:00+05:30,38.1,38.1,38.04,38.1,33
2015-06-10 00:00:00+05:30,38.0,41.9,38.0,38.1,3022
2015-06-12 00:00:00+05:30,36.54,38.0,36.5,38.0,57
2015-06-15 00:00:00+05:30,37.0,38.5,37.0,37.1,50
2015-06-16 00:00:00+05:30,35.15,36.0,35.04,36.0,101
2015-06-17 00:00:00+05:30,36.04,38.5,36.04,38.5,228
2015-06-18 00:00:00+05:30,37.0,37.0,37.0,37.0,53
