date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,33.29,34.0,32.9,33.05,240650
2015-01-02 00:00:00+05:30,33.38,34.48,33.0,33.44,518140
2015-01-05 00:00:00+05:30,33.77,33.8,31.83,32.56,699200
2015-01-06 00:00:00+05:30,32.89,32.89,30.86,31.24,310070
2015-01-07 00:00:00+05:30,31.55,32.44,30.6,31.99,387400
2015-01-08 00:00:00+05:30,32.4,33.3,32.4,32.93,825490
2015-01-09 00:00:00+05:30,33.1,33.5,32.81,33.11,224790
2015-01-12 00:00:00+05:30,33.44,33.6,32.86,33.0,163950
2015-01-13 00:00:00+05:30,33.33,33.4,32.8,32.99,122260
2015-01-14 00:00:00+05:30,32.51,34.3,32.51,33.86,3018210
2015-01-15 00:00:00+05:30,34.2,34.7,33.24,34.11,180530
2015-01-16 00:00:00+05:30,33.31,34.9,33.31,34.24,225980
2015-01-19 00:00:00+05:30,34.58,34.77,33.84,34.23,266480
2015-01-20 00:00:00+05:30,34.0,35.75,34.0,34.91,289360
2015-01-21 00:00:00+05:30,35.26,35.61,33.71,34.03,1289820
2015-01-22 00:00:00+05:30,34.03,34.87,33.72,34.06,166120
2015-01-23 00:00:00+05:30,34.11,35.08,33.81,34.2,153300
2015-01-27 00:00:00+05:30,34.01,34.8,34.01,34.36,265850
2015-01-28 00:00:00+05:30,34.36,35.47,33.87,35.13,1618510
2015-01-29 00:00:00+05:30,35.4,36.65,35.31,35.88,727430
2015-01-30 00:00:00+05:30,37.11,38.48,36.5,38.33,2629650
2015-02-02 00:00:00+05:30,38.02,40.0,38.02,38.98,1499220
2015-02-03 00:00:00+05:30,39.36,39.36,37.01,37.22,397170
2015-02-04 00:00:00+05:30,37.2,38.3,36.11,36.86,590100
2015-02-05 00:00:00+05:30,36.61,38.31,36.61,37.91,1442940
2015-02-06 00:00:00+05:30,38.25,39.5,37.5,37.77,563250
2015-02-09 00:00:00+05:30,37.61,38.0,36.43,37.05,299900
2015-02-10 00:00:00+05:30,37.49,38.0,36.5,36.96,172290
2015-02-11 00:00:00+05:30,37.02,37.69,36.8,36.93,235930
2015-02-12 00:00:00+05:30,37.0,37.3,36.78,36.9,130200
2015-02-13 00:00:00+05:30,36.99,37.44,35.63,36.04,151840
2015-02-16 00:00:00+05:30,35.11,37.4,35.11,35.64,103740
2015-02-18 00:00:00+05:30,35.6,36.5,35.48,36.12,2307840
2015-02-19 00:00:00+05:30,36.2,36.75,34.81,35.45,356820
2015-02-20 00:00:00+05:30,35.61,35.78,35.18,35.48,407490
2015-02-23 00:00:00+05:30,35.51,36.04,35.5,35.56,612820
2015-02-24 00:00:00+05:30,36.0,36.04,34.55,34.88,782990
2015-02-25 00:00:00+05:30,35.1,35.87,35.0,35.52,303250
2015-02-26 00:00:00+05:30,35.21,35.86,35.0,35.07,294270
2015-02-27 00:00:00+05:30,35.1,35.9,35.1,35.89,594820
2015-03-02 00:00:00+05:30,35.1,35.49,34.5,34.97,1446300
2015-03-03 00:00:00+05:30,34.61,35.5,34.09,34.52,265850
2015-03-04 00:00:00+05:30,34.4,35.2,29.68,34.34,267950
2015-03-05 00:00:00+05:30,33.23,35.0,32.9,34.63,590340
2015-03-09 00:00:00+05:30,34.3,34.98,33.9,34.01,140770
2015-03-10 00:00:00+05:30,33.8,34.5,33.66,34.1,1207060
2015-03-11 00:00:00+05:30,33.7,34.69,33.1,33.58,328000
2015-03-12 00:00:00+05:30,33.39,34.09,33.18,33.82,341170
2015-03-13 00:00:00+05:30,34.28,34.28,32.41,32.74,1329930
2015-03-16 00:00:00+05:30,32.88,34.09,31.8,33.17,544920
2015-03-17 00:00:00+05:30,33.84,33.84,32.45,32.6,513660
2015-03-18 00:00:00+05:30,32.32,34.36,32.32,33.93,503120
2015-03-19 00:00:00+05:30,34.89,34.89,33.61,33.86,1107160
2015-03-20 00:00:00+05:30,33.62,34.2,32.6,33.42,1348820
2015-03-23 00:00:00+05:30,33.36,33.68,32.7,33.11,1292410
2015-03-24 00:00:00+05:30,33.39,33.7,32.5,32.68,171200
2015-03-25 00:00:00+05:30,32.22,33.3,32.22,32.97,3006430
2015-03-26 00:00:00+05:30,32.6,33.0,32.1,32.77,2198910
2015-03-27 00:00:00+05:30,32.77,33.2,32.31,32.9,1151960
2015-03-30 00:00:00+05:30,32.9,34.39,32.71,34.18,1847820
2015-03-31 00:00:00+05:30,34.0,35.99,34.0,35.58,1218320
2015-04-01 00:00:00+05:30,35.4,38.8,35.4,37.89,765820
2015-04-06 00:00:00+05:30,37.37,39.3,37.3,37.5,514290
2015-04-07 00:00:00+05:30,37.5,38.0,36.05,36.62,708620
2015-04-08 00:00:00+05:30,36.63,39.0,36.13,38.41,980450
2015-04-09 00:00:00+05:30,37.57,39.2,37.57,38.08,454270
2015-04-10 00:00:00+05:30,36.91,40.67,36.91,39.78,1313800
2015-04-13 00:00:00+05:30,40.24,43.69,40.2,42.83,3950130
2015-04-15 00:00:00+05:30,43.74,45.0,42.7,43.28,2554040
2015-04-16 00:00:00+05:30,43.3,43.52,41.37,42.22,487370
2015-04-17 00:00:00+05:30,42.78,42.78,40.9,41.07,363680
2015-04-20 00:00:00+05:30,40.4,41.85,39.4,40.7,787720
2015-04-21 00:00:00+05:30,39.5,42.47,39.5,42.26,728420
2015-04-22 00:00:00+05:30,41.46,43.38,41.46,42.47,2183700
2015-04-23 00:00:00+05:30,42.58,44.09,42.58,43.39,784080
2015-04-24 00:00:00+05:30,43.01,43.75,36.4,38.96,1972560
2015-04-27 00:00:00+05:30,40.5,41.3,35.8,38.01,1323840
2015-04-28 00:00:00+05:30,37.91,41.9,37.91,41.41,1292390
2015-04-29 00:00:00+05:30,41.79,46.17,41.4,44.84,11757190
2015-04-30 00:00:00+05:30,45.45,49.31,43.7,47.39,11083500
2015-05-04 00:00:00+05:30,48.3,50.5,47.96,49.66,5227580
2015-05-05 00:00:00+05:30,49.6,49.9,48.1,48.48,1650970
2015-05-06 00:00:00+05:30,48.6,48.8,46.01,46.93,2244750
2015-05-07 00:00:00+05:30,47.2,52.47,46.72,49.86,9419660
2015-05-08 00:00:00+05:30,50.5,52.0,48.87,49.87,2957140
2015-05-11 00:00:00+05:30,50.0,51.7,50.0,50.64,1932450
2015-05-12 00:00:00+05:30,50.2,50.82,49.44,50.7,1269440
2015-05-13 00:00:00+05:30,50.53,53.7,50.3,52.99,5784520
2015-05-14 00:00:00+05:30,53.0,55.38,52.12,55.06,3955950
2015-05-15 00:00:00+05:30,54.63,55.4,53.0,53.65,1232070
2015-05-18 00:00:00+05:30,53.6,55.3,52.8,54.05,2228140
2015-05-19 00:00:00+05:30,53.97,57.0,53.8,56.65,2988670
2015-05-20 00:00:00+05:30,56.9,56.9,54.0,54.79,1030490
2015-05-21 00:00:00+05:30,54.21,55.56,53.66,54.29,2225910
2015-05-22 00:00:00+05:30,54.29,56.0,54.29,55.59,1145310
2015-05-25 00:00:00+05:30,54.5,56.3,53.51,55.79,800000
2015-05-26 00:00:00+05:30,55.99,57.5,55.04,56.91,1717590
2015-05-27 00:00:00+05:30,56.2,57.19,55.7,56.5,986220
2015-05-28 00:00:00+05:30,56.8,56.9,54.81,55.23,1240620
2015-05-29 00:00:00+05:30,55.7,57.25,54.54,56.56,3302490
2015-06-01 00:00:00+05:30,56.87,57.8,56.46,57.19,1108900
2015-06-02 00:00:00+05:30,57.57,57.57,55.1,55.67,711960
2015-06-03 00:00:00+05:30,55.68,56.67,51.4,54.05,1506860
2015-06-04 00:00:00+05:30,54.03,55.8,53.4,54.58,561490
2015-06-05 00:00:00+05:30,54.5,55.26,53.72,54.18,381690
2015-06-08 00:00:00+05:30,54.2,55.0,52.8,53.59,429320
2015-06-09 00:00:00+05:30,53.49,53.55,50.5,52.23,538300
2015-06-10 00:00:00+05:30,52.1,54.49,52.1,52.99,410050
2015-06-11 00:00:00+05:30,53.39,53.78,51.21,51.49,340060
2015-06-12 00:00:00+05:30,51.49,52.98,47.0,51.63,789810
2015-06-15 00:00:00+05:30,50.6,53.4,50.6,51.94,464830
2015-06-16 00:00:00+05:30,52.16,54.1,52.08,53.8,936880
2015-06-17 00:00:00+05:30,54.2,55.47,54.0,54.7,649300
2015-06-18 00:00:00+05:30,54.85,56.45,54.55,55.84,1802820
2015-06-19 00:00:00+05:30,55.6,58.98,55.6,57.39,1986590
2015-06-22 00:00:00+05:30,58.5,63.26,58.5,62.26,9092960
2015-06-23 00:00:00+05:30,62.65,62.78,59.59,61.1,2340140
2015-06-24 00:00:00+05:30,60.8,61.52,59.33,60.4,1730630
2015-06-25 00:00:00+05:30,60.36,62.19,60.0,60.75,1559790
2015-06-26 00:00:00+05:30,60.52,63.75,60.52,63.31,3464180
2015-06-29 00:00:00+05:30,62.39,63.9,60.5,62.54,1503260
2015-06-30 00:00:00+05:30,63.35,64.99,62.79,64.29,1767100
2015-07-01 00:00:00+05:30,64.24,65.4,63.13,63.59,935360
2015-07-02 00:00:00+05:30,63.99,66.7,63.62,66.27,1941380
2015-07-03 00:00:00+05:30,66.7,66.98,64.0,64.73,1221860
2015-07-06 00:00:00+05:30,64.29,71.88,63.5,70.7,6293470
2015-07-07 00:00:00+05:30,71.0,71.88,68.9,70.0,2140150
2015-07-08 00:00:00+05:30,68.6,72.48,68.6,69.76,2221980
2015-07-09 00:00:00+05:30,70.48,71.5,69.0,69.89,1348530
2015-07-10 00:00:00+05:30,70.49,71.5,70.05,71.3,937800
2015-07-13 00:00:00+05:30,71.9,74.37,70.77,73.55,3418350
2015-07-14 00:00:00+05:30,74.13,75.4,73.11,73.45,2788930
2015-07-15 00:00:00+05:30,73.91,75.0,73.62,73.93,1401360
2015-07-16 00:00:00+05:30,74.4,78.5,74.03,75.63,4691860
2015-07-17 00:00:00+05:30,76.14,78.1,76.1,77.57,2546340
2015-07-20 00:00:00+05:30,78.3,79.9,76.11,77.36,8264270
2015-07-21 00:00:00+05:30,76.5,77.76,72.51,73.2,3701330
2015-07-22 00:00:00+05:30,72.8,78.74,72.72,78.04,7690030
2015-07-23 00:00:00+05:30,78.2,82.4,77.75,78.9,8857870
2015-07-24 00:00:00+05:30,78.0,81.5,78.0,80.43,3891400
2015-07-27 00:00:00+05:30,80.9,81.51,79.0,79.52,2951040
2015-07-28 00:00:00+05:30,80.22,84.9,80.22,84.22,5995970
2015-07-29 00:00:00+05:30,84.9,88.92,84.9,86.67,5817320
2015-07-30 00:00:00+05:30,87.3,90.0,87.12,89.81,3083460
2015-07-31 00:00:00+05:30,90.29,91.0,87.9,89.71,3623520
2015-08-03 00:00:00+05:30,90.19,95.03,89.97,94.4,4162720
2015-08-04 00:00:00+05:30,94.6,96.3,89.1,92.55,5244320
2015-08-05 00:00:00+05:30,92.66,93.88,90.7,93.39,2397280
2015-08-06 00:00:00+05:30,93.78,93.8,87.16,87.76,4118280
2015-08-07 00:00:00+05:30,87.81,90.24,87.81,88.2,1692230
2015-08-10 00:00:00+05:30,88.6,91.9,85.7,86.85,2035550
2015-08-11 00:00:00+05:30,87.54,88.7,84.41,84.8,1518490
2015-08-12 00:00:00+05:30,84.79,85.95,80.71,81.13,2187120
2015-08-13 00:00:00+05:30,81.94,84.75,76.6,78.56,3740540
2015-08-14 00:00:00+05:30,79.35,82.5,71.48,80.68,3977560
2015-08-17 00:00:00+05:30,81.0,81.77,78.94,80.47,2514440
2015-08-18 00:00:00+05:30,80.6,84.8,80.0,83.85,3184790
2015-08-19 00:00:00+05:30,84.65,87.9,84.1,87.65,3530430
2015-08-20 00:00:00+05:30,87.38,89.0,81.1,84.64,2492000
2015-08-21 00:00:00+05:30,83.5,85.78,82.8,84.75,2670740
2015-08-24 00:00:00+05:30,81.99,81.99,68.0,72.84,6335070
2015-08-25 00:00:00+05:30,74.5,75.99,67.5,73.61,3975360
2015-08-26 00:00:00+05:30,73.5,76.74,69.57,73.04,2512370
2015-08-27 00:00:00+05:30,74.7,76.5,73.1,75.82,2052660
2015-08-28 00:00:00+05:30,76.58,80.94,75.6,77.07,3284650
2015-08-31 00:00:00+05:30,76.95,77.7,74.42,77.19,1513140
2015-09-01 00:00:00+05:30,76.3,77.58,74.25,75.8,2215160
2015-09-02 00:00:00+05:30,76.57,79.3,75.24,76.33,3341010
2015-09-03 00:00:00+05:30,77.4,78.0,75.63,76.47,1812140
2015-09-04 00:00:00+05:30,76.0,76.24,70.8,71.14,1899270
2015-09-07 00:00:00+05:30,71.7,73.27,70.7,71.62,2453590
2015-09-08 00:00:00+05:30,72.3,74.2,66.6,72.98,4152620
2015-09-09 00:00:00+05:30,74.99,81.0,74.0,80.19,3860940
2015-09-10 00:00:00+05:30,78.8,82.8,75.1,82.33,4638210
2015-09-11 00:00:00+05:30,82.6,87.4,82.6,86.47,4627580
2015-09-14 00:00:00+05:30,86.99,87.0,83.65,86.06,2157760
2015-09-15 00:00:00+05:30,86.48,86.9,84.3,85.91,2084210
2015-09-16 00:00:00+05:30,86.4,87.99,84.24,85.18,1899940
2015-09-18 00:00:00+05:30,86.39,88.0,86.05,87.78,2517210
2015-09-21 00:00:00+05:30,86.8,86.8,83.31,84.14,1583320
2015-09-22 00:00:00+05:30,84.7,85.87,82.36,82.99,1545590
2015-09-23 00:00:00+05:30,82.31,83.5,81.5,81.99,1087900
2015-09-24 00:00:00+05:30,82.12,86.2,81.69,84.99,2325940
2015-09-28 00:00:00+05:30,85.5,86.37,82.7,83.23,1243260
2015-09-29 00:00:00+05:30,82.5,85.0,81.6,84.69,911450
2015-09-30 00:00:00+05:30,85.1,85.5,82.92,84.52,1122110
2015-10-01 00:00:00+05:30,84.5,85.25,82.71,84.85,1319070
2015-10-05 00:00:00+05:30,85.1,89.7,84.29,89.3,3311980
2015-10-06 00:00:00+05:30,89.9,91.36,89.31,90.88,2653800
2015-10-07 00:00:00+05:30,91.38,91.7,85.8,86.21,2421610
2015-10-08 00:00:00+05:30,86.5,87.44,82.0,82.71,1659500
2015-10-09 00:00:00+05:30,83.1,84.36,76.2,76.48,4100780
2015-10-12 00:00:00+05:30,76.96,80.71,76.72,80.13,2826550
2015-10-13 00:00:00+05:30,80.4,80.9,76.03,77.81,2202120
2015-10-14 00:00:00+05:30,78.39,79.88,77.1,79.55,1302010
2015-10-15 00:00:00+05:30,80.2,80.36,76.11,76.5,2542570
2015-10-16 00:00:00+05:30,77.53,77.57,71.6,72.56,4922060
2015-10-19 00:00:00+05:30,73.2,77.14,72.8,76.46,2700440
2015-10-20 00:00:00+05:30,76.69,78.0,71.1,75.99,9830460
2015-10-21 00:00:00+05:30,76.86,78.0,74.51,75.35,2890720
2015-10-23 00:00:00+05:30,76.45,76.45,72.7,73.34,2208770
2015-10-26 00:00:00+05:30,73.62,76.3,72.64,75.51,2425360
2015-10-27 00:00:00+05:30,75.49,75.49,73.2,73.79,1446110
2015-10-28 00:00:00+05:30,74.22,76.68,73.7,76.32,1788870
2015-10-29 00:00:00+05:30,76.59,78.0,76.51,77.19,1467110
2015-10-30 00:00:00+05:30,76.8,77.21,71.0,71.87,3646120
2015-11-02 00:00:00+05:30,72.49,73.67,72.03,73.13,1606800
2015-11-03 00:00:00+05:30,73.77,73.82,71.62,72.04,1494340
2015-11-04 00:00:00+05:30,72.85,73.5,71.0,71.34,1607420
2015-11-05 00:00:00+05:30,71.6,71.85,69.1,70.27,1021550
2015-11-06 00:00:00+05:30,70.5,73.0,67.5,71.93,2236480
2015-11-09 00:00:00+05:30,70.79,73.97,68.22,73.01,1949360
2015-11-10 00:00:00+05:30,71.8,74.8,71.8,73.78,1235100
2015-11-11 00:00:00+05:30,74.2,75.0,74.01,74.41,172210
2015-11-13 00:00:00+05:30,73.9,74.5,72.14,74.08,1461930
2015-11-16 00:00:00+05:30,74.1,75.2,72.5,74.66,512200
2015-11-17 00:00:00+05:30,74.71,76.12,74.6,75.47,1392300
2015-11-18 00:00:00+05:30,75.6,77.2,74.83,76.29,935210
2015-11-19 00:00:00+05:30,76.5,77.85,75.3,77.16,812550
2015-11-20 00:00:00+05:30,77.44,82.23,76.53,81.05,4100650
2015-11-23 00:00:00+05:30,81.49,83.5,79.93,81.11,2578850
2015-11-24 00:00:00+05:30,81.3,83.88,80.81,83.22,1816160
2015-11-26 00:00:00+05:30,83.2,84.0,82.1,83.1,648910
2015-11-27 00:00:00+05:30,83.22,83.8,82.11,82.66,712760
2015-11-30 00:00:00+05:30,82.8,89.45,81.35,87.13,2457630
2015-12-01 00:00:00+05:30,88.0,89.66,84.89,86.59,2340640
2015-12-02 00:00:00+05:30,87.23,89.18,86.1,86.86,1576120
2015-12-03 00:00:00+05:30,85.7,88.5,85.25,88.06,1056570
2015-12-04 00:00:00+05:30,87.99,87.99,85.61,87.18,1187890
2015-12-07 00:00:00+05:30,86.85,87.45,85.0,85.68,438390
2015-12-08 00:00:00+05:30,85.0,86.0,85.0,85.02,683380
2015-12-09 00:00:00+05:30,85.0,86.0,79.5,80.1,1738530
