date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,56.05,57.15,55.7,56.4,57874
2015-01-02 00:00:00+05:30,56.6,58.4,56.6,57.35,90829
2015-01-05 00:00:00+05:30,57.65,59.5,57.0,57.8,188223
2015-01-06 00:00:00+05:30,57.65,57.9,54.0,55.85,48973
2015-01-07 00:00:00+05:30,55.8,56.7,54.7,55.3,93707
2015-01-08 00:00:00+05:30,55.5,56.55,55.3,55.65,41613
2015-01-09 00:00:00+05:30,56.0,56.45,54.8,55.15,45402
2015-01-12 00:00:00+05:30,55.4,57.05,54.45,55.9,82704
2015-01-13 00:00:00+05:30,57.25,57.25,55.05,55.2,41366
2015-01-14 00:00:00+05:30,55.4,59.5,55.3,58.6,410873
2015-01-15 00:00:00+05:30,59.05,60.45,57.3,57.45,75581
2015-01-16 00:00:00+05:30,58.35,58.35,56.5,56.65,52236
2015-01-19 00:00:00+05:30,57.0,58.8,55.6,57.25,135397
2015-01-20 00:00:00+05:30,56.75,58.6,56.3,57.05,148095
2015-01-21 00:00:00+05:30,57.15,62.45,57.0,60.95,719434
2015-01-22 00:00:00+05:30,61.95,62.7,58.5,59.25,299592
2015-01-23 00:00:00+05:30,59.4,61.05,58.05,59.05,114764
2015-01-27 00:00:00+05:30,59.05,61.7,58.9,59.65,103914
2015-01-28 00:00:00+05:30,59.65,64.3,58.85,59.4,287060
2015-01-29 00:00:00+05:30,59.9,61.3,58.8,59.65,78359
2015-01-30 00:00:00+05:30,59.85,61.35,58.0,59.3,147632
2015-02-02 00:00:00+05:30,59.3,62.4,59.3,59.9,574771
2015-02-03 00:00:00+05:30,60.05,61.35,59.15,59.85,91463
2015-02-04 00:00:00+05:30,60.0,62.0,59.95,60.4,161462
2015-02-05 00:00:00+05:30,60.4,61.4,57.85,58.45,103477
2015-02-06 00:00:00+05:30,59.25,59.25,57.15,57.6,70377
2015-02-09 00:00:00+05:30,57.65,58.8,56.7,57.8,80291
2015-02-10 00:00:00+05:30,57.2,59.2,57.2,58.25,56859
2015-02-11 00:00:00+05:30,58.95,58.95,56.85,57.5,83042
2015-02-12 00:00:00+05:30,57.95,60.95,57.8,59.35,210892
2015-02-13 00:00:00+05:30,60.1,60.85,58.95,59.1,98042
2015-02-16 00:00:00+05:30,59.5,62.4,59.5,60.75,207680
2015-02-18 00:00:00+05:30,60.85,61.4,59.95,60.35,92717
2015-02-19 00:00:00+05:30,60.3,62.0,59.25,60.15,76903
2015-02-20 00:00:00+05:30,59.75,63.05,59.5,60.7,310894
2015-02-23 00:00:00+05:30,61.05,61.6,59.6,60.05,63422
2015-02-24 00:00:00+05:30,60.0,61.5,58.7,59.15,89634
2015-02-25 00:00:00+05:30,59.55,60.0,57.45,57.75,115258
2015-02-26 00:00:00+05:30,58.65,58.65,56.0,56.55,77859
2015-02-27 00:00:00+05:30,57.3,57.75,56.5,57.05,60144
2015-03-02 00:00:00+05:30,56.95,58.0,56.3,57.4,111375
2015-03-03 00:00:00+05:30,57.65,57.8,56.4,56.55,83045
2015-03-04 00:00:00+05:30,57.4,57.9,54.9,55.05,169833
2015-03-05 00:00:00+05:30,54.3,56.0,54.1,54.6,89619
2015-03-09 00:00:00+05:30,55.85,55.85,53.35,53.7,94695
2015-03-10 00:00:00+05:30,53.65,54.2,52.5,52.7,65414
2015-03-11 00:00:00+05:30,53.0,53.5,52.35,52.55,49404
2015-03-12 00:00:00+05:30,52.65,56.0,52.65,55.4,230293
2015-03-13 00:00:00+05:30,55.45,55.85,53.5,53.75,184220
2015-03-16 00:00:00+05:30,53.3,53.8,51.75,52.0,98188
2015-03-17 00:00:00+05:30,52.5,54.8,52.4,53.25,102329
2015-03-18 00:00:00+05:30,53.4,53.9,52.25,53.55,88530
2015-03-19 00:00:00+05:30,53.9,54.2,52.35,52.65,45745
2015-03-20 00:00:00+05:30,52.3,52.65,51.05,51.55,94277
2015-03-23 00:00:00+05:30,51.95,52.25,50.5,50.7,42921
2015-03-24 00:00:00+05:30,50.3,52.25,50.3,50.85,86417
2015-03-25 00:00:00+05:30,51.0,51.25,49.3,50.0,266346
2015-03-26 00:00:00+05:30,50.5,50.5,48.55,48.95,142491
2015-03-27 00:00:00+05:30,50.4,50.4,48.1,49.05,73939
2015-03-30 00:00:00+05:30,49.55,50.0,48.8,49.75,120196
2015-03-31 00:00:00+05:30,50.4,50.65,48.05,48.4,89084
2015-04-01 00:00:00+05:30,48.9,52.9,48.6,52.25,182305
2015-04-06 00:00:00+05:30,52.0,52.9,52.0,52.65,33462
2015-04-07 00:00:00+05:30,52.9,54.4,52.65,53.4,61435
2015-04-08 00:00:00+05:30,53.15,54.2,52.65,53.2,63231
2015-04-09 00:00:00+05:30,53.4,53.5,52.5,53.05,70395
2015-04-10 00:00:00+05:30,53.2,54.25,52.8,53.8,165763
2015-04-13 00:00:00+05:30,54.5,56.15,54.05,54.4,214470
2015-04-15 00:00:00+05:30,55.35,55.9,53.0,53.65,203253
2015-04-16 00:00:00+05:30,53.9,54.35,52.75,53.15,83283
2015-04-17 00:00:00+05:30,53.7,54.2,53.0,53.5,72823
2015-04-20 00:00:00+05:30,53.75,53.95,51.5,53.15,101712
