date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,13.3,13.65,13.1,13.5,47922
2015-01-02 00:00:00+05:30,13.7,14.3,13.5,13.8,137996
2015-01-05 00:00:00+05:30,13.55,14.4,13.55,13.95,113738
2015-01-06 00:00:00+05:30,13.7,13.95,12.95,13.15,99270
2015-01-07 00:00:00+05:30,13.0,13.7,12.8,13.0,101348
2015-01-08 00:00:00+05:30,13.6,13.6,13.0,13.25,155903
2015-01-09 00:00:00+05:30,13.2,13.5,12.8,13.25,170904
2015-01-12 00:00:00+05:30,13.15,13.9,13.0,13.5,125203
2015-01-13 00:00:00+05:30,13.75,14.0,13.1,13.4,139107
2015-01-14 00:00:00+05:30,13.3,13.95,13.3,13.85,119006
2015-01-15 00:00:00+05:30,14.0,14.1,13.4,13.65,111261
2015-01-16 00:00:00+05:30,13.6,14.4,13.3,13.9,122389
2015-01-19 00:00:00+05:30,13.8,14.1,13.8,13.85,59519
2015-01-20 00:00:00+05:30,14.0,14.2,13.6,13.7,81389
2015-01-21 00:00:00+05:30,13.65,13.85,13.45,13.65,98981
2015-01-22 00:00:00+05:30,13.5,13.9,13.3,13.5,60757
2015-01-23 00:00:00+05:30,13.5,13.75,13.2,13.3,82470
2015-01-27 00:00:00+05:30,13.3,14.25,13.3,14.1,126329
2015-01-28 00:00:00+05:30,14.1,14.3,13.75,14.0,119158
2015-01-29 00:00:00+05:30,13.6,14.8,13.6,14.1,176941
2015-01-30 00:00:00+05:30,14.2,14.45,14.0,14.2,41380
2015-02-02 00:00:00+05:30,14.7,14.7,13.75,14.0,88270
2015-02-03 00:00:00+05:30,14.15,14.3,13.4,13.5,80199
2015-02-04 00:00:00+05:30,13.45,13.9,13.4,13.55,71279
2015-02-05 00:00:00+05:30,13.55,13.7,11.0,13.15,196567
2015-02-06 00:00:00+05:30,13.15,13.5,12.8,12.95,44673
2015-02-09 00:00:00+05:30,13.05,13.05,12.6,12.7,32421
2015-02-10 00:00:00+05:30,12.8,13.0,12.45,12.8,32257
2015-02-11 00:00:00+05:30,12.75,13.0,12.6,12.85,31600
2015-02-12 00:00:00+05:30,12.75,14.5,12.6,13.05,119127
2015-02-13 00:00:00+05:30,13.15,13.9,12.85,13.4,83786
2015-02-16 00:00:00+05:30,13.3,13.5,13.05,13.1,41021
2015-02-18 00:00:00+05:30,13.0,13.95,13.0,13.8,111115
2015-02-19 00:00:00+05:30,13.75,16.55,13.55,16.5,678257
2015-02-20 00:00:00+05:30,17.0,17.8,15.55,16.39,546112
2015-02-23 00:00:00+05:30,17.35,17.39,15.75,16.0,232766
2015-02-24 00:00:00+05:30,16.0,16.75,15.45,15.7,78261
2015-02-25 00:00:00+05:30,15.6,17.0,15.6,16.35,196844
