date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,1.0,1.05,1.0,1.05,12155
2015-01-02 00:00:00+05:30,1.05,1.05,0.95,1.05,16216
2015-01-05 00:00:00+05:30,1.0,1.1,1.0,1.0,14995
2015-01-06 00:00:00+05:30,1.0,1.05,1.0,1.05,3575
2015-01-07 00:00:00+05:30,1.0,1.0,0.95,1.0,6956
2015-01-08 00:00:00+05:30,1.0,1.05,0.95,1.0,24713
2015-01-09 00:00:00+05:30,1.05,1.05,1.0,1.0,36921
2015-01-12 00:00:00+05:30,0.95,1.05,0.95,1.05,1173
2015-01-13 00:00:00+05:30,1.0,1.05,0.95,1.0,24770
2015-01-14 00:00:00+05:30,0.95,1.05,0.95,1.0,48557
2015-01-15 00:00:00+05:30,1.0,1.0,0.95,1.0,65298
2015-01-16 00:00:00+05:30,0.95,1.0,0.95,1.0,24383
2015-01-19 00:00:00+05:30,1.0,1.05,0.95,0.95,11629
2015-01-20 00:00:00+05:30,0.95,1.0,0.95,1.0,33395
2015-01-21 00:00:00+05:30,1.05,1.05,1.0,1.0,4011
2015-01-22 00:00:00+05:30,0.95,1.0,0.95,1.0,24122
2015-01-23 00:00:00+05:30,0.9,1.0,0.9,0.9,25883
2015-01-27 00:00:00+05:30,1.0,1.05,0.95,1.0,63978
2015-01-28 00:00:00+05:30,0.9,1.0,0.9,0.9,64142
2015-01-29 00:00:00+05:30,0.9,0.95,0.9,0.9,35912
2015-01-30 00:00:00+05:30,1.0,1.0,0.85,0.9,33679
2015-02-02 00:00:00+05:30,0.95,0.95,0.85,0.9,49068
2015-02-03 00:00:00+05:30,0.95,0.95,0.85,0.9,48080
2015-02-04 00:00:00+05:30,0.9,0.95,0.9,0.9,17550
2015-02-05 00:00:00+05:30,0.9,0.95,0.9,0.9,16790
2015-02-06 00:00:00+05:30,0.9,0.9,0.9,0.9,26000
2015-02-09 00:00:00+05:30,0.9,0.9,0.85,0.9,1504
2015-02-10 00:00:00+05:30,0.85,0.95,0.85,0.85,13418
2015-02-11 00:00:00+05:30,0.85,0.9,0.85,0.85,30189
2015-02-12 00:00:00+05:30,0.95,0.95,0.85,0.9,21423
2015-02-13 00:00:00+05:30,0.95,0.95,0.85,0.85,6416
2015-02-16 00:00:00+05:30,0.95,0.95,0.85,0.9,51191
2015-02-18 00:00:00+05:30,0.9,0.95,0.85,0.85,21045
2015-02-19 00:00:00+05:30,0.95,0.95,0.8,0.85,129538
2015-02-20 00:00:00+05:30,0.85,0.95,0.8,0.95,26225
2015-02-23 00:00:00+05:30,0.95,1.0,0.85,0.9,94321
2015-02-24 00:00:00+05:30,0.85,0.95,0.8,0.9,71105
2015-02-25 00:00:00+05:30,0.95,0.95,0.85,0.95,15774
2015-02-26 00:00:00+05:30,0.95,0.95,0.85,0.85,3600
2015-02-27 00:00:00+05:30,0.95,0.95,0.85,0.9,65841
2015-03-02 00:00:00+05:30,0.95,0.95,0.8,0.9,68893
2015-03-03 00:00:00+05:30,0.85,0.95,0.85,0.85,16795
2015-03-04 00:00:00+05:30,0.85,0.95,0.85,0.9,67333
2015-03-05 00:00:00+05:30,0.85,0.95,0.85,0.9,94952
2015-03-09 00:00:00+05:30,0.85,0.95,0.85,0.9,114413
2015-03-10 00:00:00+05:30,0.95,0.95,0.85,0.9,60149
2015-03-11 00:00:00+05:30,0.85,0.95,0.85,0.95,16380
2015-03-12 00:00:00+05:30,0.85,0.95,0.85,0.9,6813
2015-03-13 00:00:00+05:30,0.85,1.0,0.85,0.95,71367
2015-03-16 00:00:00+05:30,0.95,0.95,0.9,0.9,82000
2015-03-17 00:00:00+05:30,0.85,0.9,0.85,0.9,130047
2015-03-18 00:00:00+05:30,0.85,0.9,0.85,0.9,154469
2015-03-19 00:00:00+05:30,0.85,0.9,0.85,0.9,177819
2015-03-20 00:00:00+05:30,0.9,0.9,0.85,0.85,14124
2015-03-23 00:00:00+05:30,0.85,0.9,0.85,0.9,232772
2015-03-24 00:00:00+05:30,0.9,0.9,0.85,0.9,337120
2015-03-25 00:00:00+05:30,0.85,0.9,0.85,0.9,342100
2015-03-26 00:00:00+05:30,0.9,0.9,0.85,0.9,152613
2015-03-27 00:00:00+05:30,0.85,0.9,0.85,0.9,15358
2015-03-30 00:00:00+05:30,0.9,0.95,0.85,0.9,9056
2015-03-31 00:00:00+05:30,0.9,0.95,0.85,0.9,30700
2015-04-01 00:00:00+05:30,0.85,0.95,0.85,0.95,1925
2015-04-06 00:00:00+05:30,0.9,0.95,0.9,0.9,12300
2015-04-07 00:00:00+05:30,0.9,0.9,0.9,0.9,10175
2015-04-08 00:00:00+05:30,0.95,1.0,0.9,0.95,22074
2015-04-09 00:00:00+05:30,0.9,1.0,0.9,0.95,22574
2015-04-10 00:00:00+05:30,0.9,0.95,0.9,0.95,11988
2015-04-13 00:00:00+05:30,0.9,0.95,0.9,0.95,5261
2015-04-15 00:00:00+05:30,1.0,1.0,0.85,0.9,112493
2015-04-16 00:00:00+05:30,0.85,1.0,0.85,0.95,46121
2015-04-17 00:00:00+05:30,0.9,1.0,0.9,1.0,47971
2015-04-20 00:00:00+05:30,1.0,1.05,0.9,0.9,11559
