date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,102.8,104.2,102.5,102.95,5356
2015-01-02 00:00:00+05:30,104.5,107.4,103.9,104.85,13652
2015-01-05 00:00:00+05:30,103.35,106.35,103.35,104.6,3000
2015-01-06 00:00:00+05:30,105.8,105.8,102.25,103.2,19805
2015-01-07 00:00:00+05:30,104.0,104.0,101.55,101.75,10613
2015-01-08 00:00:00+05:30,102.1,103.5,102.1,102.3,8330
2015-01-09 00:00:00+05:30,103.9,105.5,102.1,103.1,13878
2015-01-12 00:00:00+05:30,103.3,104.7,101.7,102.05,7001
2015-01-13 00:00:00+05:30,104.95,104.95,102.0,103.2,11243
2015-01-14 00:00:00+05:30,104.6,104.6,102.0,103.45,9208
2015-01-15 00:00:00+05:30,104.5,105.0,103.25,104.0,6104
2015-01-16 00:00:00+05:30,103.6,104.5,103.5,104.05,4013
2015-01-19 00:00:00+05:30,103.4,109.5,103.1,107.05,15862
2015-01-20 00:00:00+05:30,106.5,107.95,103.85,104.85,4831
2015-01-21 00:00:00+05:30,104.0,106.45,103.65,104.05,3554
2015-01-22 00:00:00+05:30,102.3,105.9,102.3,104.1,7172
2015-01-23 00:00:00+05:30,104.0,106.0,102.5,102.7,5828
2015-01-27 00:00:00+05:30,103.05,105.75,102.5,102.95,3532
2015-01-28 00:00:00+05:30,104.9,104.9,102.25,103.1,5448
2015-01-29 00:00:00+05:30,102.5,104.05,102.25,102.45,7668
2015-01-30 00:00:00+05:30,102.4,104.9,102.25,102.35,4865
2015-02-02 00:00:00+05:30,102.3,102.9,101.5,101.6,5785
2015-02-03 00:00:00+05:30,101.95,103.0,101.5,102.0,3797
2015-02-04 00:00:00+05:30,102.1,103.4,102.0,102.0,2610
2015-02-05 00:00:00+05:30,101.8,104.15,101.8,102.1,6258
2015-02-06 00:00:00+05:30,102.4,102.95,102.25,102.25,7985
2015-02-09 00:00:00+05:30,102.3,102.7,101.5,101.5,7733
2015-02-10 00:00:00+05:30,101.6,102.3,101.1,101.6,4265
2015-02-11 00:00:00+05:30,103.0,103.0,98.7,99.7,8579
2015-02-12 00:00:00+05:30,99.05,101.0,98.25,100.7,3413
2015-02-13 00:00:00+05:30,100.0,101.95,99.05,100.25,11566
2015-02-16 00:00:00+05:30,101.4,102.65,98.6,99.35,3830
2015-02-18 00:00:00+05:30,99.35,105.0,98.2,103.2,28142
2015-02-19 00:00:00+05:30,105.0,109.75,104.15,105.75,45670
2015-02-20 00:00:00+05:30,105.4,106.9,104.4,104.55,4537
2015-02-23 00:00:00+05:30,104.0,104.0,102.25,102.35,6646
2015-02-24 00:00:00+05:30,102.0,103.0,98.5,102.3,13412
2015-02-25 00:00:00+05:30,104.35,104.4,100.25,100.3,3282
2015-02-26 00:00:00+05:30,102.35,104.0,99.5,100.6,2993
2015-02-27 00:00:00+05:30,100.3,101.85,100.15,100.25,4373
2015-03-02 00:00:00+05:30,100.2,106.5,100.15,104.75,12472
2015-03-03 00:00:00+05:30,104.0,106.15,100.25,102.0,13762
2015-03-04 00:00:00+05:30,101.75,102.7,101.0,101.05,1579
2015-03-05 00:00:00+05:30,100.85,104.9,100.85,101.5,7503
2015-03-09 00:00:00+05:30,101.4,104.0,101.0,102.5,5504
2015-03-10 00:00:00+05:30,102.5,102.55,98.25,99.6,18419
2015-03-11 00:00:00+05:30,99.0,101.25,96.4,97.25,12629
2015-03-12 00:00:00+05:30,98.35,98.8,97.25,97.4,11124
2015-03-13 00:00:00+05:30,100.75,100.75,96.25,96.6,10486
2015-03-16 00:00:00+05:30,97.45,97.5,95.9,97.05,36833
2015-03-17 00:00:00+05:30,97.0,98.8,96.2,97.25,1135
2015-03-18 00:00:00+05:30,96.5,98.0,95.25,95.45,1425
2015-03-19 00:00:00+05:30,95.3,98.0,93.5,94.3,30982
2015-03-20 00:00:00+05:30,91.0,95.0,91.0,94.55,11817
2015-03-23 00:00:00+05:30,96.0,96.0,92.5,92.8,2616
2015-03-24 00:00:00+05:30,94.0,94.0,90.0,90.65,1774
2015-03-25 00:00:00+05:30,91.5,94.35,91.0,93.75,5819
2015-03-26 00:00:00+05:30,93.0,96.0,91.45,94.3,4955
2015-03-27 00:00:00+05:30,95.0,95.5,92.25,92.45,5800
2015-03-30 00:00:00+05:30,92.6,95.0,92.6,94.35,1819
2015-03-31 00:00:00+05:30,94.5,96.8,92.0,94.95,5761
2015-04-01 00:00:00+05:30,98.45,101.4,97.5,100.65,18475
2015-04-06 00:00:00+05:30,100.0,101.9,97.65,100.0,2799
2015-04-07 00:00:00+05:30,99.8,103.4,98.0,101.4,7087
2015-04-08 00:00:00+05:30,101.5,102.95,100.5,101.9,3365
2015-04-09 00:00:00+05:30,101.0,103.2,99.1,102.6,3736
2015-04-10 00:00:00+05:30,102.0,105.5,100.5,104.65,9028
2015-04-13 00:00:00+05:30,104.0,105.0,100.7,101.7,2862
2015-04-15 00:00:00+05:30,102.7,104.65,99.75,100.25,3830
2015-04-16 00:00:00+05:30,100.15,100.95,97.6,98.7,3003
2015-04-17 00:00:00+05:30,99.5,101.0,98.5,99.5,2310
2015-04-20 00:00:00+05:30,100.6,101.0,96.2,97.15,8694
2015-04-21 00:00:00+05:30,97.35,99.0,97.25,98.25,1739
2015-04-22 00:00:00+05:30,98.5,98.95,96.2,96.7,5861
2015-04-23 00:00:00+05:30,98.9,98.9,96.3,97.35,976
2015-04-24 00:00:00+05:30,98.0,98.0,94.0,94.25,3489
2015-04-27 00:00:00+05:30,94.0,95.85,91.65,94.45,6652
2015-04-28 00:00:00+05:30,94.0,102.0,93.0,94.2,930
2015-04-29 00:00:00+05:30,93.5,96.5,92.2,95.8,850
2015-04-30 00:00:00+05:30,99.0,99.0,92.25,94.15,2155
2015-05-04 00:00:00+05:30,94.5,97.35,92.1,95.8,3299
2015-05-05 00:00:00+05:30,95.05,96.5,91.25,92.8,3938
2015-05-06 00:00:00+05:30,93.0,93.7,91.25,92.7,1566
2015-05-07 00:00:00+05:30,92.0,95.7,91.25,92.5,2545
2015-05-08 00:00:00+05:30,93.5,94.7,92.25,92.7,1016
2015-05-11 00:00:00+05:30,92.5,95.7,92.5,93.85,1049
2015-05-12 00:00:00+05:30,93.0,93.7,92.15,92.5,1075
2015-05-13 00:00:00+05:30,92.05,95.45,92.05,93.15,1685
2015-05-14 00:00:00+05:30,92.6,94.45,91.65,94.35,507
2015-05-15 00:00:00+05:30,94.0,96.7,92.45,94.8,2335
2015-05-18 00:00:00+05:30,94.05,96.95,93.5,95.4,1846
2015-05-19 00:00:00+05:30,94.0,98.5,93.25,94.35,2698
2015-05-20 00:00:00+05:30,94.0,96.0,94.0,94.65,2421
2015-05-21 00:00:00+05:30,94.0,97.9,93.45,97.05,17258
2015-05-22 00:00:00+05:30,96.0,97.0,94.1,96.25,2883
2015-05-25 00:00:00+05:30,96.0,97.9,95.2,96.85,2037
2015-05-26 00:00:00+05:30,96.0,97.95,94.05,96.7,4619
2015-05-27 00:00:00+05:30,97.0,97.5,95.4,96.5,2896
2015-05-28 00:00:00+05:30,97.5,97.9,97.4,97.7,2066
2015-05-29 00:00:00+05:30,97.5,97.5,95.0,95.15,1927
2015-06-01 00:00:00+05:30,94.05,96.65,94.05,95.0,2619
2015-06-02 00:00:00+05:30,95.15,96.7,93.5,93.65,1016
2015-06-03 00:00:00+05:30,94.5,94.5,88.1,90.4,4770
2015-06-04 00:00:00+05:30,90.0,92.4,87.0,92.3,2460
2015-06-05 00:00:00+05:30,91.0,93.5,90.05,92.25,931
2015-06-08 00:00:00+05:30,92.0,92.5,90.1,90.9,1409
2015-06-09 00:00:00+05:30,92.5,94.0,88.25,91.0,3259
2015-06-10 00:00:00+05:30,91.0,92.05,91.0,91.8,850
2015-06-11 00:00:00+05:30,92.5,92.5,90.0,91.75,669
2015-06-12 00:00:00+05:30,91.1,92.2,89.0,91.25,1128
2015-06-15 00:00:00+05:30,90.5,90.75,90.05,90.1,845
2015-06-16 00:00:00+05:30,90.0,92.0,88.0,90.15,814
2015-06-17 00:00:00+05:30,89.5,91.0,86.65,88.9,3326
2015-06-18 00:00:00+05:30,91.0,92.0,88.05,91.9,2823
2015-06-19 00:00:00+05:30,91.95,91.95,90.0,91.5,567
2015-06-22 00:00:00+05:30,92.45,92.45,90.1,92.05,1806
2015-06-23 00:00:00+05:30,91.1,92.3,90.6,90.7,572
2015-06-24 00:00:00+05:30,92.0,92.0,89.1,90.05,3053
2015-06-25 00:00:00+05:30,89.6,90.8,89.1,90.25,1129
2015-06-26 00:00:00+05:30,90.0,90.55,89.6,90.1,27057
2015-06-29 00:00:00+05:30,91.2,91.2,88.4,89.15,1768
2015-06-30 00:00:00+05:30,90.0,90.0,88.0,88.4,2509
2015-07-01 00:00:00+05:30,89.35,91.0,89.2,89.65,2683
2015-07-02 00:00:00+05:30,89.5,90.5,89.1,90.1,960
2015-07-03 00:00:00+05:30,89.35,90.95,88.5,89.6,4087
2015-07-06 00:00:00+05:30,89.5,91.0,88.25,89.0,1408
2015-07-07 00:00:00+05:30,89.5,91.5,88.75,90.4,2880
2015-07-08 00:00:00+05:30,90.0,90.9,89.05,89.15,1676
2015-07-09 00:00:00+05:30,89.2,91.5,89.2,89.5,957
2015-07-10 00:00:00+05:30,89.5,91.75,89.3,90.55,2887
2015-07-13 00:00:00+05:30,90.0,91.0,89.35,90.9,780
2015-07-14 00:00:00+05:30,90.25,90.45,89.6,90.0,3587
2015-07-15 00:00:00+05:30,90.0,91.75,89.3,90.5,4468
2015-07-16 00:00:00+05:30,90.5,101.0,90.5,95.95,28718
2015-07-17 00:00:00+05:30,98.0,98.0,95.0,95.15,2846
2015-07-20 00:00:00+05:30,94.7,96.0,92.7,95.15,5505
2015-07-21 00:00:00+05:30,94.7,99.5,94.05,95.9,4708
2015-07-22 00:00:00+05:30,95.55,98.9,95.55,97.5,2052
2015-07-23 00:00:00+05:30,97.8,98.0,95.5,95.5,3193
2015-07-24 00:00:00+05:30,95.6,96.95,95.25,95.45,1263
2015-07-27 00:00:00+05:30,93.2,96.9,93.2,95.25,2338
2015-07-28 00:00:00+05:30,95.25,96.25,93.6,95.1,2578
2015-07-29 00:00:00+05:30,96.0,96.5,94.05,94.65,3114
2015-07-30 00:00:00+05:30,94.1,97.45,92.7,96.65,2266
2015-07-31 00:00:00+05:30,96.0,96.55,93.0,94.65,2945
2015-08-03 00:00:00+05:30,95.2,96.95,92.1,94.7,3789
2015-08-04 00:00:00+05:30,95.6,96.45,94.1,94.25,1980
2015-08-05 00:00:00+05:30,96.85,96.9,93.55,94.6,7150
2015-08-06 00:00:00+05:30,94.05,95.9,93.6,94.5,3316
2015-08-07 00:00:00+05:30,94.5,95.85,94.5,95.0,1567
2015-08-10 00:00:00+05:30,95.95,97.5,94.2,95.4,8388
2015-08-11 00:00:00+05:30,96.5,96.9,94.6,95.85,4441
2015-08-12 00:00:00+05:30,95.0,95.45,93.0,93.55,2709
2015-08-13 00:00:00+05:30,95.95,95.95,90.5,91.7,1623
2015-08-14 00:00:00+05:30,92.5,92.95,89.1,92.55,1855
2015-08-17 00:00:00+05:30,92.1,94.4,90.65,92.1,1043
2015-08-18 00:00:00+05:30,94.35,94.35,90.25,92.0,3744
2015-08-19 00:00:00+05:30,91.5,93.4,89.95,91.5,2944
2015-08-20 00:00:00+05:30,91.0,91.0,88.5,89.0,5293
2015-08-21 00:00:00+05:30,88.6,91.0,88.6,89.8,961
2015-08-24 00:00:00+05:30,89.0,90.0,83.1,83.75,9775
2015-08-25 00:00:00+05:30,83.0,83.0,78.7,80.3,7311
2015-08-26 00:00:00+05:30,80.59,83.35,80.59,81.09,1570
2015-08-27 00:00:00+05:30,81.4,84.95,81.2,83.05,1565
2015-08-28 00:00:00+05:30,82.0,86.95,80.09,80.75,3133
2015-08-31 00:00:00+05:30,83.9,86.5,81.59,84.0,985
2015-09-01 00:00:00+05:30,85.0,85.0,80.09,80.9,2910
2015-09-02 00:00:00+05:30,82.0,83.95,80.5,81.05,2224
